trace_id,rule_id,journey_id,cr_id,requirement_id,acceptance_id,actor,transition,route,ui_field,capability_rbac_rls,rpc_table_audit_outbox,evidence_required,state,rationale
PLN-TR-001,PLN-R01,PLN-J08,CR-066,MVP1-M02-014,AC-0066,Planner,Draft plan active to archived provenance,/planning,Discard draft,"Owner/capability check; fail closed","Proposed archive RPC; visit_plans + linked draft children + immutable audit + outbox intent","atomic success; unauthorized; published child; concurrent publish; forced audit/outbox failure; replay",PROPOSED_SUPERSESSION,"Audit anchor; no direct child-archive lifecycle row"
PLN-TR-002,PLN-R01,PLN-J18,CR-097,MVP1-M02-045,AC-0097,Authorized history reader,Archived draft history remains queryable,/planning,Archived history,"Authorized read RLS","Parent/child provenance and immutable history","history query; no hard delete; no restore; child retains draft identity",PROPOSED_SUPERSESSION,"History anchor; NO_DIRECT_ROW for child archival"
PLN-TR-003,PLN-R02,PLN-J15,CR-033,MVP1-M01-033,AC-0033,Planner,Eligible published visit to cancelled,/planning/visits/:id,Optional cancellation note,"Planner cancellation capability; Planning scope only","Atomic cancel RPC + visit + audit + outbox","empty note success; supplied note; unauthorized; M04 unchanged",PROPOSED_AUTHORITY,"Planning cancellation"
PLN-TR-004,PLN-R02,PLN-J15,CR-062,MVP1-M02-010,AC-0062,Planner,Eligible published visit to cancelled,/planning/visits/:id,Cancel action,"Planner cancellation capability","Atomic cancel RPC receipt","positive and denied state evidence",PROPOSED_AUTHORITY,"Planning-only optional note"
PLN-TR-005,PLN-R02,PLN-J15,CR-063,MVP1-M02-011,AC-0063,Planner,Cancel without mandatory reason,/planning/visits/:id,Cancellation note,"Planner cancellation capability","Receipt records nullable note truthfully","blank and populated note",PROPOSED_AUTHORITY,"No cancellation reason invented"
PLN-TR-006,PLN-R02,PLN-J15,CR-080,MVP1-M02-028,AC-0080,Planner,Cancel selected eligible visit,/planning/visits/:id,Confirmation,"Current row lock/version","Mutation + audit + outbox","stale/current version",PROPOSED_AUTHORITY,"Cancellation guard"
PLN-TR-007,PLN-R02,PLN-J15,CR-086,MVP1-M02-034,AC-0086,Planner,Cancelled result visible,/planning,Status badge,"RLS scoped read","visit planning_status + history","post-state display and history",PROPOSED_AUTHORITY,"Cancellation result"
PLN-TR-008,PLN-R03,PLN-J13,CR-060,MVP1-M02-008,AC-0060,Planner,Published window to changed window,/planning/visits/:id,Reschedule window,"Planner reschedule capability; locked row","Atomic reschedule RPC + receipt + audit + outbox","720h exact boundaries; changed/current window; offline delayed; replay",PROPOSED_SUPERSESSION,"Window-changing reschedule only"
PLN-TR-009,PLN-R03,PLN-J14,CR-033,MVP1-M01-033,AC-0033,Planner,Window-changing reschedule at cutoff,/planning/visits/:id,Server cutoff explanation,"Planner reschedule capability","Server transaction time and locked window_start","720:00:00.000 pass; 719:59:59.999 fail",PROPOSED_SUPERSESSION,"Asia/Riyadh display only"
PLN-TR-010,PLN-R03,PLN-J15,CR-062,MVP1-M02-010,AC-0062,Planner,Eligible visit to cancelled,/planning/visits/:id,Cancel,"Planner cancel capability","Atomic cancellation RPC","same cutoff/replay/concurrency matrix",PROPOSED_SUPERSESSION,"Cancellation shares 720h rule"
PLN-TR-011,PLN-R03,PLN-J15,CR-063,MVP1-M02-011,AC-0063,Planner,Cancellation cutoff receipt,/planning/visits/:id,Cutoff result,"Planner cancel capability","Receipt contains exact mandated fields","receipt field assertion",PROPOSED_SUPERSESSION,"Transaction-time receipt"
PLN-TR-012,PLN-R03,PLN-J13,CR-066,MVP1-M02-014,AC-0066,Planner,Reschedule audit,/planning/visits/:id,Reschedule,"Authorized mutation","Immutable audit event","audit ID and before/after window",PROPOSED_SUPERSESSION,"Audit"
PLN-TR-013,PLN-R03,PLN-J15,CR-080,MVP1-M02-028,AC-0080,Planner,Cancellation concurrency guard,/planning/visits/:id,Cancel,"Lock/CAS current row","Atomic RPC","stale version/window fail closed",PROPOSED_SUPERSESSION,"Concurrency"
PLN-TR-014,PLN-R03,PLN-J15,CR-086,MVP1-M02-034,AC-0086,Planner,Cancellation result,/planning,Status and receipt,"RLS read","Visit status + receipt","post-state",PROPOSED_SUPERSESSION,"Cancellation visibility"
PLN-TR-015,PLN-R03,PLN-J13,CR-097,MVP1-M02-045,AC-0097,Authorized history reader,Reschedule/cancel history,/planning/visits/:id,History,"Authorized read RLS","Immutable lifecycle history","history evidence",PROPOSED_SUPERSESSION,"History"
PLN-TR-016,PLN-R04,PLN-J05,CR-002,MVP1-M01-002,AC-0002,Planner,Criteria to frozen target set,/planning/bulk,Selection,"Planner bulk capability; scoped factory RLS","Batch header + immutable target snapshot","zero/one/many; deterministic snapshot",PROPOSED_AUTHORITY,"No business maximum"
PLN-TR-017,PLN-R04,PLN-J05,CR-012,MVP1-M01-012,AC-0012,Planner,Frozen targets to chunks,/planning/bulk/review,Bulk review,"Planner bulk capability","Bounded chunk processor","large set; no truncation",PROPOSED_AUTHORITY,"Safe chunking"
PLN-TR-018,PLN-R04,PLN-J11,CR-013,MVP1-M01-013,AC-0013,Planner,Per-target processing,/planning/bulk/review,Publish,"Per-target authorization","Per-target atomic mutation/audit/outbox","forced one-row failure and partial aggregate",PROPOSED_AUTHORITY,"Per-target atomicity"
PLN-TR-019,PLN-R04,PLN-J11,CR-015,MVP1-M01-015,AC-0015,Planner,Batch completion,/planning/bulk/review,Receipt,"Planner read capability","Aggregate + per-row receipts","counts reconcile to frozen target set",PROPOSED_AUTHORITY,"No silent truncation"
PLN-TR-020,PLN-R04,PLN-J11,CR-023,MVP1-M01-023,AC-0023,Planner,Bulk assignment/publish,/planning/bulk/review,Assignments,"Applicable capabilities and RLS","Target receipts","positive/negative/concurrency",PROPOSED_AUTHORITY,"Bulk flow"
PLN-TR-021,PLN-R04,PLN-J11,CR-025,MVP1-M01-025,AC-0025,Planner,Bulk review decision,/planning/bulk/review,Review summary,"Planner capability","Batch state/receipts","review/publish boundary",PROPOSED_AUTHORITY,"Bulk review"
PLN-TR-022,PLN-R04,PLN-J11,CR-030,MVP1-M01-030,AC-0030,Planner,Bulk lifecycle action,/planning/bulk/review,Bulk action,"Planner capability","Frozen set and row receipts","mixed eligibility",PROPOSED_AUTHORITY,"Bulk mutation"
PLN-TR-023,PLN-R04,PLN-J11,CR-031,MVP1-M01-031,AC-0031,Planner,Bulk lifecycle receipt,/planning/bulk/review,Result,"Planner capability","Aggregate receipt","aggregate/per-row reconciliation",PROPOSED_AUTHORITY,"Bulk result"
PLN-TR-024,PLN-R05,PLN-J03,CR-044,MVP1-M01-044,AC-0044,Planner or Inspector,Immediate visit mode selection,/planning/immediate,Registered/unregistered selector,"PENDING_COUNCIL","No executable RPC grant","decision evidence only",BLOCKED_DECISION,"Immediate role/mode authority unresolved"
PLN-TR-025,PLN-R05,PLN-J04,CR-045,MVP1-M01-045,AC-0045,Pending authority,Unregistered factory capture,/planning/immediate,Factory fields,"PENDING_COUNCIL","Senaei seeded/env-gated only","Council ruling + contract/provenance/error evidence",BLOCKED_DECISION,"Unregistered lifecycle unresolved"
PLN-TR-026,PLN-R05,PLN-J20,CR-046,MVP1-M01-046,AC-0046,Pending authority,Unregistered location capture,/planning/immediate,Physical location,"PENDING_COUNCIL","No live external claim","seeded/unavailable/configured-negative",BLOCKED_DECISION,"No implementation-ready placeholder"
PLN-TR-027,PLN-R06,PLN-J09,CR-007,MVP1-M01-007,AC-0007,Supervisor pending,Assignment selection,/planning,Assignee,"PENDING_COUNCIL","No executable grant","decision evidence",BLOCKED_DECISION,"Supervisor mapping unresolved"
PLN-TR-028,PLN-R06,PLN-J09,CR-008,MVP1-M01-008,AC-0008,Supervisor pending,Assignment validation,/planning,Availability,"PENDING_COUNCIL","No executable grant","decision evidence",BLOCKED_DECISION,"Capability unresolved"
PLN-TR-029,PLN-R06,PLN-J09,CR-019,MVP1-M01-019,AC-0019,Supervisor pending,Assignment publish,/planning,Assign,"PENDING_COUNCIL","No executable grant","decision evidence",BLOCKED_DECISION,"Capability unresolved"
PLN-TR-030,PLN-R06,PLN-J16,CR-028,MVP1-M01-028,AC-0028,Supervisor pending,Reassign current assignment,/planning/visits/:id,Reassign,"PENDING_COUNCIL; no 720h inheritance","No executable RPC grant","state/capability/concurrency matrix after ruling",BLOCKED_DECISION,"Reassignment separate"
PLN-TR-031,PLN-R06,PLN-J16,CR-029,MVP1-M01-029,AC-0029,Supervisor pending,Reassignment receipt,/planning/visits/:id,Receipt,"PENDING_COUNCIL","No executable grant","decision evidence",BLOCKED_DECISION,"Reassignment separate"
PLN-TR-032,PLN-R06,PLN-J16,CR-078,MVP1-M02-026,AC-0078,Supervisor pending,Reassignment,/planning/visits/:id,Reassign,"PENDING_COUNCIL","No executable grant","decision evidence",BLOCKED_DECISION,"No cutoff inference"
PLN-TR-033,PLN-R06,PLN-J16,CR-084,MVP1-M02-032,AC-0084,Supervisor pending,Reassignment history,/planning/visits/:id,History,"PENDING_COUNCIL","No executable grant","decision evidence",BLOCKED_DECISION,"No cutoff inference"
PLN-TR-034,PLN-R07,PLN-J17,CR-068,MVP1-M02-016,AC-0068,System scheduler,Eligible published not-started to expired,/planning,Expired status,"Dedicated expiry-only scheduler role","Scoped SECURITY DEFINER expiry function + audit + outbox","before/equal/after window_end truth table",PROPOSED_AUTHORITY,"Default unlisted false"
PLN-TR-035,PLN-R07,PLN-J17,CR-066,MVP1-M02-014,AC-0066,System scheduler,Expiry audit,/planning,History,"actor=system","Immutable audit","idempotent retry and late job",PROPOSED_AUTHORITY,"Audit"
PLN-TR-036,PLN-R07,PLN-J17,CR-093,MVP1-M02-041,AC-0093,System scheduler,Expiry notification intent,/planning,Notification state,"Expiry-only scheduler","Durable outbox intent","delivery not claimed",PROPOSED_AUTHORITY,"Outbox"
PLN-TR-037,PLN-R07,PLN-J17,CR-097,MVP1-M02-045,AC-0097,Authorized history reader,Expiry history,/planning/visits/:id,History,"Authorized read RLS","Immutable lifecycle record","late-job history",PROPOSED_AUTHORITY,"History"
PLN-TR-038,PLN-R08,PLN-J07,CR-453,MVP1-M09-005,AC-0453,Planner,Lock effective package/rule,/planning,Package/rule display,"Authorized package read","Locked rule/version linkage","locked version precedence",PROPOSED_AUTHORITY,"Evidence rule authority"
PLN-TR-039,PLN-R08,PLN-J12,CR-458,MVP1-M09-010,AC-0458,Planner,Publish with locked rule,/planning,Review,"Authorized publish","Rule/version captured","client disagreement fails closed",PROPOSED_AUTHORITY,"Locked rule precedence"
PLN-TR-040,PLN-R08,PLN-J19,CR-259,MVP1-M04-146,AC-0259,Inspector,Evidence capture,/execution,Evidence field,"Execution capability","Inspection evidence storage","optional only if locked rule permits",PROPOSED_AUTHORITY,"No UI-default inference"
PLN-TR-041,PLN-R08,PLN-J19,CR-278,MVP1-M04-165,AC-0278,Inspector,Submit governed inspection,/execution,Submit,"Execution capability","Submission guard","required evidence missing denied",PROPOSED_AUTHORITY,"Locked rule precedence"
PLN-TR-042,PLN-R08,PLN-J19,FND-014,FND-014,NO_DIRECT_AC,System,Apply cross-cutting evidence rule,/planning,Evidence state,"Governed rule","Versioned rule reference","configuration/unavailable",PROPOSED_AUTHORITY,"Foundation control has no direct AC"
PLN-TR-043,PLN-R09,PLN-J08,NO_DIRECT_ROW,NO_DIRECT_ROW,NO_DIRECT_AC,Planner,Planning draft lifecycle,/planning,Draft plan,"Planning capability","visit_plans aggregate + planning audit","identity/storage/event assertions",PROPOSED_AUTHORITY,"No baseline row defines Planning draft aggregate identity"
PLN-TR-044,PLN-R09,PLN-J19,CR-182,MVP1-M04-069,AC-0182,Inspector,Inspection workspace draft,/execution,Inspection draft,"Execution capability","inspection/submission draft aggregate","distinct IDs/states/storage/events",PROPOSED_AUTHORITY,"Inspection draft anchor"
PLN-TR-045,PLN-R09,PLN-J19,CR-201,MVP1-M04-088,AC-0201,Inspector,Resume inspection draft,/execution,Resume,"Execution capability","inspection draft storage","cross-aggregate noncollision",PROPOSED_AUTHORITY,"Inspection draft"
PLN-TR-046,PLN-R09,PLN-J19,CR-238,MVP1-M04-125,AC-0238,Inspector,Save inspection draft,/execution,Save,"Execution capability","inspection draft event","distinct audit type",PROPOSED_AUTHORITY,"Inspection draft"
PLN-TR-047,PLN-R09,PLN-J19,CR-263,MVP1-M04-150,AC-0263,Inspector,Offline inspection draft,/execution,Offline state,"Execution capability","offline draft queue","never treated as Planning draft",PROPOSED_AUTHORITY,"Distinct aggregate"
PLN-TR-048,PLN-R09,PLN-J19,CR-294,MVP1-M04-181,AC-0294,Inspector,Inspection draft conflict,/execution,Conflict state,"Execution capability","version/CAS","conflict evidence",PROPOSED_AUTHORITY,"Distinct version"
PLN-TR-049,PLN-R09,PLN-J19,CR-316,MVP1-M04-203,AC-0316,Inspector,Inspection draft history,/execution,History,"Authorized read","Inspection audit","event-type distinction",PROPOSED_AUTHORITY,"Distinct audit"
PLN-TR-050,PLN-R10,PLN-J11,CR-066,MVP1-M02-014,AC-0066,Planner,Planning mutation,/planning,Action,"Applicable capability","Mutation + immutable audit + outbox intent in one transaction","forced failure rolls all back",PROPOSED_AUTHORITY,"Atomicity"
PLN-TR-051,PLN-R10,PLN-J13,CR-093,MVP1-M02-041,AC-0093,Planner,Reschedule notification intent,/planning/visits/:id,Receipt,"Applicable capability","Durable outbox intent; async delivery receipt separate","intent committed; provider failure/retry",PROPOSED_AUTHORITY,"No delivery overclaim"
PLN-TR-052,PLN-R10,PLN-J15,CR-097,MVP1-M02-045,AC-0097,Authorized history reader,Mutation history,/planning/visits/:id,History,"Authorized read","Immutable audit","history/current commit",PROPOSED_AUTHORITY,"History"
PLN-TR-053,PLN-R10,PLN-J19,CR-132,MVP1-M04-019,AC-0132,Inspector,Inspection workflow mutation,/execution,Action,"Execution capability","Mutation/audit/outbox boundary","forced rollback",PROPOSED_AUTHORITY,"Cross-process atomicity"
PLN-TR-054,PLN-R10,PLN-J19,CR-335,MVP1-M04-222,AC-0335,Authorized actor,Notification follow-up,/execution,Notification status,"Authorized read","Delivery receipt/failure/retry successor","provider degraded evidence",PROPOSED_AUTHORITY,"Delivery distinct"
PLN-TR-055,PLN-R10,PLN-J19,FND-003,FND-003,NO_DIRECT_AC,System,Cross-cutting audit/outbox,/planning,Receipt,"Least privilege","Immutable audit + durable outbox intent","atomic forced failure",PROPOSED_AUTHORITY,"Foundation control has no direct AC"
