project_id,project_name,page_path,canonical_name,stable_identity_note,etag_as_revision,size_bytes,is_pilot_page
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,Canvas.dc.html,Canvas,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784830510499088,206,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL AI Studio.dc.html,SAQEEL AI Studio,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,16674,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin.dc.html,SAQEEL Admin,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805992533435,42070,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Detail.dc.html,SAQEEL Admin Detail,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,27540,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Execution.dc.html,SAQEEL Admin Execution,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,13247,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Extended.dc.html,SAQEEL Admin Extended,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,21560,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Form Builder.dc.html,SAQEEL Admin Form Builder,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,14333,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Geofence.dc.html,SAQEEL Admin Geofence,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,10140,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Integrations.dc.html,SAQEEL Admin Integrations,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,9038,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Integrations Data.dc.html,SAQEEL Admin Integrations Data,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,12587,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Lookups.dc.html,SAQEEL Admin Lookups,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,12357,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Lookups copy.dc.html,SAQEEL Admin Lookups copy,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,12357,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Role Override.dc.html,SAQEEL Admin Role Override,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,10978,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin SENAI Data.dc.html,SAQEEL Admin SENAI Data,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805971473854,16211,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Virtual Premium.dc.html,SAQEEL Admin Virtual Premium,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805992533435,9731,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Admin Workflow Builder.dc.html,SAQEEL Admin Workflow Builder,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805992533435,12722,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Auth States.dc.html,SAQEEL Auth States,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784618956418580,10088,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Cases.dc.html,SAQEEL Cases,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805992533435,16518,False
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61,SAQEEL Design System,SAQEEL Committee.dc.html,SAQEEL Committee,no MCP-exposed node/page id beyond file path; etag used as revision proxy,1784805992533435,13333,False
