element,label,value_or_type,source,exact_table_columns,rls_guard,error_null_rendering,fixture_or_runtime,disposition
violation,violation code+title+level,text,current read,violation_codes(code,title,level,clause_id),SELECT authenticated,unavailable not zero,fixture,current
mapping.penalty_ref,penalty reference,text,current,penalty_mappings.penalty_ref,writes compliance/form admin,unavailable,fixture,current
mapping.penalty_range,range preset token,enum(schedule_approved|none),current,penalty_mappings.penalty_range JSON,writes,unavailable,fixture,current
mapping.repeat_rule,repeat preset token,enum(escalate_one_level|none),current,penalty_mappings.repeat_rule JSON,writes,unavailable,fixture,current
mapping.legal_basis,legal basis,text (mandatory at create),current,penalty_mappings.legal_basis,writes,blocks create if empty,fixture,current
mapping.mapping_version,mapping version,text,current,penalty_mappings.mapping_version,writes,unavailable,fixture,current (immutable REFERENCE per FLD-PEN-001)
uniqueness,one mapping per violation,constraint,current,UNIQUE violation_code_id,n/a,duplicate rejected,n/a,current
effective_periods,effective from/to,none,NONE,none,n/a,n/a,n/a,HANDOFF_BLOCKED
lifecycle,submit/approve/publish,none,NONE,none,n/a,n/a,n/a,HANDOFF_BLOCKED
maker_checker,distinct approver,none,NONE,none,n/a,n/a,n/a,HANDOFF_BLOCKED
immutability,mapping row lock,none,NONE,none,n/a,n/a,n/a,HANDOFF_BLOCKED
audit,mapping audit event,none,NONE,none,n/a,n/a,n/a,HANDOFF_BLOCKED
