Sequence,Module,Design,Rows,Source Status,Runtime Status,Principal Route or Surface,Evidence
P00,Controls,N/A,0,IMPLEMENTED_EVIDENCED,CERTIFIED,product-contract/mvp3,"84/84 exact rows dispositioned; retrofit map and certificate published"
P01,M3-00,CD-050,14,IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED_WITH_EXTERNAL_HOLDS,"/admin/integrations; /admin/operations; /admin/security-access","Live migration; 13/13 RLS tables; 25 policies; 0 anon grants; full regression PASS"
P02,M3-01,CD-051,2,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_REGRESSION_CERTIFIED,/admin/workflows,"Published/in-flight workflow behavior retained in 510-test protected regression"
P03,M3-02,CD-052,17,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_REGRESSION_CERTIFIED,"/admin/regulations; /admin/packages","Package composer, lineage, manifest/hash and immutable version contracts pass"
P04,M3-03,CD-053,4,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_REGRESSION_CERTIFIED,"/admin/risk; /admin/risk/models","Governed model, maker-checker, simulation and route regression pass"
P05,M3-04,CD-054,3,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED,/admin/audit,"Append-only replay contracts and rollback-only live probe pass"
P06,M3-05,CD-055,3,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED_PROVIDER_HELD,"/admin/gis; field and visit surfaces","Mapbox ETA, provenance and stale-cache journey pass; deployment token/style/offline policy held"
P07,M3-06,CD-056,14,IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED_MDM_HELD,"/admin/devices; /field","Trusted-device schema/RPC probe and live field device/override journey pass; external MDM held"
P08,M3-07,CD-057,1,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED_IDENTITY_PROVIDER_HELD,/portal,"Portal lifecycle regression passes; external SSO remains fail-closed"
P09,M3-08,CD-058,12,IMPLEMENTED_EVIDENCED,RUNTIME_REGRESSION_CERTIFIED,/dashboard,"Source-backed metrics/drill-through and versioned KPI definitions pass"
P10,M3-09,CD-059,3,IMPLEMENTED_EVIDENCED,RUNTIME_REGRESSION_CERTIFIED,"/enforcement; /cases; /portal","Canonical case/objection/violation spine and consolidated lifecycle pass"
P11,M3-10,CD-060,1,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED_AI_PROVIDER_HELD,/ai/suggestions,"Evidence-cited suggestion and human reject/fail-closed tests pass; provider held"
P12,M3-11,CD-061,9,REUSED_IMPLEMENTED_EVIDENCED,RUNTIME_CERTIFIED_SIGNATURE_PROVIDER_HELD,/committee,"Dossier/refusal contracts pass; verified signing remains provider-gated"
P13,M3-12,N/A,1,IMPLEMENTED_EVIDENCED,CERTIFIED,apps/web/e2e,"Typecheck/build PASS; static 66 pass/4 provider skips; protected browser 510 pass/9 intentional skips/0 fail"
