finding_id,severity,module,screen,node_id,user_task,finding_category,visible_evidence,user_impact,mental_model_impact,required_correction,jira,status,verification_method
CFX-001,VOID,Admin,SCR-ADM-001 AR + 179 AR admin frames,785:12669,n/a,FALSE POSITIVE - RETRACTED,"Reported as 110px text clipped by 29px ad-util__here on 360 nodes. WRONG. Master 120:7145 is a bilingual container holding BOTH labels as siblings (120:7146 ADMINISTRATION EN 110px + 120:7147 الإدارة AR 29px). AR frames HIDE the English sibling and hug to 29px. The 360 nodes are hidden layers that never render.",none,none,none - no defect exists,INSP-775 (CANCELLED),RETRACTED 2026-08-05,"Root cause of my error: scan compared bounding boxes without filtering layer visibility. Caught by inspecting the master component before editing it."
CFX-002,STOP-SHIP/P0,Planning / Visit Management,SCR-WEB-200 /visits RESPONSIVE 768 (523:61820),I523:61835;108:147;71:7,Scan visits and pick one needing action,table clipping / responsive,"tr clips visible cell text by 324px (content ""Not source-backed""); siblings by 200px (""31 Jul 09:00-11:00"") and 76px (""K. Al-Otaibi""). 7 nodes each.",Planner cannot read provenance state dates or inspector names at 768,Table stops being a trustworthy scanning surface,Canonical responsive table pattern applied at component level,INSP-776,OPEN - RE-CONFIRMED after visibility fix,Visibility-filtered geometric overflow
CFX-003,STOP-SHIP/P0,Planning,SCR-WEB-100 /planning RESPONSIVE 1024 (439:51216),I439:51272;71:3 + ~200 siblings,Review plans,table clipping / responsive,"Table cell clips the COLUMN HEADERS: Window 21px (36 nodes), Licence 27px (34), AI score 30px, Visit type 29px, Inspector 25px, Risk 26px, CR 24px, Authority 13px, Factory 5px",Table cannot announce what its own columns are at 1024,Same,Same as CFX-002,INSP-776,OPEN - RE-CONFIRMED,Visibility-filtered
CFX-004,MAJOR/P1,Planning,SCR-PLN-200 Planning Map EN Light (433:49148) and EN Dark (532:79607),"433:49549, 532:79635",Confirm which filters are applied,filter chip clipping,"Button ""Inspector status: Available"" clipped 62px in BOTH themes. 2 nodes.",Planner cannot verify active filter state,Filter chip stops being a state indicator,Chip must hug label; wrap on overflow,INSP-777,FIXED IN FIGMA 2026-08-05 - rescan 0,"Visibility-filtered. NOTE: my original claim of two further Dark chips (532:79631 Risk 32px, 532:79633 Window 35px) was FALSE - hidden layers. Withdrawn."
CFX-005,VOID,Visit Management / Factory 360,8 AR screens,200:24643,n/a,FALSE POSITIVE - RETRACTED,"Reported as Arabic thead clipped 6px on 122 nodes. WRONG - hidden layers. Arabic table headers are not clipped.",none,none,none,INSP-777 (withdrawn in comment),RETRACTED 2026-08-05,Same visibility error as CFX-001
CFX-006,MAJOR/P1,Planning,SCR-PLN-190 Planning Calendar 1024 and 768,"439:52030, 447:57760",See what is scheduled on a day,chip clipping,"Visit chip clips 23px (1024) and 29px (768), 16 nodes. Sample content ""VS-40216"" - the visit identifier itself is cut.",Cannot identify the scheduled visit from the calendar cell,Calendar cell becomes decorative,Chip must hug or truncate with a defined pattern,INSP-777,FIXED IN FIGMA 2026-08-05 - rescan 0,Visibility-filtered rescan + 2x visual render
CFX-007,MAJOR/P1,Planning,SCR-PLN-220 Inspector Workload 768,"447:58195, 447:58197, 447:58205, 433:50771",Choose an inspector with capacity,table + button clipping,Cell — Inspector 2px / Region 4px / Eligibility 2px (15 nodes); Button — Retry calculation 3px,Header labels and values cut,Capacity decision on truncated data,Hug cells and button,INSP-777,FIXED IN FIGMA 2026-08-05 - rescan 0,Visibility-filtered rescan + 2x visual render
CFX-008,MAJOR/P1,Inspector (field),"13 field screens: SCR-FLD-600, 630, DASH, ESTAB, NOTIF, VISITS, ACCOUNT, REPORTS, VIRTUAL, INCIDENT, SEARCH, SETTINGS, COMPLETED","345:42243, 345:42291, 808:86, 809:86 +11",Work a visit on the field channel,layout / clipping,Page title overflows sq-content by 216px on 15 nodes across 13 screens,Screen title cut on every field screen,Field channel reads as a different unfinished product,Content container must match frame width or title must reflow,INSP-750 (related),OPEN - RE-CONFIRMED - overlap to reconcile,Visibility-filtered
CFX-009,MAJOR/P1,All,Product-wide,850:138487 / 860:144362 / 95:7113 / 718:71 (+AR twins),Any,non-product content,"Implementation prose in product copy: ""lib/ksa-regions.ts"", ""IndexedDB store (mim-field-v1, offline.ts)"", designer note ""Arabic runs longer than English on several of these keys""",Users read how the system is built instead of what to do,Product speaks engineering language,Remove entirely (EN and AR),INSP-754 (commented) / INSP-755,OPEN,Full-text scan of 66176 nodes
CFX-010,MAJOR/P1,Inspector (field) / Establishment,Incident Report and Establishment BUILD sections,"450:71711, I450:61931;401:18;9:57, I450:70352;171:22;9:65 (+17)",Record an incident,placeholder content,"20+ nodes reading ""Narrative placeholder text."", ""Reporter name placeholder"", bare ""Placeholder text""",Screens demonstrate nothing,Design reads as a mock not a specification,Replace with real content or a declared empty/read-only state,INSP-754 (commented),OPEN,Full-text scan
CFX-011,MODERATE/P2,All,Product-wide,n/a (aggregate),Any,typography fragmentation,"— SCREENS — uses 6 families: IBM Plex Sans 30893, Noto Sans Arabic 5910, IBM Plex Mono 1245, Inter 73, plexArabic 40, Menlo 12. Admin Shell adds Barlow Condensed 2 + Inter 2.",Inconsistent voice across screens,Screens read as assembled from unrelated templates,"Declare canonical families; eliminate Inter, Menlo, Barlow Condensed, plexArabic",NOT YET FILED,OPEN - counts include hidden layers; needs re-count before filing,Counted across all text nodes
CFX-012,MODERATE/P2,Admin,Admin Shell (all),"112:11 (+1443), 118:28",Read admin content,readability,"1444 nodes at 9px, 537 at 10px, 812 at 10.5px, plus 8.55px/9.02px on wordmark; SCREENS has 930 at 10px",Body and metadata below comfortable reading size,Density achieved by shrinking type not by editing content,Set a minimum type size in the ramp,NOT YET FILED,OPEN - counts include hidden layers; needs re-count before filing,Counted
CFX-013,MODERATE/P2,Admin,SCR-ADM-070C and SCR-ADM-070M (AR),"791:126918, 791:127078",Identify which settings page they are on,Arabic title clipping / responsive,ad-head__title clips Arabic GIS title by 23px (compact) and 75px (720),Arabic admin cannot read the page title at 720,Arabic sized against Latin metrics,Wrap to second line or use a governed short form - do not invent one,INSP-782,OPEN,Visibility-filtered
CFX-014,MODERATE/P2,Admin,SCR-ADM-200 Bulk Violation Assignment,"853:38143, 860:144542",Confirm which package a bulk action applies to,control clipping,control clips option label by 25px,User cannot confirm target of a high-consequence bulk action,Control label unreliable,Size control to longest option or truncate with tooltip,INSP-782,OPEN,Visibility-filtered
