screen_id,populated,loading,empty,validation,unauthorized,read_only,stale,degraded,offline,sync_conflict,recovery,required_locales,themes,viewports
SCR-ADM-001,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-010,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-011,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-020,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-030,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-031,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-040,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-041,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-050,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-051,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-060,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-070,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light",desktop
SCR-ADM-080,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-ADM-090,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-WEB-100,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-110,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-120,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-130,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-140,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-150,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-200,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-210,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-300,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-WEB-310,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-WEB-320,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light",desktop
SCR-WEB-400,required,required,required,required,required,required,required,required,na,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-WEB-500,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light","desktop;wallboard"
SCR-IPAD-600,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-610,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-620,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-630,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-640,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-650,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-660,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-IPAD-670,required,required,required,required,required,required,required,required,required,required,required,"EN;AR","dark;light","1024x1366 portrait;landscape"
SCR-VIR-700,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-VIR-710,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light","desktop;tablet"
SCR-VIR-720,required,required,required,required,required,required,required,required,required,na,required,"EN;AR","dark;light","desktop;tablet"
