design_component_or_state,existing_or_proposed_code_component,css_selector_or_token,notes
Metadata header,apps/web/src/app/admin/regulations/page.tsx (dossier region),ax-surface / astryx heading tokens,proven fields only (code/title/authority/status/created_at)
Clause navigator,apps/web/src/app/admin/regulations/page.tsx,ax-lozenge (per-clause mapped-item badge),reuses existing nested clause read
Clause editor (text/applicability/legal source),apps/web/src/app/admin/regulations/Controls.tsx,none new,16px min input font per WCAG
Persistent lifecycle rail,new dossier region in page.tsx,ax-surface,houses trace/compare/audit/publish-gate
Clause-to-runtime trace (signature),new dossier region,custom ordered-list component,unknown-not-zero discipline; token colors #2DE08E/#E8B84B/#9C9CB2 semantic
Version compare,proposed — clause-diff view,none yet,operates on two regulation records; no lineage inferred
Audit timeline,new dossier region,reads audit_events(object_type='regulation'),schema per CD-004 R2B correction
Publish gate,apps/web/src/app/admin/regulations/Controls.tsx,disabled button + role=alert summary,validation function is new pure logic, no schema change
Published-locked read-only view,page.tsx dossier region (conditional),ax-lozenge status=published,no edit affordance drawn
Submitted/Approved states,NOT IMPLEMENTED,n/a,HANDOFF_BLOCKED — no schema field
Superseded state,NOT IMPLEMENTED,n/a,HANDOFF_BLOCKED — no version-chain field
