dictionary_id,source_document,source_page,category,field,data_type,source_system,business_rule,api_mapping,status,notes
F360-DICT-001,Factory_360_Specification_v2.0.docx,Page 3,License Selector,Factory Name,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,Task Show:$.data.visit.plant.commercial_entity.name_en/name_ar,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-002,Factory_360_Specification_v2.0.docx,Page 3,License Selector,License Number,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,Task Show:$.data.license.license_number,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-003,Factory_360_Specification_v2.0.docx,Page 3,License Selector,Plant Number,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,Task Show:$.data.visit.plant.plant_number,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-004,Factory_360_Specification_v2.0.docx,Page 3,License Selector,License Type,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,Task Show:$.data.license.license_type,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-005,Factory_360_Specification_v2.0.docx,Page 3,License Selector,Stage,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,Task Show:$.data.visit.plant.state,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-006,Factory_360_Specification_v2.0.docx,Page 3,License Selector,Status,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,Task Show:$.data.license.status,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-007,Factory_360_Specification_v2.0.docx,Page 3,License Selector,Risk Level,TO_BE_CONFIRMED,Senaei;Risk Engine,Selected license refreshes every dependent section,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-008,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Company Information,CR Number,TO_BE_CONFIRMED,Senaei,Commercial Registration source facts,Task Show:$.data.visit.cr_number,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-009,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Company Information,Company Name,TO_BE_CONFIRMED,Senaei,Commercial Registration source facts,Task Show:$.data.visit.plant.commercial_entity.name_en/name_ar,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-010,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Company Information,CR Status,TO_BE_CONFIRMED,Senaei,Commercial Registration source facts,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-011,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Company Information,Issue Date,TO_BE_CONFIRMED,Senaei,Commercial Registration source facts,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-012,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Company Information,Expiry Date,TO_BE_CONFIRMED,Senaei,Commercial Registration source facts,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
