acceptance_id,area,criterion,status,evidence_refs,owner,blocking,notes
WP01-AC-001,Coverage,"All 59 routes have route, persona, state, safety and evidence disposition.",PASS,COMPLETE_ROUTE_SCREEN_STATE_INVENTORY.csv,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-002,Safety,No page-load-risk route was opened without an isolated deterministic fixture.,PASS,Inventory blocked dispositions and capture log,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-003,Evidence,"Every accepted screenshot has commit, build, viewport, hash and privacy review.",PASS,SCREENSHOT_EVIDENCE_MANIFEST.csv,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-004,Inspector iPad,"Current-commit as-is evidence covers assignment, startup, journey, workspace, evidence, findings, submission and returned modes.",FAIL_P0,No safe isolated fixture or screenshots,Claude Design for design response; Master Codex for sponsor decisions,YES,
WP01-AC-005,Factory 360 golden,A representative privacy-safe non-test Factory 360 record is available.,FAIL_P0,Current record is a test fixture,Claude Design for design response; Master Codex for sponsor decisions,YES,
WP01-AC-006,Arabic/RTL,Critical Arabic RTL screens contain no untranslated English fragments or clipped account identity.,FAIL_P1,Admin and planning Arabic dark captures,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-007,Maps,Admin GIS renders a verifiable map state for its stated factory count.,FAIL_P1,Admin GIS capture visually blank,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-008,Scale,"Virtual, visit-map, audit and plan-list routes are bounded at representative data scale.",FAIL_P1,Observed extreme input/link/button/document counts,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-009,Provider truth,Projected route and unavailable providers are labeled without simulated success.,PASS,Operations live and provider-held captures,Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-010,Golden pack,All five representative golden screens are evidence-backed with no P0 ambiguity.,FAIL_P0,Inspector and Factory 360 blockers,Claude Design for design response; Master Codex for sponsor decisions,YES,
WP01-AC-011,Shell/persona,"The Shell/persona requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-012,Admin control plane,"The Admin control plane requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-013,Planning/visit,"The Planning/visit requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-014,Review/immutability,"The Review/immutability requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-015,Operations/dashboard,"The Operations/dashboard requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-016,Tables/lists,"The Tables/lists requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-017,Forms/validation,"The Forms/validation requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-018,Maps,"The Maps requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-019,Charts,"The Charts requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-020,Evidence/media,"The Evidence/media requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-021,Offline/sync,"The Offline/sync requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-022,Audit,"The Audit requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-023,Arabic/RTL,"The Arabic/RTL requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-024,Dark theme,"The Dark theme requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-025,Responsive,"The Responsive requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-026,Keyboard/focus,"The Keyboard/focus requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-027,Screen reader,"The Screen reader requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-028,Provider states,"The Provider states requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-029,Empty/loading/error,"The Empty/loading/error requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-030,Data freshness,"The Data freshness requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-031,Test-data hygiene,"The Test-data hygiene requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-032,Privacy,"The Privacy requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-033,Lifecycle states,"The Lifecycle states requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-034,Irreversible actions,"The Irreversible actions requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-035,Component disposition,"The Component disposition requirement is explicit, source-backed and has direct evidence or an honest blocker.",PASS,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-036,Token semantics,"The Token semantics requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-037,Typography,"The Typography requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
