requirement_id,module,capability,classification,process_phases,journey,authoritative_storyboard,channel,screens,states,state_transitions,behavior,acceptance_id,evidence_contracts,error_contracts,source
MVP1-M01-001,Visit Planning - Planning,Visit Creation,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select planning method. -> Load the selected planning workflow.,AC-0001,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 2
MVP1-M01-002,Visit Planning - Planning,Bulk Planning,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Build search criteria, search factories, select/unselect factories, configure visit, publish. -> Retrieve factories, validate duplicates, generate Visit Plan, generate Visit IDs, assign inspectors, notify inspectors, create audit logs.",AC-0002,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 3
MVP1-M01-003,Visit Planning - Planning,Planning Criteria Builder,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Add, edit and remove criteria using AND / OR conditions. -> Validate criteria and execute factory search.",AC-0003,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 4
MVP1-M01-004,Visit Planning - Planning,Target Factory Identification,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Review search results. -> Retrieve all matching factories.,AC-0004,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 5
MVP1-M01-005,Visit Planning - Planning,Target Factory Selection,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select or remove factories individually or in bulk. -> Track selected factories and prepare Visit Plan.,AC-0005,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 6
MVP1-M01-006,Visit Planning - Planning,Visit Configuration,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Select Business Visit Type, Visit Window, Assignment Method, Notes. -> Validate mandatory fields.",AC-0006,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 7
MVP1-M01-007,Visit Planning - Planning,Automatic Inspector Assignment,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select Auto Assignment. -> Assign inspectors according to assignment strategy.,AC-0007,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 8
MVP1-M01-008,Visit Planning - Planning,Manual Inspector Assignment,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select inspector for one or multiple visits. -> Validate inspector availability.,AC-0008,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 9
MVP1-M01-009,Visit Planning - Planning,Review Visit Plan,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Review all configuration and assignments. -> Validate all required information.,AC-0009,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 10
MVP1-M01-010,Visit Planning - Planning,Publish Visit Plan,MVP1 Core + MVP2 AI Sub-capability,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Confirm publishing. -> Create Visit Plan, create individual Visits, assign inspectors, update inspector calendars, generate audit records, send notifications.",AC-0010,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 11
