master_row,requirement_id,module,source_requirement,design_ref,route_or_component,test_evidence,runtime_evidence,provider_or_policy_hold,classification,gap_or_note,source_paths
57,MVP2-REQ-0244,M3-06,"The Device & Offline Admin module shall allow only trusted enrolled devices to download, open and submit official inspection packages.",CD-056 | CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-056_R2_FINAL/renders/01..06-CD-056_R2.png,/admin/devices; /field,apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts; apps/web/e2e/m04-device-eta-override.spec.ts; supabase/tests/mvp3_retrofit_live_probe.sql,product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (focused M04 8/8 PASS; 510 pass/9 intentional skips/0 fail; live rollback probe PASS); product-contract/evidence/TASK-IPAD-M04-DEVICE-ETA-OVERRIDE-001.md,"External MDM is held in MVP3_IMPLEMENTATION_STATUS.csv and the retrofit certificate, but has no dedicated row in MVP3_PROVIDER_POLICY_HOLDS.csv.",NEEDS_REVIEW,"Coverage, route, migration contract and field journey align, but the external MDM dependency is named only in implementation status/certificate and is absent from the provider/policy hold register; add a dedicated fail-closed hold before treating device administration as fully governed.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts; apps/web/e2e/m04-device-eta-override.spec.ts; supabase/tests/mvp3_retrofit_live_probe.sql; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (focused M04 8/8 PASS; 510 pass/9 intentional skips/0 fail; live rollback probe PASS); product-contract/evidence/TASK-IPAD-M04-DEVICE-ETA-OVERRIDE-001.md
58,MVP2-REQ-0228,M3-07,"External channel | Factory Portal / iPad handoff | Factory representative receives visit notices, views findings summary, signs/refuses, submits corrections, raises objections and tracks outcome. | Factory representative | Plain-language factory journey | Must be legally clear, bilingual-ready and non-technical.",CD-057 | CD-057_M3-07_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-057_R2_FINAL/renders/01..06-CD-057_R2.png,/portal,apps/web/e2e/mvp2-m2-08-portal.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts,product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (portal lifecycle regression PASS; protected browser inventory 510 pass/0 fail),MVP3-HOLD-003 external identity/SSO OPEN; local supported authentication remains available and external SSO stays disabled.,MATCH,Exact register/reconciliation identity and portal lifecycle evidence align; external SSO remains explicitly fail-closed.,product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/mvp2-m2-08-portal.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (portal lifecycle regression PASS; protected browser inventory 510 pass/0 fail)
59,MVP2-REQ-0067,M3-08,"PLAT-0001 | Web Operations | Business Web | Executive Dashboard | National health index, factories monitored, high-risk factories, open violations, inspection coverage, average resolution, heatmaps, drilldowns | Owns configuration, runtime behavior, validation, audit and handoff for Executive Dashboard. | Does not bypass source BRD rules, published workflows or role permissions. | Executive, Sector Manager, Reporting Analyst | Dashboard, KPI drilldown, map, trend panel | KPI, Factory, Visit, RiskScore, Violation, Correction | Report fields and score outputs enrich KPIs. | Risk band and risk drivers power prioritization and heatmaps. | Workflow state produces counts, SLA aging and exceptions. | Executive briefing, KPI evidence trail | P0 | Factory Health Platform2(1).pdf page 1",CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
60,MVP2-REQ-0069,M3-08,"PLAT-0008 | Web Operations | Business Web | Reports & Analytics | Standard reports, custom analysis, exports, metric lineage, inspector performance, violation trends | Owns configuration, runtime behavior, validation, audit and handoff for Reports & Analytics. | Does not bypass source BRD rules, published workflows or role permissions. | Executive, Reporting Analyst, Branch Manager | Report catalog, analytics studio, export center | Metric, Dataset, Report, ExportJob | Form outputs become dimensions/measures. | Risk model output is report dimension. | Workflow states supply SLA and aging measures. | Reports, dashboards, exports | P0 | Reports and indicators BRD",CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
61,MVP2-REQ-0079,M3-08,"Refreshes National Health Index, monitored factories, high-risk factories, open violations, coverage and resolution cards",CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
62,MVP2-REQ-0080,M3-08,"Shows density of risk, violations, visits and corrective aging",CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for source-backed KPI/reporting; MVP3-HOLD-002 applies specifically to configured Mapbox map rendering.,NEEDS_REVIEW,"Design and dashboard implementation align, but configured Mapbox token/style/geographic authority remain under MVP3-HOLD-002; current evidence supports source-backed dashboard data, not a provider-complete health-map runtime.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
63,MVP2-REQ-0081,M3-08,"Shows clause, sector, region, recurrence and trend",CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
64,MVP2-REQ-0082,M3-08,Locks approved version and calls EBDA where configured,CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
65,MVP2-REQ-0085,M3-08,"Shows formula, source objects and quality checks",CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
66,MVP2-REQ-0086,M3-08,Maintains breadcrumb and source context,CD-058 | CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved) | CD-058_R2_FINAL/renders/01..06-CD-058_R2.png,/dashboard; dashboard metric functions; mvp3_kpi_definitions,apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts,product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS),None for this source-backed KPI/reporting row; MVP3-HOLD-002 is not counted as evidence for non-map functions.,MATCH,"Exact register/reconciliation identity aligns with source-backed dashboard tests, screenshots and runtime regression; no provider-complete claim is made.",product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; apps/web/e2e/dashboard-business.spec.ts; apps/web/e2e/dashboard-kpi-seed.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-WEB-DASHBOARD-002-EV-001.txt; product-contract/evidence/screens/dashboard-business-v1/; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md (source-backed metrics/drill-through regression PASS)
