capture_id,screen_id,screen_name,channel,process_id,route,catalogue_route,route_status,persona,authorization,permission_rule,state,locale,direction,theme,viewport_profile,viewport,data_precondition,safe_capture_rule,existing_evidence_reuse,blocker,wave
P2C-00001,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,populated,EN,LTR,light,A,1440x1024,Read-only deterministic fixture or existing scoped record; known commit and freshness timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00002,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,populated,EN,LTR,dark,B,1440x1024,Read-only deterministic fixture or existing scoped record; known commit and freshness timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00003,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,populated,AR,RTL,light,C,1440x1024,Read-only deterministic fixture or existing scoped record; known commit and freshness timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00004,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,populated,AR,RTL,dark,D,1440x1024,Read-only deterministic fixture or existing scoped record; known commit and freshness timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00005,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,populated,EN,LTR,light,E,1024x768,Read-only deterministic fixture or existing scoped record; known commit and freshness timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00006,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,populated,AR,RTL,dark,F,1024x768,Read-only deterministic fixture or existing scoped record; known commit and freshness timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00007,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,loading,EN,LTR,light,A,1440x1024,Deterministic render/network delay; no action submitted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00008,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,loading,EN,LTR,dark,B,1440x1024,Deterministic render/network delay; no action submitted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00009,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,loading,AR,RTL,light,C,1440x1024,Deterministic render/network delay; no action submitted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00010,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,loading,AR,RTL,dark,D,1440x1024,Deterministic render/network delay; no action submitted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
