map_id,journey_id,process_step,actor,route,screen_ui,rule_ids,trace_ids,positive_acceptance,negative_boundary_acceptance,offline_degraded_acceptance,verdict,release_gate
PLN-SPA-001,PLN-J01,Enter Planning,Planner,/planning,Planning landing,NONE,NONE,"Authorized business staff sees governed methods","Inspector/admin denial follows approved role contract","Data read failure shows unavailable and mutates nothing",AVAILABLE,"Current behavior still needs release evidence"
PLN-SPA-002,PLN-J02,Choose registered-factory planning method,Planner,/planning,Method cards,NONE,NONE,"Bulk/single/immediate registered entry is visible as authorized","Unauthorized method hidden/denied","Lookup failure truthful",AVAILABLE,"Role-matrix evidence"
PLN-SPA-003,PLN-J03,Choose immediate mode,Planner or Inspector pending,/planning/immediate,Immediate mode selector,PLN-R05,PLN-TR-024,"No completion credit before Council role/mode ruling","Unapproved actor/mode denied","External dependency shown env-gated/unavailable",GOVERNED-DECISION,"GATE-PLN-R05"
PLN-SPA-004,PLN-J04,Capture unregistered factory,Pending Council,/planning/immediate,Factory identity and physical location,PLN-R05,PLN-TR-025;PLN-TR-026,"Only after Council lifecycle/source ruling","No manual-factory reinterpretation or live-source invention","Seeded/env-gated Senaei states only",GOVERNED-DECISION,"GATE-PLN-R05"
PLN-SPA-005,PLN-J05,Define bulk criteria and freeze targets,Planner,/planning/bulk,Criteria and selection,PLN-R04,PLN-TR-016;PLN-TR-017,"Frozen IDs/versions and exact count","Zero/mixed/stale targets explicit; no truncation","Retry preserves snapshot",PARTIAL,"Backend frozen-target contract"
PLN-SPA-006,PLN-J06,Select one registered factory,Planner,/planning/single,Factory search/selection,NONE,NONE,"Exact selected factory proceeds","No/multiple match handled","Senaei is truthful seeded/env-gated",PARTIAL,"Source provenance and resolver evidence"
PLN-SPA-007,PLN-J07,Configure visit and locked evidence rule,Planner,/planning/single,Package window mode evidence rule,PLN-R08,PLN-TR-038,"Locked effective rule/version shown","Missing/changed rule fails closed","Unavailable configuration shown",PARTIAL,"Locked-rule backend evidence"
PLN-SPA-008,PLN-J08,Save or archive Planning draft,Planner,/planning,Draft card and Discard draft,PLN-R01;PLN-R09,PLN-TR-001;PLN-TR-043,"Parent and every linked draft child archive atomically with provenance and retain draft identity","Published/final/unauthorized/concurrent child fails closed; no Cancelled conversion","Idempotent replay returns original receipt",MISSING,"SCHEMA_GAP-R01-CHILD-ARCHIVE"
PLN-SPA-009,PLN-J09,Assign inspector,Planner/Supervisor pending,/planning,Assignee and availability,PLN-R06,PLN-TR-027;PLN-TR-028;PLN-TR-029,"Blocked until Council maps Supervisor capability","No executable grant while blocked","Unavailable capacity shown",GOVERNED-DECISION,"GATE-PLN-R06"
PLN-SPA-010,PLN-J10,Review visit draft,Planner,/planning/bulk/review,Review summary,NONE,NONE,"Current values and warnings visible","Invalid/stale configuration blocks publish","Dependency failure truthful",PARTIAL,"Deterministic review evidence"
