acceptance_id,requirement_id,journey_id,acceptance,fixture_or_precondition,status,blocker,evidence,notes
F360-ISH-AC-001,F360-ISH-REQ-001,F360-ISH-JRN-001,License-info contract has verified method auth identifiers schemas errors privacy and fixture checksum,Approved authenticated beta capture or sanitized developer contract,BLOCKED_EXTERNAL,PARTIAL_METHOD_ONLY,F360-ISH-EV-001,Authenticated beta proves POST; all remaining contract dimensions are unverified.
F360-ISH-AC-002,F360-ISH-REQ-002,F360-ISH-JRN-002,License products reconcile without overwriting task production-line facts,Verified product contract and conflict fixture,BLOCKED_EXTERNAL,PARTIAL_METHOD_ONLY,F360-ISH-EV-002,Authenticated beta proves POST; the fail-closed adapter remains verified.
F360-ISH-AC-003,F360-ISH-REQ-003,F360-ISH-JRN-003,License preview is used only according to proven aggregate or master semantics,Verified preview authority evidence,BLOCKED_EXTERNAL,PARTIAL_METHOD_ONLY,F360-ISH-EV-003,Authenticated beta proves POST; aggregate authority remains unverified and no duplicate master persistence is implemented.
F360-ISH-AC-004,F360-ISH-REQ-004,F360-ISH-JRN-004,Job workforce remains source-labelled and separate from approved observed workforce,Verified aggregate contract and privacy decision,BLOCKED_EXTERNAL,CONTRACT_AND_PRIVACY_EVIDENCE_NOT_SUPPLIED,F360-ISH-EV-004,No person-level storage is authorized.
F360-ISH-AC-005,F360-ISH-REQ-005,F360-ISH-JRN-005,Contacts are permission-filtered masked effective-dated and distinct from manual representatives,Verified contract plus permission masking retention decision,BLOCKED_EXTERNAL,CONTRACT_AND_PRIVACY_DECISION_NOT_SUPPLIED,F360-ISH-EV-005,Legacy representatives are preserved.
F360-ISH-AC-006,F360-ISH-REQ-006,F360-ISH-JRN-006,Plants reconcile into CR license plant search while preserving one license equals one plant,Verified identifier scope and cardinality evidence,BLOCKED_EXTERNAL,CONTRACT_EVIDENCE_NOT_SUPPLIED,F360-ISH-EV-006,F360-BR-002 is protected.
F360-ISH-AC-007,F360-ISH-REQ-007,F360-ISH-JRN-007,Plant-with-labors splits plant master and workforce sources without overwrite,Verified overlap precedence and privacy evidence,BLOCKED_EXTERNAL,CONTRACT_EVIDENCE_NOT_SUPPLIED,F360-ISH-EV-007,No denormalized source overwrite is implemented.
F360-ISH-AC-008,F360-ISH-REQ-008,F360-ISH-JRN-008,Industrial activity validation never mutates license package planning risk or compliance,Verified request and response contract,BLOCKED_EXTERNAL,PARTIAL_METHOD_ONLY,F360-ISH-EV-008,Authenticated beta proves POST; the fail-closed boundary prevents mutation.
F360-ISH-AC-009,F360-ISH-REQ-009,F360-ISH-JRN-009,Activity catalogue is bilingual versioned and source-backed,Verified catalogue schema and version evidence,BLOCKED_EXTERNAL,PARTIAL_METHOD_ONLY,F360-ISH-EV-009,Authenticated beta proves POST; schema version labels and authority remain unverified.
F360-ISH-AC-010,F360-ISH-REQ-010,F360-ISH-JRN-010,Delegations remain distinct from contacts with restricted history and masking,Verified contract plus permission masking retention decision,BLOCKED_EXTERNAL,CONTRACT_AND_PRIVACY_DECISION_NOT_SUPPLIED,F360-ISH-EV-010,No delegation schema is implemented.
F360-ISH-AC-011,F360-ISH-REQ-011,F360-ISH-JRN-011,HRSD workforce is aggregate source-labelled and privacy-safe,Verified contract source precedence and privacy decision,BLOCKED_EXTERNAL,CONTRACT_AND_PRIVACY_EVIDENCE_NOT_SUPPLIED,F360-ISH-EV-011,No person-level storage is authorized.
F360-ISH-AC-012,F360-ISH-REQ-012,F360-ISH-JRN-012,Industry Shared provider is isolated from /api/inspection and cannot infer method or auth,Developer endpoint leads,FUNCTIONALLY_VERIFIED,,apps/web/e2e/industry-shared-integration-contract.spec.ts,Dedicated server-only fail-closed boundary passes 4/4.
F360-ISH-AC-013,F360-ISH-REQ-013,F360-ISH-JRN-012,All eleven leads have exact permanent contract and stub dispositions,Pack and code discovery,FUNCTIONALLY_VERIFIED,,product-contract/factory-360/industry-shared/INDUSTRY_SHARED_ENDPOINT_CONTRACT_LEDGER.csv,No stub was retired without contract proof.
F360-ISH-AC-014,F360-ISH-REQ-014,F360-ISH-JRN-012,Unknown sensitive fields never enter fixtures logs or raw snapshots,No verified sensitive payloads available,FUNCTIONALLY_VERIFIED,,apps/web/e2e/industry-shared-integration-contract.spec.ts,Privacy remains unknown and fail closed.
F360-ISH-AC-015,F360-ISH-REQ-015,F360-ISH-JRN-012,One endpoint failure cannot blank Factory 360,Existing protected dossier plus unavailable result model,CODE_COMPLETE,PENDING_PROTECTED_REGRESSION,apps/web/src/lib/integrations/industry-shared/client.ts,No Web data projection changes were made without contracts.
F360-ISH-AC-016,F360-ISH-REQ-016,F360-ISH-JRN-012,Existing Factory 360 and Senaei provider behavior remains unchanged,Exact baseline db528546 and protected suite,CODE_COMPLETE,PENDING_PROTECTED_REGRESSION,apps/web/src/lib/integrations/industry-shared/client.ts,The existing Senaei client contains no shared path.
F360-ISH-AC-017,F360-ISH-REQ-017,F360-ISH-JRN-012,Every verified contract receives host path method auth timeout size invalid JSON and schema tests,At least one CONTRACT_VERIFIED endpoint,BLOCKED_EXTERNAL,NO_CONTRACT_VERIFIED,F360-ISH-EV-012,Network client is intentionally absent until evidence exists.
F360-ISH-AC-018,F360-ISH-REQ-018,F360-ISH-JRN-012,Web and iPad consume one canonical Industry Shared projection after reconciliation,Completed Web provider plus iPad branch SHA,BLOCKED_EXTERNAL,NO_CONTRACT_VERIFIED_AND_IPAD_RECONCILIATION_PENDING,F360-ISH-EV-012,No iPad redesign or parallel source model is authorized in this branch.
