endpoint_id,route_or_endpoint,file_path,persona,read_write,tables_views_rpc,external_adapter,data_source_class,mock_fixture_dependency,rls_policy_involved,required_seed_scenario,expected_side_effect,receiving_downstream_workflow,test_evidence
EP-001,/(app)/admin/access,app/(app)/admin/access/page.tsx + actions.ts + role-capability-actions.ts,Platform administrator,read/write,"capabilities, permissions, profiles, role_capabilities, role_permissions, roles, user_capability_grants, user_roles; rpc has_planning_capability, has_role",none,LIVE_DATABASE,none,RLS on roles/user_roles/role_capabilities by admin capability,15-20 personas with varied role/capability grants,mutates role_capabilities/role_permissions + audit_events,Access Manager UI / downstream RLS enforcement across all modules,cd-004-admin-control-plane-home.spec.ts
EP-002,/(app)/admin/audit,app/(app)/admin/audit/page.tsx + AuditReplayWorkspace.tsx,Platform administrator / Auditor,read,"audit_event_ontology_entries, audit_event_ontology_versions, audit_event_order_constraints, audit_event_registry, audit_events, audit_semantic_events; rpc audit_replay_case",none,LIVE_DATABASE,none,RLS by admin/auditor capability,12-month audit_events history across all workflow types,none (read-only replay),Compliance/legal audit trail,cd-004-admin-control-plane-home.spec.ts
EP-003,/(app)/admin/bulk-violations,app/(app)/admin/bulk-violations/page.tsx + BulkViolationForm.tsx + actions.ts,Compliance manager,read/write,"factories, user_roles, violation_codes; rpc issue_bulk_violation",none,LIVE_DATABASE,none,RLS by compliance-manager capability,factories with active violations + violation_codes catalogue,inserts violations/action_forms via canonical RPC + audit_events,Enforcement queue / Factory 360 compliance history,none found
EP-004,/(app)/admin/compliance-approvals,app/(app)/admin/compliance-approvals/page.tsx,Compliance manager,read,"compliance_configuration_requests, compliance_request_component_dependencies, compliance_request_components",none,LIVE_DATABASE,none,RLS by compliance-manager capability,compliance requests in draft/submitted/approved states,none (read/dispatch to detail),Compliance request detail workspace,compliance-request-engine.spec.ts
EP-005,/(app)/admin/compliance-requests,app/(app)/admin/compliance-requests/page.tsx + [id]/page.tsx + actions.ts + ActionForm.tsx,Compliance manager / Form administrator,read/write,"compliance_configuration_requests, compliance_request_component_dependencies, compliance_request_components, compliance_request_decisions, compliance_request_publications, compliance_request_revisions, notification_rules, user_roles; rpc create_compliance_request",none,LIVE_DATABASE,none,RLS by compliance-manager/form-admin capability,compliance requests across full lifecycle (draft/revision/decision/publication),inserts request + revisions + audit_events + notification_rules trigger,Notification engine / published configuration consumers,compliance-request-engine.spec.ts
EP-006,/(app)/admin/devices,app/(app)/admin/devices/page.tsx,Platform administrator (MVP3),read,"mvp3_device_commands, mvp3_devices",none,LIVE_DATABASE,none,RLS by admin capability,registered inspector iPad devices + command history,none (read-only device roster),Device command dispatch / field device policy,mvp3-retrofit-regression.spec.ts
EP-007,/(app)/admin/enforcement-recommendations,app/(app)/admin/enforcement-recommendations/page.tsx + DecideForm.tsx + actions.ts,Enforcement officer,read/write,enforcement_recommendations,none,LIVE_DATABASE,none,RLS by enforcement capability,enforcement recommendations pending/approved/rejected,updates enforcement_recommendations status + audit_events,Cases / Enforcement module,none found
EP-008,/(app)/admin/gis + /gis/spatial,app/(app)/admin/gis/page.tsx + GisStudio.tsx + actions.ts + spatial/*,GIS administrator,read/write,"factories, engine_settings, gis_layers, factory_locations",none,LIVE_DATABASE,none,RLS by gis-admin capability,factory coordinates across KSA regions + configured gis_layers,inserts/updates gis_layers + factory location corrections,Operations map / Visit map geofence checks,cd-004-admin-control-plane-home.spec.ts
EP-009,/(app)/admin/integrations,app/(app)/admin/integrations/page.tsx,Platform administrator (MVP3),read,"mvp3_api_events, mvp3_export_jobs, mvp3_integration_endpoints",none (registry only; no live call),LIVE_DATABASE,none,RLS by admin capability,integration endpoint registry with sample event/export history,none (read-only registry),Admin integrations monitoring,none found
EP-010,/(app)/admin/integrations/factory-data,app/(app)/admin/integrations/factory-data/page.tsx + CsvImportForm.tsx + MasterDataForms.tsx + actions.ts,Form administrator,read/write,"factories, factory_documents, factory_import_batches, factory_import_rows, factory_materials, factory_products, factory_representatives, senaei_reconciliation_records, senaei_sync_runs, user_roles",Senaei (legacy CSV reconciliation reference only),PERSISTED_CONTRACT_STUB,legacy SENAI CSV import path is explicitly LEGACY_REFERENCE per blueprint,RLS by form-admin capability,factory import batches with valid/invalid rows + reconciliation diffs,inserts factory_import_batches/rows + factory master records,Factory 360 master data / GIS,none found
