key,en,ar,status,approved_source,screens,role,kind,priority,shared
factory360.licensesPlants,Licenses & plants,,new,,SCR-WEB-400,title,section-title,P1,
planning.bulk.andOr,AND/OR,,new,,SCR-WEB-110,title,section-title,P1,
planning.bulk.carriedIntoVisitConfiguration,Carried into visit configuration,,new,,SCR-WEB-110,hint,field-hint,P1,
planning.bulk.conditionGroupingIsAMandatory,Condition grouping is a mandatory region of SCR-WEB-110. The operator model is not configured.,,new,,SCR-WEB-110,ad-state__body,state-body,P1,
planning.bulk.filterBuilder,Filter builder,,new,,SCR-WEB-110,title,section-title,P1,
planning.bulk.lastInspectionBefore,Last inspection before,,new,,SCR-WEB-110,field-label,form-label,P1,
planning.bulk.matchingFactories,Matching factories,,new,,SCR-WEB-110,term,field-term,P1,
planning.bulk.resultCount,Result count,,new,,SCR-WEB-110,title,section-title,P1,
planning.bulk.retrievedFromTheGovernedSenaei,Retrieved from the governed SENAEI mirror,,new,,SCR-WEB-110,hint,field-hint,P1,
planning.bulk.riskBand,Risk band,,new,,SCR-WEB-110 SCR-WEB-120,field-label,form-label,P1,yes
planning.bulk.selectedTargets,Selected targets,,new,,SCR-WEB-110,term,field-term,P1,
planning.bulk.selection,Selection,,new,,SCR-WEB-110,title,section-title,P1,
planning.bulk.targetingCriteria,Targeting criteria,,new,,SCR-WEB-110,sq-content,page-title,P1,
planning.configure.configurationForm,Configuration form,,new,,SCR-WEB-140,title,section-title,P1,
planning.configure.conflictPanel,Conflict panel,,new,,SCR-WEB-140,title,section-title,P1,
planning.configure.overlappingVisitsAndInspectorAvailability,Overlapping visits and inspector availability are a mandatory region of SCR-WEB-140. No conflict source is configured.,,new,,SCR-WEB-140,ad-state__body,state-body,P1,
planning.configure.physicalOrVirtualDrivesJourney,Physical or virtual; drives journey and arrival rules,,new,,SCR-WEB-140,hint,field-hint,P1,
planning.configure.supportingInspectors,Supporting inspectors,,new,,SCR-WEB-140,field-label,form-label,P1,
planning.configure.team,Team,,new,,SCR-WEB-140,title,section-title,P1,
planning.configure.thePublishedVersionTheVisit,The published version the visit will execute,,new,,SCR-WEB-140,hint,field-hint,P1,
planning.configure.visitConfigurationAssignment,Visit configuration & assignment,,new,,SCR-WEB-140,sq-content,page-title,P1,
planning.immediate.assignment,Assignment,,new,,SCR-WEB-130 SCR-WEB-210,title,section-title,P1,yes
planning.immediate.identityLocation,Identity / location,,new,,SCR-WEB-130,title,section-title,P1,
planning.immediate.immediateVisit,Immediate visit,,new,,SCR-WEB-130,sq-content,page-title,P1,
planning.immediate.location,Location,,new,,SCR-WEB-130,field-label,form-label,P1,
planning.immediate.reasonForImmediateVisit,Reason for immediate visit,,new,,SCR-WEB-130,field-label,form-label,P1,
planning.immediate.registeredFactory,Registered factory,,new,,SCR-WEB-130,field-label,form-label,P1,
planning.immediate.unregisteredEstablishmentName,Unregistered establishment name,,new,,SCR-WEB-130,field-label,form-label,P1,
planning.immediate.urgencyReason,Urgency reason,,new,,SCR-WEB-130,title,section-title,P1,
planning.review.assignments,Assignments,,new,,SCR-WEB-150,title,section-title,P1,
planning.review.draftPlanUnderReview,Draft plan under review,,new,,SCR-WEB-150,hint,field-hint,P1,
planning.review.howTheTargetsWereSelected,How the targets were selected,,new,,SCR-WEB-150,hint,field-hint,P1,
planning.review.method,Method,,new,,SCR-WEB-150,term,field-term,P1,
planning.review.notifications,Notifications,,new,,SCR-WEB-150,title,section-title,P1,
planning.review.planReviewPublish,Plan review & publish,,new,,SCR-WEB-150,sq-content,page-title,P1,
planning.review.plannerAndTimestamp,Planner and timestamp,,new,,SCR-WEB-150,hint,field-hint,P1,
planning.review.publishNotificationsAreAMandatory,Publish notifications are a mandatory region of SCR-WEB-150. No notification rule is configured.,,new,,SCR-WEB-150,ad-state__body,state-body,P1,
planning.review.publishValidationIsAMandatory,Publish validation is a mandatory region of SCR-WEB-150. No validation rule set is configured.,,new,,SCR-WEB-150,ad-state__body,state-body,P1,
planning.review.setDuringVisitConfiguration,Set during visit configuration,,new,,SCR-WEB-150 SCR-VIR-700,hint,field-hint,P1,yes
planning.review.targets,Targets,,new,,SCR-WEB-150,title,section-title,P1,
planning.review.validation,Validation,,new,,SCR-WEB-150,title,section-title,P1,
planning.single.currentGovernedBand,Current governed band,,new,,SCR-WEB-120,hint,field-hint,P1,
planning.single.inspectionPackage,Inspection package,,new,,SCR-WEB-120 SCR-WEB-140 SCR-WEB-210 SCR-VIR-720,field-label,form-label,P1,yes
planning.single.resolvedFromTheGovernedMirror,Resolved from the governed mirror,,new,,SCR-WEB-120,hint,field-hint,P1,
planning.single.singleVisitPlanning,Single visit planning,,new,,SCR-WEB-120,sq-content,page-title,P1,
reviews.compare.baseline,Baseline,,new,,SCR-WEB-320,term,field-term,P1,
reviews.compare.comparedVersions,Compared versions,,new,,SCR-WEB-320,title,section-title,P1,
reviews.compare.fieldLevelDifferences,Field-level differences,,new,,SCR-WEB-320,title,section-title,P1,
reviews.compare.inspectionWindow,Inspection window,,new,,SCR-WEB-320,diff-row,field-term,P1,
reviews.compare.riskWeight,Risk weight,,new,,SCR-WEB-320,diff-row,field-term,P1,
reviews.compare.theResubmittedVersionUnderReview,The resubmitted version under review,,new,,SCR-WEB-320,hint,field-hint,P1,
reviews.compare.theVersionCurrentlyApproved,The version currently approved,,new,,SCR-WEB-320,hint,field-hint,P1,
reviews.compare.versionComparison,Version comparison,,new,,SCR-WEB-320,sq-content,page-title,P1,
reviews.workspace.decisionNote,Decision note,,new,,SCR-WEB-310,label,form-label,P1,
reviews.workspace.escalate,Escalate,,new,,SCR-WEB-310,Button,action,P1,
reviews.workspace.findings,Findings,,new,,SCR-WEB-310,title,section-title,P1,
reviews.workspace.fireSuppressionSystemNotServiced,Fire suppression system not serviced,,new,,SCR-WEB-310,title,section-title,P1,
reviews.workspace.inspectionReviewQueue,Inspection review queue,,new,,SCR-WEB-310,sq-content,page-title,P1,
reviews.workspace.queue,Queue,,new,,SCR-WEB-310,title,section-title,P1,
reviews.workspace.requiredForRejectionOrEscalation,Required for rejection or escalation,,new,,SCR-WEB-310,textarea.input,placeholder,P1,
reviews.workspace.supervisorReview,Supervisor review,,new,,SCR-WEB-310,panel-title,section-title,P1,
reviews.workspace.unverified,Unverified,,new,,SCR-WEB-310,label,form-label,P1,
reviews.workspace.verified,Verified,,new,,SCR-WEB-310 SCR-VIR-700,label,form-label,P1,yes
virtual.appointment.appointment,Appointment,,new,,SCR-VIR-700,title,section-title,P1,
virtual.appointment.camera,Camera,,new,,SCR-VIR-700,term,field-term,P1,
virtual.appointment.checkedInTheBrowserBefore,Checked in the browser before joining,,new,,SCR-VIR-700,hint,field-hint,P1,
virtual.appointment.connection,Connection,,new,,SCR-VIR-700 SCR-VIR-720,term,field-term,P1,yes
virtual.appointment.deviceReadiness,Device readiness,,new,,SCR-VIR-700,title,section-title,P1,
virtual.appointment.instructions,Instructions,,new,,SCR-VIR-700,title,section-title,P1,
virtual.appointment.joinAdmitAndRescheduleAre,"Join, admit and reschedule are a mandatory region of SCR-VIR-700. The virtual session provider is not configured.",,new,,SCR-VIR-700,ad-state__body,state-body,P1,
virtual.appointment.joinControls,Join controls,,new,,SCR-VIR-700,title,section-title,P1,
virtual.appointment.joiningInstructionsAreAMandatory,Joining instructions are a mandatory region of SCR-VIR-700. No instruction template is configured.,,new,,SCR-VIR-700,ad-state__body,state-body,P1,
virtual.appointment.measuredAgainstTheMinimumGoverned,Measured against the minimum governed threshold,,new,,SCR-VIR-700,hint,field-hint,P1,
virtual.appointment.microphone,Microphone,,new,,SCR-VIR-700,term,field-term,P1,
virtual.appointment.participants,Participants,,new,,SCR-VIR-700,title,section-title,P1,
