master_row,requirement_id,module,source_requirement,design_ref,route_or_component,test_evidence,runtime_evidence,provider_or_policy_hold,classification,gap_or_note,source_paths
"29","MVP2-REQ-0070","M3-02","Form Builder must govern templates, components, conditional logic, validation, evidence rules, scoring, report mapping, and localization.","CD-052 R2 frames 01..06","/admin/templates; /admin/packages","mvp3-enterprise-contract.spec.ts; cd-008-009-packages.spec.ts","Module-level runtime regression certificate; no row-specific end-to-end Form Builder proof named.","Production release hold only.","NEEDS_REVIEW","The implementation register names package composer/lineage evidence, but does not identify runtime evidence for the full Form Builder surface, especially conditional logic, scoring, report mapping, and localization.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/cd-008-009-packages.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"30","MVP2-REQ-0071","M3-02","Regulation Library must govern regulations, clauses, violations, penalties, maker/checker, effective versions, and linkages.","CD-052 R2 frames 01..06","/admin/regulations","cd-005-006-regulations.spec.ts; cd-006-regulation-publish-provenance.spec.ts; mvp3-enterprise-contract.spec.ts","M3-02 runtime regression certified; regulation lineage and immutable version contracts covered.","Production release hold only.","MATCH","Design coverage, canonical regulation contracts, governed route, tests, and module runtime disposition align.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; apps/web/e2e/cd-005-006-regulations.spec.ts; apps/web/e2e/cd-006-regulation-publish-provenance.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"31","MVP2-REQ-0235","M3-02","Provide regulation impact analysis and a mandatory clause-mapping coverage report so clause updates do not silently drift from forms, rules, risk, or reports.","CD-052 R2 frames 01..06","/admin/regulations; /admin/templates; /admin/packages","cd-005-006-regulations.spec.ts; cd-008-009-packages.spec.ts","Module-level lineage and package regression is certified; an impact-analysis report runtime is not named.","Production release hold only.","NEEDS_REVIEW","No cited row-level evidence demonstrates the required affected-template/rule/risk/report impact report or mandatory mapping-coverage report.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-005-006-regulations.spec.ts; apps/web/e2e/cd-008-009-packages.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"32","MVP2-REQ-0243","M3-02","Compile every assigned inspection into a locked manifest with an immutable package hash before field execution.","CD-052 R2 frames 01..06","/admin/packages; mvp3_compile_inspection_package RPC","mvp3-enterprise-contract.spec.ts; mvp3_retrofit_live_probe.sql","Rollback-only live package RPC probe and complete protected regression passed.","Production release hold; no production deployment claimed.","MATCH","The migration validates required manifest sections, SHA-256 format, append-only manifests, and auditable package access; live rollback proof is named.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; supabase/migrations/20260718150000_mvp3_enterprise_control_plane.sql; supabase/tests/mvp3_retrofit_live_probe.sql; apps/web/e2e/mvp3-enterprise-contract.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"33","MVP2-REQ-0251","M3-02","Map every form question, finding, violation, penalty, and report paragraph to a regulation clause/version or configured non-regulatory reason.","CD-052 R2 frames 01..06","/admin/regulations; /admin/templates; /admin/packages","cd-005-006-regulations.spec.ts; cd-008-009-packages.spec.ts","Regulation/package lineage is module-certified; complete cross-object mapping coverage is not named.","Production release hold only.","NEEDS_REVIEW","Evidence supports clause/package lineage but does not prove every named object type or the required impact report across templates, inspections, reports, penalties, and dashboards.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; apps/web/e2e/cd-005-006-regulations.spec.ts; apps/web/e2e/cd-008-009-packages.spec.ts"
"34","MVP2-REQ-0231","M3-03","Risk and licensing recommendations must expose inputs, weights, thresholds, rules, versions, and rationale; black-box decisioning is prohibited.","CD-053 R2 frames 01..06","/admin/risk; /admin/risk/models; factory risk explanation panel","mvp2-m2-04-risk-model.spec.ts; ai-user-journey.spec.ts","M3-03 is marked runtime-regression-certified, but the live Risk Studio labels the per-factory calculation trace unavailable.","Risk policy values remain unapproved and must not be invented.","CONTRADICTION","The module register claims runtime certification while /admin/risk explicitly says the per-factory line-by-line score trace is not available; the AI panel entry proof does not prove deterministic rationale output.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/src/app/admin/risk/page.tsx; apps/web/e2e/mvp2-m2-04-risk-model.spec.ts; apps/web/e2e/ai-user-journey.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"35","MVP2-REQ-0234","M3-03","Risk Studio must provide driver catalogue, weights, thresholds, model versioning, simulation, approvals, and a score-explanation panel.","CD-053 R2 frames 01..06","/admin/risk; /admin/risk/models","mvp2-m2-04-risk-model.spec.ts","M3-03 is marked runtime-regression-certified; default live Risk Studio says saves are immediately effective and have no approval step.","Risk policy values remain unapproved; FEATURE_RISK_WORKBENCH defaults off.","CONTRADICTION","The active /admin/risk surface states there is no draft or approval step and the governed workbench defaults off; that conflicts with the requirement and the module-level runtime-certified label.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/src/app/admin/risk/page.tsx; apps/web/src/app/admin/risk/models/page.tsx; apps/web/e2e/mvp2-m2-04-risk-model.spec.ts"
"36","MVP2-REQ-0247","M3-03","Display and export per-factory planning-selection explainability, including model version and rule contribution.","CD-053 R2 frames 01..06","Factory 360 risk explanation panel; /admin/risk","ai-user-journey.spec.ts; mvp2-m2-04-risk-model.spec.ts","Entry button to a governed explanation is runtime-tested; deterministic explanation output/export is not proven.","AI provider/policy MVP3-HOLD-007 remains open; deterministic risk explanation must not depend on an unavailable AI provider.","CONTRADICTION","The required risk card explanation/export is not evidenced; /admin/risk expressly marks the per-factory trace unavailable while the module is labelled runtime certified.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; apps/web/src/app/admin/risk/page.tsx; apps/web/e2e/ai-user-journey.spec.ts; apps/web/e2e/mvp2-m2-04-risk-model.spec.ts"
"37","MVP2-REQ-0248","M3-03","Require simulation, approval, versioning, and effective date before any risk model change affects planning.","CD-053 R2 frames 01..06","/admin/risk; /admin/risk/models","mvp2-m2-04-risk-model.spec.ts","M3-03 is marked runtime-regression-certified; active Risk Studio says changes are effective immediately and have no approval step.","Risk policy values remain unapproved; FEATURE_RISK_WORKBENCH defaults off.","CONTRADICTION","The active page behavior directly conflicts with the guard: saves become effective immediately without draft/approval, while the alternate governed workbench is feature-disabled by default and no simulation/effective-date runtime is cited.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/src/app/admin/risk/page.tsx; apps/web/src/app/admin/risk/models/page.tsx; apps/web/e2e/mvp2-m2-04-risk-model.spec.ts"
"38","MVP2-REQ-0230","M3-04","Critical configuration, assignment, package, answer, evidence, GIS, signature, review, decision, correction, objection, and report-access facts must be append-only events.","CD-054 R2 frames 01..06","/admin/audit; canonical audit event spine","mvp2-m2-05-contract.spec.ts; mvp2-m2-05-audit-replay.spec.ts; mvp3_retrofit_live_probe.sql","M3-04 runtime certified; rollback-only live audit probe passed.","Retention/backup MVP3-HOLD-006 and production-release MVP3-HOLD-008 remain open; no purge behavior inferred.","MATCH","The audit implementation, semantic replay tests, live rollback probe, and coexistence map consistently reuse the canonical append-only event spine.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; apps/web/e2e/mvp2-m2-05-contract.spec.ts; apps/web/e2e/mvp2-m2-05-audit-replay.spec.ts; supabase/tests/mvp3_retrofit_live_probe.sql"
