ac_id,area,criterion,verification_method,truth_class,source_ref
OB-AC-001,Authorization,Selecting any Academy persona never changes the viewer's role scope session or RLS context,negative test: open every persona space as each of the 13 roles and assert unchanged auth token and permissions,IMPLEMENTED constraint,REC-017;MASTER_PLAN s11
OB-AC-002,Authorization,No Academy surface offers role switching impersonation or demo-role tokens,design + code review of CD-PREM-02 outputs,IMPLEMENTED constraint,MASTER_PLAN s3
OB-AC-003,Placement,Side panel exposes one Learn-the-platform destination listing governed personas with human-readable names and job outcomes,UI inspection against side panel spec,PROPOSAL,MASTER_PLAN s11
OB-AC-004,Persona coverage,All 13 launch personas have CH DAY SCOPE JMAP content rows and at least one TASK reachable from their space,matrix audit vs PERSONA_ACADEMY_CONTENT_MATRIX.csv,PROPOSAL,content matrix
OB-AC-005,Persona truth,Every SCOPE card derives only from implemented RBAC truth with zero speculative permissions,cross-check each card against role guards quoted in CURRENT_STATE and RLS policies,IMPLEMENTED constraint,CURRENT_STATE roles
OB-AC-006,Held personas,Committee Enforcement and Integration Admin spaces remain HELD until governance confirms role binding; held state is visible not silent,governance record + UI shows held disposition,SPONSOR_DECISION,PRD s5.2
OB-AC-007,Minister,Minister/Leadership content binds to the existing leadership boundary; no new role name enters runtime code or auth,code + design review,IMPLEMENTED constraint,REC-024
OB-AC-008,Route binding,Every TASK and demo chapter names a real route from the 59-route scope and a real state; zero orphan references,automated diff of content matrix + traceability csv vs FULL_59_ROUTE_SCREENSHOT_SCOPE.csv,PROPOSAL,traceability csv
OB-AC-009,Version binding,Every published content item records content_version product commit release tag and capture date,content register audit,PROPOSAL,BIBLE s9
OB-AC-010,Accessibility,Every video ships closed captions in AR and EN,player + asset audit,MEDIA_DEP,BIBLE s4
OB-AC-011,Accessibility,Every video ships a downloadable AR and EN transcript,asset audit,MEDIA_DEP,BIBLE s4
OB-AC-012,Accessibility,Every video ships an audio description track or AD-integrated narration,asset audit,MEDIA_DEP,BIBLE s4
