requirement_id,parent_capability_id,source_id,source_coordinate,classification,normalized_requirement,acceptance_criteria
REQ-R0C-00001,CAP-R0C-0001,SRC-01,Visit Planning-Planning!A2:M2,USER_ACTION,Select planning method.,Pass when the actor can complete this action and the resulting state is visible: Select planning method.
REQ-R0C-00002,CAP-R0C-0001,SRC-01,Visit Planning-Planning!A2:M2,SYSTEM_BEHAVIOR,Load the selected planning workflow.,Pass when the system behavior occurs under the cited trigger and context: Load the selected planning workflow.
REQ-R0C-00003,CAP-R0C-0001,SRC-01,Visit Planning-Planning!A2:M2,BUSINESS_RULE,"Three planning methods are supported: Bulk, Single and Immediate.","Pass when this rule is enforced and a violating path is prevented or handled: Three planning methods are supported: Bulk, Single and Immediate."
REQ-R0C-00004,CAP-R0C-0001,SRC-01,Visit Planning-Planning!A2:M2,ACCEPTANCE_CRITERION,User can access only the planning methods permitted by their role.,Pass when the source-stated acceptance condition is demonstrated: User can access only the planning methods permitted by their role.
REQ-R0C-00005,CAP-R0C-0002,SRC-01,Visit Planning-Planning!A3:M3,USER_ACTION,"Build search criteria, search factories, select/unselect factories, configure visit, publish.","Pass when the actor can complete this action and the resulting state is visible: Build search criteria, search factories, select/unselect factories, configure visit, publish."
REQ-R0C-00006,CAP-R0C-0002,SRC-01,Visit Planning-Planning!A3:M3,SYSTEM_BEHAVIOR,"Retrieve factories, validate duplicates, generate Visit Plan, generate Visit IDs, assign inspectors, notify inspectors, create audit logs.","Pass when the system behavior occurs under the cited trigger and context: Retrieve factories, validate duplicates, generate Visit Plan, generate Visit IDs, assign inspectors, notify inspectors, create audit logs."
REQ-R0C-00007,CAP-R0C-0002,SRC-01,Visit Planning-Planning!A3:M3,BUSINESS_RULE,One Visit Plan can generate multiple Visits. Every Visit receives a unique Visit ID while sharing the same Visit Plan ID.,Pass when this rule is enforced and a violating path is prevented or handled: One Visit Plan can generate multiple Visits. Every Visit receives a unique Visit ID while sharing the same Visit Plan ID.
REQ-R0C-00008,CAP-R0C-0002,SRC-01,Visit Planning-Planning!A3:M3,ACCEPTANCE_CRITERION,Planner successfully publishes a Visit Plan and all selected factories receive individual Visits.,Pass when the source-stated acceptance condition is demonstrated: Planner successfully publishes a Visit Plan and all selected factories receive individual Visits.
REQ-R0C-00009,CAP-R0C-0002,SRC-01,Visit Planning-Planning!A3:M3,DATA_REQUIREMENT,"Planning Criteria, Visit Configuration","Pass when the cited data field or contract element is present and valid: Planning Criteria, Visit Configuration"
REQ-R0C-00010,CAP-R0C-0002,SRC-01,Visit Planning-Planning!A3:M3,DATA_REQUIREMENT,Visit Plan + Multiple Visits,Pass when the cited data field or contract element is present and valid: Visit Plan + Multiple Visits
REQ-R0C-00011,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,USER_ACTION,"Add, edit and remove criteria using AND / OR conditions.","Pass when the actor can complete this action and the resulting state is visible: Add, edit and remove criteria using AND / OR conditions."
REQ-R0C-00012,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,SYSTEM_BEHAVIOR,Validate criteria and execute factory search.,Pass when the system behavior occurs under the cited trigger and context: Validate criteria and execute factory search.
REQ-R0C-00013,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,BUSINESS_RULE,Multiple filters can be combined. Both AND and OR conditions are supported.,Pass when this rule is enforced and a violating path is prevented or handled: Multiple filters can be combined. Both AND and OR conditions are supported.
REQ-R0C-00014,CAP-R0C-0003,SRC-01,Visit Planning-Planning!A4:M4,ACCEPTANCE_CRITERION,Planner can build one or multiple search criteria without limitation.,Pass when the source-stated acceptance condition is demonstrated: Planner can build one or multiple search criteria without limitation.
REQ-R0C-00015,CAP-R0C-0004,SRC-01,Visit Planning-Planning!A5:M5,SYSTEM_BEHAVIOR,Retrieve all matching factories.,Pass when the system behavior occurs under the cited trigger and context: Retrieve all matching factories.
REQ-R0C-00016,CAP-R0C-0004,SRC-01,Visit Planning-Planning!A5:M5,BUSINESS_RULE,Only factories matching all criteria are returned.,Pass when this rule is enforced and a violating path is prevented or handled: Only factories matching all criteria are returned.
REQ-R0C-00017,CAP-R0C-0005,SRC-01,Visit Planning-Planning!A6:M6,USER_ACTION,Select or remove factories individually or in bulk.,Pass when the actor can complete this action and the resulting state is visible: Select or remove factories individually or in bulk.
REQ-R0C-00018,CAP-R0C-0005,SRC-01,Visit Planning-Planning!A6:M6,SYSTEM_BEHAVIOR,Track selected factories and prepare Visit Plan.,Pass when the system behavior occurs under the cited trigger and context: Track selected factories and prepare Visit Plan.
