route,view,state,spec_reference,evidence_status
/operations,Operations Map,loading,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,empty,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,error,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,provider_tile_failure,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,no_positions,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,accessible_list_alternative,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,National Performance,loading,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,National Performance,empty,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,National Performance,error,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#5,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,permission_denied_direct_route,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#8,SPEC_ONLY_NOT_CAPTURED
/operations,National Performance,drill_region_to_factory,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#7,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,kpi_submitted_today_unavailable_decision_required,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations,Operations Map,kpi_active_alerts_unavailable_decision_required,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations,both,en_ltr_1440,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,ar_rtl_1440,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,en_ltr_1024,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,ar_rtl_1024,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,en_ltr_412,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
