screen_id,route,persona,state,locale_direction,theme,viewport,capture_timestamp_utc,status,evidence_path,sha256,data_theme_observed,blocker,next_safe_action
SCR-ADM-030,/admin/packages,admin,populated,en-ltr,light,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-030__populated__en-ltr__light__1440x1024__20260718T204316Z.png,d1f5452f3db9d2c1ef941b3984adc5985df8cbaa5fa2b70b0695758c36530f09,light,,
SCR-ADM-030,/admin/packages,admin,populated,en-ltr,dark,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-030__populated__en-ltr__dark__1440x1024__20260718T204316Z.png,b7629025bdd19963df39367f82f0b5453d9e7e46759eeab5792380042fc37977,dark,,
SCR-ADM-030,/admin/packages,admin,populated,ar-rtl,light,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-030__populated__ar-rtl__light__1440x1024__20260718T204316Z.png,a02a147be5dcd44adbf8bdb05ecebca2e534a0f34eee31b1264b3f2aa94e4514,light,,
SCR-ADM-030,/admin/packages,admin,populated,ar-rtl,dark,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-030__populated__ar-rtl__dark__1440x1024__20260718T204316Z.png,a46e70f0d81f6e1068e4ba872dd9e328dea965faa0e1b619e963cf90b33cc3e9,dark,,
SCR-ADM-030,/admin/packages,admin,populated,en-ltr,light,1024x768,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-030__populated__en-ltr__light__1024x768__20260718T204316Z.png,66b342a73308ace7b6c4ee3440db3c4743287839da7306c974ae55f69d572226,light,,
SCR-ADM-030,/admin/packages,admin,populated,ar-rtl,dark,1024x768,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-030__populated__ar-rtl__dark__1024x768__20260718T204316Z.png,8e079f2ece950b0ca0ed8568d8e36797aad90f8a47545a645b06dd2d182c42b5,dark,,
SCR-ADM-040,/admin/violations,admin,populated,en-ltr,light,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-040__populated__en-ltr__light__1440x1024__20260718T204316Z.png,e5d3e90e0cfb9e365ea020515f5862af91a789171cc1b79b5d2f0b5c0c80a29d,light,,
SCR-ADM-040,/admin/violations,admin,populated,en-ltr,dark,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-040__populated__en-ltr__dark__1440x1024__20260718T204316Z.png,c1913fb1c3a3fac9497fbdfb7258c1d09e6d64e5ba92a2d64bb7dd375b5a0ec3,dark,,
SCR-ADM-040,/admin/violations,admin,populated,ar-rtl,light,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-040__populated__ar-rtl__light__1440x1024__20260718T204316Z.png,b7f1d482c73a37e395b719c0908e00add10675a7797e64573cb491e6f3e26890,light,,
SCR-ADM-040,/admin/violations,admin,populated,ar-rtl,dark,1440x1024,2026-07-18T20:43:16Z,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T204316Z/P2-ASIS__SCR-ADM-040__populated__ar-rtl__dark__1440x1024__20260718T204316Z.png,aa13fa616d7c43f08092ce40740b4234ae7d4b892b1672a81ba0ff3728a789c4,dark,,
