Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Visit Planning- Mangment,2,Visit Management Workspace,MVP1-M02-001,AC-0053,"[audit] VisitsBoard loads KPIs, search, filters, visit list.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,3,Visit KPIs,MVP1-M02-002,AC-0054,[audit] KPI tiles show draft/published/returned/cancelled/expired counts and filter list.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,4,Search Visits,MVP1-M02-003,AC-0055,[audit] Search over Visit ID/factory/CR/license/inspector.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,5,Filter Visits,MVP1-M02-004,AC-0056,[audit] Status/type/mode/date-range filters refresh list.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,6,View Visit Details,MVP1-M02-005,AC-0057,"[audit] Detail: config, assignment, plan, versions, journey timeline; audit via browser.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,7,Edit Visit,MVP1-M02-006,AC-0058,[audit] Edit type/window/inspector/notes validated+audited (location edit not exposed).,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,8,Bulk Edit Visits,MVP1-M02-007,AC-0059,"[audit] Multi-select bulk reschedule/reassign apply to selected, per-row audited.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,9,Return Visit Handling,MVP1-M02-008,AC-0060,[audit] Return reason surfaced; republish/cancel/reschedule in ActionBar.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,10,Republish Returned Visit,MVP1-M02-009,AC-0061,[Codex remediation 2026-07-15] Republish queues the assigned-inspector notification through the shared adapter; queue failure is reported neutrally after the state change.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,11,Cancel Visit,MVP1-M02-010,AC-0062,"[audit] Cancel with mandatory reason, notifies inspector, audit.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,12,Bulk Cancel Visits,MVP1-M02-011,AC-0063,"[audit] Bulk cancel with reason, per-row outcome, notifies, audit.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,13,Duplicate Visit Validation,MVP1-M02-012,AC-0064,"[Codex live verification 2026-07-14] Same-factory active Visit detection is transaction-locked, blocked and audited in the live suite.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,14,Activity Timeline,MVP1-M02-013,AC-0065,[audit] Journey/location event timeline chronological on detail; audit browser for events.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,15,Audit Trail,MVP1-M02-014,AC-0066,[audit] audit_events trigger records before/after/actor/timestamp; admin/audit browser.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,16,Visit Status Management,MVP1-M02-015,AC-0067,[audit] guardPublishedNew/guardPreStart + canonical transitions enforce lifecycle.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,17,Expired Visit Management,MVP1-M02-016,AC-0068,"[audit] expire_lapsed_visits RPC persists published→expired, audit trigger records it.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
