screen_id,catalogue_route,implemented_route,code_location,reconciliation,status,design_instruction
SCR-ADM-001,/admin,/admin,apps/web/src/app/admin/page.tsx,Direct,implemented,Retain control-plane home and expose health drafts approvals warnings and audit
SCR-ADM-010,/admin/regulations,/admin/regulations,apps/web/src/app/admin/regulations,Direct,implemented,Design library list search status version and lifecycle
SCR-ADM-011,/admin/regulations/:id,/admin/regulations,apps/web/src/app/admin/regulations,Consolidated,implemented_logical,Keep detail version dependencies and audit as explicit drill-in state
SCR-ADM-020,/admin/items,/admin/items,apps/web/src/app/admin/items,Direct,implemented,Preserve response semantics scoring evidence and clause mapping
SCR-ADM-030,/admin/packages,/admin/packages,apps/web/src/app/admin/packages,Direct,implemented,Design package library and version state
SCR-ADM-031,/admin/packages/:id/designer,/admin/packages,apps/web/src/app/admin/packages,Consolidated,implemented_logical,Make DraftEditor ImpactPanel Preview and PublishControls a coherent studio
SCR-ADM-040,/admin/violations,/admin/violations,apps/web/src/app/admin/violations,Direct,implemented,Expose legal basis lifecycle and applicability
SCR-ADM-041,/admin/penalties,/admin/violations,apps/web/src/app/admin/violations,Consolidated,implemented_logical,Keep penalty mapping and cardinality visibly distinct
SCR-ADM-050,/admin/workflows,/admin/workflows,apps/web/src/app/admin/workflows,Direct,implemented,Design workflow list versions effective dates and validation
SCR-ADM-051,/admin/workflows/:id,/admin/workflows,apps/web/src/app/admin/workflows,Consolidated,implemented_logical,Represent state transition guard simulation and publish workspace
SCR-ADM-060,/admin/risk,/admin/risk,apps/web/src/app/admin/risk,Direct,implemented,Keep MVP1 constrained configuration and reproducibility
SCR-ADM-070,/admin/gis,/admin/gis,apps/web/src/app/admin/gis,Direct,implemented,Design map settings geometry preview validation and publish
SCR-ADM-080,/admin/notifications,/admin,apps/web/src/app/admin/page.tsx,Consolidated_or_gap,requires_design_reconciliation,Design explicit notification SLA configuration surface without inventing provider
SCR-ADM-090,/admin/access,/admin/access,apps/web/src/app/admin/access,Direct,implemented,Design role matrix data scope segregation warnings and audit
SCR-WEB-100,/planning,/planning,apps/web/src/app/planning/page.tsx,Direct,implemented,Preserve three-method entry and draft resume
SCR-WEB-110,/planning/bulk,/planning/bulk,apps/web/src/app/planning/bulk,Direct,implemented,Design criteria builder result selection and validation
SCR-WEB-120,/planning/single,/planning/single,apps/web/src/app/planning/single,Direct,implemented,Design factory search 360 preview map and wizard
