"key","old_english","new_english","old_arabic","new_arabic","changed"
"admin.bulkvio.factoriesError","The factory list is unavailable in this environment.","The factory list is not available here.","قائمة المنشآت غير متاحة في هذه البيئة.","قائمة المنشآت غير متاحة هنا.","yes"
"admin.bulkvio.title","Issue Multiple Violations","Issue Multiple Violations","إصدار عدة مخالفات","إصدار عدة مخالفات","no"
"admin.bulkvio.unauthorized.body","Issue Multiple Violations (DEC-L) is available to Operations and Compliance Admin roles only.","Only the Operations and Compliance Admin roles can use Issue Multiple Violations (DEC-L).","إصدار عدة مخالفات (DEC-L) متاح لدوري العمليات ومسؤول الامتثال فقط.","يمكن فقط لدوري العمليات ومسؤول الامتثال استخدام إصدار عدة مخالفات (DEC-L).","yes"
"admin.overview.r2.family.audit","Activity Log","Activity Log","سجل النشاط","سجل النشاط","no"
"admin.overview.r2.family.compliance","Inspection Rules","Inspection Rules","قواعد التفتيش","قواعد التفتيش","no"
"admin.overview.r2.family.enforcement","Violations & Penalties","Violations & Penalties","المخالفات والعقوبات","المخالفات والعقوبات","no"
"admin.pkg.immutable.title","Published version — locked and cannot be edited.","Published version — locked and cannot be edited.","نسخة منشورة — مقفلة ولا يمكن تعديلها.","نسخة منشورة — مقفلة ولا يمكن تعديلها.","no"
"admin.pkg.impact.pinnedHint","Existing work stays on the checklist version it downloaded; publishing never silently re-versions it.","Existing work keeps the checklist version it downloaded. Publishing never changes that version without telling you.","يظل العمل القائم على نسخة قائمة التفتيش التي جرى تنزيلها؛ النشر لا يُغيّر نسختها دون علم أحد.","يحتفظ العمل القائم بنسخة قائمة التحقق التي جرى تنزيلها. النشر لا يُغيّر تلك النسخة أبدًا دون إخبارك.","yes"
"admin.pkg.overview.body","Drafts are editable. Publishing runs dependency validation and maker-checker approval; published and locked definitions remain final and cannot be edited.","Drafts can be edited. Publishing checks dependencies and needs maker-checker approval. Published and locked definitions are final and can't be edited.","المسودات قابلة للتعديل. النشر يشغّل التحقق من الاعتماديات ويتطلب اعتماد المُراجِع؛ التعريفات المنشورة والمقفلة تبقى نهائية ولا يمكن تعديلها.","يمكن تعديل المسودات. النشر يتحقق من الاعتماديات ويحتاج اعتماد المُراجِع. التعريفات المنشورة والمقفلة نهائية ولا يمكن تعديلها.","yes"
"admin.pkg.publish.published","Version published. It is now locked and cannot be edited.","Version published. It is now locked and cannot be edited.","تم نشر النسخة. أصبحت الآن مقفلة ولا يمكن تعديلها.","تم نشر النسخة. أصبحت الآن مقفلة ولا يمكن تعديلها.","no"
"admin.reg.lineage.heading","Version history","Version history","سجل الإصدارات","سجل الإصدارات","no"
"admin.reg.r1.detail.auditNote","Regulation-row changes are audit-tracked by the generic trigger. Clause additions on this record are audit-tracked too (trg_audit_regulation_clauses).","Changes to this regulation row are tracked in the audit log. New clauses added to this record are tracked too (trg_audit_regulation_clauses).","تُدقَّق تغييرات صف اللائحة عبر المُشغّل العام، كما تُدقَّق إضافات البنود في هذا السجل أيضًا (trg_audit_regulation_clauses).","تُسجَّل تغييرات صف اللائحة في سجل التدقيق. كما تُسجَّل البنود الجديدة المضافة إلى هذا السجل أيضًا (trg_audit_regulation_clauses).","yes"
"admin.reg.r1.empty.body","The read succeeded — the list is genuinely empty (MVP1-M09-001: regulations are the parents of inspection items).","This loaded correctly — the list is really empty (MVP1-M09-001: regulations are the parents of inspection items).","نجحت القراءة — القائمة فارغة فعلًا (MVP1-M09-001: اللوائح هي أصول عناصر الفحص).","تم التحميل بنجاح — القائمة فارغة فعلًا (MVP1-M09-001: اللوائح هي أصول عناصر الفحص).","yes"
"admin.reg.r1.empty.body.writer","The read succeeded — the list is genuinely empty. Create the first regulation above (MVP1-M09-001: regulations are the parents of inspection items).","This loaded correctly — the list is really empty. Create the first regulation above (MVP1-M09-001: regulations are the parents of inspection items).","نجحت القراءة — القائمة فارغة فعلًا. أنشئ أول لائحة بالأعلى (MVP1-M09-001: اللوائح هي أصول عناصر الفحص).","تم التحميل بنجاح — القائمة فارغة فعلًا. أنشئ أول لائحة بالأعلى (MVP1-M09-001: اللوائح هي أصول عناصر الفحص).","yes"
"admin.reg.r1.openDossier","Open record","Open record","فتح السجل","فتح السجل","no"
"admin.reg.r1.title","Inspection Rules — regulation register","Inspection Rules — regulation register","قواعد التفتيش — سجل اللوائح","قواعد التفتيش — سجل اللوائح","no"
"admin.risk.title","Risk Settings","Risk Settings","إعدادات المخاطر","إعدادات المخاطر","no"
"admin.template.historical","Final historical template version.","An older, final template version.","نسخة قالب سابقة نهائية.","نسخة قالب أقدم ونهائية.","yes"
"admin.template.intro","Create versioned bilingual form, report, action-form, or penalty templates. Published versions are locked and cannot be edited, but can be referenced by package action forms and penalty mappings.","Create numbered, bilingual templates for forms, reports, action forms, or penalties. Published versions are locked and can't be edited, but package action forms and penalty mappings can still use them.","أنشئ نسخًا مرقّمة وثنائية اللغة من قوالب النماذج أو التقارير أو نماذج الإجراءات أو الغرامات. النسخ المنشورة مقفلة ولا يمكن تعديلها، لكن يمكن الإشارة إليها من نماذج إجراءات الحزم وربط الغرامات.","أنشئ قوالب مرقّمة وثنائية اللغة للنماذج أو التقارير أو نماذج الإجراءات أو الغرامات. النسخ المنشورة مقفلة ولا يمكن تعديلها، لكن يمكن لنماذج إجراءات الحزم وربط الغرامات استخدامها.","yes"
"admin.wf.empty.title","No workflow settings published","No workflow settings published","لا توجد إعدادات سير عمل منشورة","لا توجد إعدادات سير عمل منشورة","no"
"admin.wf.error.title","Couldn’t load workflow settings. Nothing was changed. Try again.","Couldn’t load workflow settings. Nothing was changed. Try again.","تعذّر تحميل إعدادات سير العمل. لم يتغيّر أي شيء. حاول مرة أخرى.","تعذّر تحميل إعدادات سير العمل. لم يتغيّر أي شيء. حاول مرة أخرى.","no"
"admin.wf.title","Workflow Settings","Workflow Settings","إعدادات سير العمل","إعدادات سير العمل","no"
"cmte.off","The committee decision record is not enabled here. PKI/EBDA verification is held.","The committee decision record is turned off here. PKI/EBDA verification is on hold.","سجل قرار اللجنة غير مُفعَّل هنا. التحقق عبر البنية التحتية للمفتاح العام/إبدأ موقوف.","سجل قرار اللجنة مُتوقف هنا. التحقق عبر البنية التحتية للمفتاح العام/إبدأ متوقف مؤقتًا.","yes"
"f360.cr.noAggregate","All-licenses facts only. No CR-level risk score or compliance rate is calculated.","Only all-licenses facts are shown. No risk score or compliance rate is calculated at the CR level.","بيانات جميع التراخيص فقط. لا يُحتسب معدل مخاطر أو نسبة امتثال على مستوى السجل التجاري.","تُعرض بيانات جميع التراخيص فقط. لا يُحتسب معدل مخاطر أو نسبة امتثال على مستوى السجل التجاري.","yes"
"f360.cr.portfolio","All licenses","All licenses","جميع التراخيص","جميع التراخيص","no"
"f360.enforcement.heading","Penalty history","Penalty history","سجل العقوبات","سجل العقوبات","no"
"f360.err.neutral","The Factory list is temporarily unavailable. Nothing was changed.","The Factory list is not available right now. Nothing changed.","قائمة المصانع غير متاحة مؤقتًا. لم يتم تغيير أي شيء.","قائمة المصانع غير متاحة الآن. لم يتغيّر أي شيء.","yes"
"f360.list.dossier","View factory","View factory","عرض ملف المصنع","عرض ملف المصنع","no"
"f360.notFound.desc","Factory registration not found or not available to you.","We can't find this factory, or you don't have access to it.","تسجيل المصنع غير موجود أو غير متاح لك.","تعذّر العثور على هذا المصنع، أو لا تملك صلاحية الوصول إليه.","yes"
"f360.notFound.title","Factory 360 profile unavailable","Factory 360 profile not available","ملف المصنع الشامل غير متاح","ملف المصنع الشامل غير متاح","yes"
"f360.permission.body","You do not have access to this factory profile.","You can't view this factory.","ليس لديك صلاحية الوصول إلى ملف هذا المصنع.","لا يمكنك عرض ملف هذا المصنع.","yes"
"field.ws.ev.deleted","Evidence removed from the checklist — soft-deleted with reason, audit event recorded (M04-164)","Evidence removed from the checklist. It was marked deleted with a reason, and this was recorded in the audit log (M04-164).","تمت إزالة الدليل من قائمة التحقق — حذف مؤقت مع سبب، وتم تسجيل حدث تدقيق (M04-164)","تمت إزالة الدليل من قائمة التحقق. تم تمييزه كمحذوف مع ذكر السبب، وتم تسجيل ذلك في سجل التدقيق (M04-164).","yes"
"field.ws.panel.pkg","Checklist version used for the inspection (locked)","Checklist version used for the inspection (locked)","نسخة قائمة التحقق المستخدمة في التفتيش (مقفلة)","نسخة قائمة التحقق المستخدمة في التفتيش (مقفلة)","no"
"field.ws.returnedNote","Only these sections are editable; resubmission creates the next final submitted version (STM-COR-001/002).","Only these sections can be edited. Sending it again creates the next final submitted version (STM-COR-001/002).","هذه الأقسام فقط قابلة للتعديل؛ إعادة الإرسال تُنشئ النسخة النهائية المُقدَّمة التالية (STM-COR-001/002).","يمكن تعديل هذه الأقسام فقط. إعادة الإرسال تُنشئ النسخة النهائية المُقدَّمة التالية (STM-COR-001/002).","yes"
"field.ws.sig.hint","Sign in the box below. The signature image, name and timestamp are stored inside the final submitted version (DEC-009).","Sign in the box below. The signature image, name and timestamp are stored inside the final submitted version (DEC-009).","وقّع داخل المربع أدناه. تُحفظ صورة التوقيع والاسم والطابع الزمني ضمن النسخة النهائية المُقدَّمة (DEC-009).","وقّع داخل المربع أدناه. تُحفظ صورة التوقيع والاسم والطابع الزمني ضمن النسخة النهائية المُقدَّمة (DEC-009).","no"
"field.ws.submitBtn","Review & submit — final version","Review & submit — final version","المراجعة والإرسال — النسخة النهائية","المراجعة والإرسال — النسخة النهائية","no"
"field.ws.submittedTitle","Submitted — final submitted version.","Submitted — final submitted version.","تم الإرسال — النسخة النهائية المُقدَّمة.","تم الإرسال — النسخة النهائية المُقدَّمة.","no"
"field.ws.submitting","Submitting final version v{v} (idempotency-protected)…","Submitting final version v{v} (safe to retry)…","جارٍ إرسال النسخة النهائية v{v} (محمية من التكرار)…","جارٍ إرسال النسخة النهائية v{v} (آمن لإعادة المحاولة)…","yes"
"gis.empty.body","The factory list is empty — geofences appear here once factories are synced (FND-007).","The factory list is empty. Geofences will appear here after factories are synced (FND-007).","قائمة المصانع فارغة — تظهر الأسيجة الجغرافية هنا بمجرد مزامنة المصانع (FND-007).","قائمة المصانع فارغة. تظهر الأسيجة الجغرافية هنا بعد مزامنة المصانع (FND-007).","yes"
"gis.title","Map Settings — geofencing","Map Settings — geofencing","إعدادات الخرائط — التسييج الجغرافي","إعدادات الخرائط — التسييج الجغرافي","no"
"l10n.error.load","Could not load the translation dictionary. Nothing was changed. Try again.","Could not load the translation dictionary. Nothing was changed. Try again.","تعذّر تحميل قاموس الترجمة. لم يتغيّر شيء. حاول مرة أخرى.","تعذّر تحميل قاموس الترجمة. لم يتغيّر شيء. حاول مرة أخرى.","no"
"l10n.title","Language & Translations","Language & Translations","اللغة والترجمات","اللغة والترجمات","no"
"mvp3.integrations.title","System Connections","System Connections","اتصالات النظام","اتصالات النظام","no"
"mvp3.operations.title","System operations and resilience","System operations and recovery","عمليات المنظومة والصمود","عمليات النظام والتعافي","yes"
"ops.err.partial","Some information could not be loaded.","Some information could not be loaded.","تعذّر تحميل بعض المعلومات.","تعذّر تحميل بعض المعلومات.","no"
"ops.export.sla","Deadline alerts","Deadline alerts","تنبيهات المواعيد النهائية","تنبيهات المواعيد النهائية","no"
"ops.live.th.operational","Visit status","Visit status","حالة الزيارة","حالة الزيارة","no"
"ops.map.heading","Live inspection map","Live inspection map","خريطة التفتيش المباشرة","خريطة التفتيش المباشرة","no"
"ops.map.selectHint","Click a pin to open the visit or factory profile.","Click a pin to open the visit or factory profile.","انقر على دبوس لفتح الزيارة أو ملف المصنع.","انقر على دبوس لفتح الزيارة أو ملف المصنع.","no"
"ops.override.heading","Location exception requests","Location exception requests","طلبات استثناء الموقع","طلبات استثناء الموقع","no"
