wiring_id,ui_trigger,client_component,route_server_action,validation_guard,canonical_transition,table_rpc_provider,rls_grant_role,audit_event,notification_side_effect,success_result,negative_partial_failure,automated_test,runtime_evidence,disposition
W01,open regulation row,page.tsx dossier panel,server read (existing nested query),authenticated,none,regulations + regulation_clauses + inspection_items nested read,authenticated read per current RLS,none,none,dossier populated,per-source unavailable -> never zero,T-CD6-01,frozen memo (CD-005),current-after-modify
W02,select clause in navigator,page.tsx (client state),none — uses W01 payload,n/a,none,none,n/a,none,none,clause detail + trace render,n/a,T-CD6-02,current-after-modify,current
W03,trace step 2 (mapped items),page.tsx dossier region,uses W01 payload,n/a,none,none already fetched,n/a,none,none,verified count or verified zero,read failure -> unknown not zero + retry,T-CD6-03,W05 covers retry mechanism,current-after-modify
W04,trace read retry,candidate apps/web/src/app/admin/regulations/actions.ts (create),re-run one mapped-item read,authenticated,none,inspection_items count,same,none,none,row rejoins + polite announce,still failing -> assertive stays,T-CD6-04,wiring audit required,HANDOFF_BLOCKED — mechanism undecided
W05,attempt publish,Controls.tsx,client/service validation function (new, pure) then existing publishRegulation action,Compliance/Form Admin RLS write,draft->published (only proven transition),regulations update,RLS per current policies,configuration audit trigger (regulations),published row locked from edit,neutral catalogued error (BLOCKED: catalogued errors unproven); validation block if any clause unmapped,T-CD6-05,current code + new validation fn,current-after-modify
W06,add clause,Controls.tsx,actions.ts addClause,Compliance/Form Admin RLS write,none,regulation_clauses insert,RLS per current policies,configuration audit trigger,clause added,neutral error,T-CD6-06,existing code,current (preserve)
W07,select comparison regulation,proposed clause-diff view,client-side diff over two independent reads,authenticated,none,regulation_clauses read for second record,same RLS,none,none,diff rendered,either read fails -> unavailable, never empty,T-CD6-07,proposed,HANDOFF_BLOCKED — feature not in current code
W08,view audit timeline,page.tsx dossier region,proposed read,authenticated,none,audit_events where object_type='regulation' and object_id=:id,RLS on audit_events,none,none,timeline populated,read failure -> unavailable,T-CD6-08,schema-exact per CD-004 R2B,HANDOFF_BLOCKED — query not implemented in current page.tsx
W09,open detail link from CD-005 list,CD-005 register row,in-page navigation (no route change),n/a,none,none,n/a,none,none,dossier opens,n/a,T-CD6-09,CD-005 frame 5e "Open detail — not available yet",current-after-modify (removes the disabled state once W01-W06 ship)
W10,unauthorized direct access,route guard,HANDOFF_BLOCKED (no admin-family guard),RLS permits broad authenticated reads,none,none,none,none,none,designed denial (6s-6),n/a,T-CD6-10,middleware auth-only today,HANDOFF_BLOCKED
