journey_id,persona,entry_point,preconditions,steps,expected_result,required_permissions,source_systems,status,evidence_reference
F360-JRN-001,Planner;Operations;Reviewer;Inspector;Leadership,Global Search,"CR, license and plant identifiers exist or return a controlled no-result state",Search CR; search license; search plant; open parent CR; verify selected license/plant,Each identifier resolves to the correct CR and selected context,view_factory_360,Inspection Platform;Senaei,CODE_COMPLETE,F360-EV-004;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-002,Authorized business user,Factory 360 license selector,One CR has multiple licenses,Open CR; switch license; observe all dependent sections,Selected license changes without leaving Factory 360 and every section refreshes,view_factory_360,Inspection Platform;Senaei;Risk Engine,CODE_COMPLETE,F360-EV-005;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-003,Authorized business user,CR overview,CR has one or more licenses,Open CR overview; inspect portfolio aggregates,No CR-level risk score or compliance rate is calculated,view_factory_360,Inspection Platform;Risk Engine,CODE_COMPLETE,F360-EV-006;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-004,Authorized business user,Factory 360,Scoped factory is accessible,Open every section; attempt direct and UI mutation,No Factory 360 write succeeds and no editing control is exposed,view_factory_360,Inspection Platform;Senaei,CODE_COMPLETE,F360-EV-010;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-005,Authorized business user,Factory 360 source health,"Source metadata exists, is stale, or is unavailable",Open source/freshness panel; inspect latest sync and degraded states,"Source, timestamp, freshness fact and failure are truthful",view_factory_360,Senaei;Inspection Platform,CODE_COMPLETE,F360-EV-003;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-006,Authorized business user,Industrial Information,Production-line provider has representative records,Load product; raw-material; spare-part; machine; search and paginate,"All four documented types retain quantities, mappings, bilingual labels and history",view_factory_360,Senaei,CODE_COMPLETE,F360-EV-007;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-007,Authorized business user,Government/unsupported section,Matching provider contract is absent,Open every absent-contract section,Typed unavailable state uses SENAEI_API_CONTRACT_NOT_SUPPLIED and invents no data,view_factory_360,Senaei adapter,CODE_COMPLETE,F360-EV-008;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-008,Inspector;Reviewer;Operations,Factory profile comparison,Official and approved observed snapshots differ,Open comparison; inspect source/date/inspection link,Official master data and immutable observed facts are distinct and traceable,view_factory_360,Senaei;Inspection Platform,CODE_COMPLETE,F360-EV-005;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-009,Authorized business user,Compliance dashboard,Approved and non-approved submissions exist,Open selected license; calculate eligible answered scored items,Displayed rate uses only latest approved immutable submission and exact exclusions,view_factory_360,Inspection Platform,CODE_COMPLETE,F360-EV-006;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-010,Reviewer;Auditor;Leadership,Inspection reports,"Approved, returned and rejected reports exist",Open report list and trend; compare inclusion,Returned/rejected remain visible but do not affect rate/trend,view_factory_360,Inspection Platform,CODE_COMPLETE,F360-EV-006;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
F360-JRN-011,Reviewer;Auditor,Inspection report,Inspection has multiple immutable versions,Open report; inspect latest and version history,Latest version is listed and all immutable versions are accessible,view_factory_360,Inspection Platform,CODE_COMPLETE,F360-EV-006;product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md
