key,en_default,ar_default,interpolation,direction_note,fallback
admin.overview.r2.title,Approval & Configuration — overview,الاعتماد والتهيئة — نظرة عامة,none,heading follows document dir,en
admin.overview.r2.a11y.skip,Skip to overview,تخطٍّ إلى النظرة العامة,none,first focusable,en
admin.overview.r2.readAt,page read {time} — a source fact not a platform-health verdict,قُرئت هذه الصفحة {time} — حقيقة مصدر لا حكم على سلامة المنظومة,{time} bdi ltr,timestamp isolated,en
admin.overview.r2.lozenge.partial,{n} source unavailable,{n} مصدر غير متاح,{n} numeric,plural rules ar,en
admin.overview.r2.spine.caption,Configuration evidence spine,سلسلة أدلة التهيئة,none,table caption,en
admin.overview.r2.col.family,Family,العائلة,none,,en
admin.overview.r2.col.read,Read result,نتيجة القراءة,none,,en
admin.overview.r2.col.lifecycle,Proven lifecycle,دورة الحياة المثبتة,none,,en
admin.overview.r2.col.action,Action,الإجراء,none,,en
admin.overview.r2.family.compliance,Compliance Library,مكتبة الامتثال,none,,en
admin.overview.r2.family.packages,Packages & Surveys,الحزم والاستبيانات,none,,en
admin.overview.r2.family.enforcement,Enforcement Library,مكتبة الإنفاذ,none,,en
admin.overview.r2.family.engines,Engine settings,إعدادات المحركات,none,,en
admin.overview.r2.family.audit,Audit trail,سجل التدقيق,none,,en
admin.overview.r2.read.verified,read verified,قراءة مؤكدة,none,paired with glyph,en
admin.overview.r2.read.verifiedZero,read verified — genuinely empty,قراءة مؤكدة — فارغة فعلًا,none,distinct from unavailable,en
admin.overview.r2.read.unavailable,"read failed — count unknown, not zero","تعذّرت القراءة — العدد غير معروف، وليس صفرًا",none,never zero,en
admin.overview.r2.read.retry,Retry reading {family},إعادة محاولة قراءة {family},{family},accessible name,en
admin.overview.r2.lifecycle.packages,draft/published proven · distinct approver enforced · immutable once published,مسودة/منشور مثبتان · اعتماد من شخص مختلف مُلزَم · المنشور غير قابل للتعديل,none,schema-proven words only,en
admin.overview.r2.lifecycle.regulations,per-regulation status lives in the module; no update timestamp is read here,تُعرض حالة كل لائحة داخل الوحدة؛ لا يُقرأ تاريخ تحديث هنا,none,,en
admin.overview.r2.lifecycle.engines,direct audited update — timestamp is provenance only,تحديث مباشر مُدقَّق — التاريخ حقيقة إسناد فقط,none,,en
admin.overview.r2.open,Open {family},فتح {family},{family},link name carries family,en
admin.overview.r2.linkOnly.heading,Families this gateway reads no data for today — links only:,عائلات لا يقرأ هذا المدخل بياناتها اليوم — روابط فقط:,none,,en
admin.overview.r2.scope.heading,Your scope — {role},نطاق دورك — {role},{role},,en
admin.overview.r2.scope.body,You can act in {families}. Other families are shown for awareness; visibility grants nothing — every action is authorized inside its module.,تملك صلاحية التصرف في {families}. بقية العائلات للاطلاع؛ الظهور في القائمة لا يمنح صلاحية — تُفرض الصلاحية عند كل إجراء داخل وحدته.,{families},gendered ar variants at implementation,en
admin.overview.r2.totalFailure,Configuration sources couldn't be read. Nothing shown is current. Your session and navigation still work.,تعذّرت قراءة مصادر التهيئة. لا شيء معروض هنا حديثًا. جلستك والتنقل يعملان.,none,no platform verdict,en
admin.overview.r2.retryAll,Retry all,إعادة محاولة الكل,none,,en
admin.overview.r2.recovered,{family} verified again — {count} records read at {time},عادت قراءة {family} مؤكدة — {count} سجلًا قُرئت {time},"{family},{count},{time}",time bdi ltr,en
admin.overview.r2.stale,Read at {time} and not refreshed since. No staleness verdict exists — the age is shown.,قُرئت {time} ولم تُحدَّث منذ ذلك. لا يوجد حكم تقادم — يُعرض العمر فقط.,{time},,en
admin.overview.r2.refresh,Refresh,تحديث,none,,en
admin.overview.r2.unauthorized.title,This area isn't available to you,هذه المنطقة غير متاحة لك,none,,en
admin.overview.r2.unauthorized.body,Approval & Configuration requires an administration role. Nothing was loaded or changed.,يتطلب قسم الاعتماد والتهيئة دورًا إداريًا. لم يُحمَّل أو يتغيّر شيء.,none,,en
admin.overview.r2.empty.compliance,The library is genuinely empty — the read succeeded. Add the first regulation inside the module.,المكتبة فارغة فعلًا — نجحت القراءة. أضف أول لائحة داخل الوحدة.,none,,en
