factory_code,name_en,name_ar,status,region,city_industrial_area,lat,lng,sector_activity_class,cr_number,license_number,plant_number,products_summary,raw_materials_summary,source_system,source_provenance_note,risk_band,risk_score,contacts,documents,required_screen_endpoint_coverage
F-1101,Riyadh Advanced Petrochem Co.,شركة الرياض المتقدمة للبتروكيماويات,EXISTING (0011),Riyadh,2nd Industrial City,24.7060000,46.7680000,petrochemical,4030-201101 (synthetic),IL-9101 (synthetic),PLANT-9101 (to be added via industrial_licenses row - not yet seeded),"Polypropylene granules; industrial solvents (sector-consistent, NEW - not yet in factory_products)","Naphtha feedstock; catalysts (NEW - not yet in factory_materials)",senaei (synthetic adapter),REALISTIC_SYNTHETIC - source_synced_at populated in 0011; no senaei_raw_snapshots row yet (v2 provenance chain gap),high,81.50,factory_representatives row NOT yet seeded for this code,factory_documents row NOT yet seeded for this code,"Factory 360 identity/GIS tabs; high-risk bulk-plan eligibility; risk-band dashboard filter"
F-1102,Al Watania Plastics,الوطنية للبلاستيك,EXISTING (0011),Riyadh,2nd Industrial City,24.7010000,46.7710000,plastics,4030-201102 (synthetic),IL-9102 (synthetic),PLANT-9102 (not yet seeded),"Injection-molded plastic housewares; PVC pipe fittings (NEW)","Polypropylene resin; PVC compound (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,46.00,not yet seeded,not yet seeded,"Medium-risk bulk-plan filter; standard periodic package"
F-1103,Najd Steel Fabrication,نجد لتشكيل الصلب,EXISTING (0011),Riyadh,3rd Industrial City,24.5890000,46.8850000,steel,4030-201103 (synthetic),IL-9103 (synthetic),PLANT-9103 (not yet seeded),"Structural steel fabrications; steel doors and gates (NEW)","Steel plate; welding consumables (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,high,68.25,not yet seeded,not yet seeded,"High-risk history scenario (already has 12-month approved inspection cycle from 0011 seed do-block)"
F-1104,Alkhorayef Industrial Equipment,الخريف للمعدات الصناعية,EXISTING (0011),Riyadh,1st Industrial City,24.6540000,46.7770000,machinery,4030-201104 (synthetic),IL-9104 (synthetic),PLANT-9104 (not yet seeded),"Agricultural pumps; irrigation equipment (NEW)","Cast iron components; electric motors (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,low,35.00,not yet seeded,not yet seeded,"Low-risk factory for cancelled/expired visit scenarios"
F-1105,Saudi Dairy & Foodstuff (SADAFCO) Plant 2,صافولا للألبان والأغذية - المصنع 2,EXISTING (0011),Riyadh,Sudair,25.0800000,45.5650000,food,4030-201105 (synthetic),IL-9105 (synthetic),PLANT-9105 (not yet seeded),"UHT milk; powdered milk (NEW)","Raw milk; milk powder concentrate (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,low,29.75,not yet seeded,not yet seeded,"General Visit Report scenario; low-risk food sector baseline"
F-1106,Riyadh Electronics Assembly Factory,مصنع الرياض لتجميع الإلكترونيات,NEW (proposed),Riyadh,4th Industrial City,24.6200000,46.9500000,electronics,4030-201106 (synthetic),IL-9106 (synthetic),PLANT-9106 (proposed),"Consumer electronics assembly (set-top boxes); PCB sub-assemblies","Imported PCB blanks; surface-mount components; solder paste",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed to diversify Riyadh sector coverage beyond petrochem/plastics/steel/machinery/food,medium,44.00,"Persona: Layla Al-Fahad, Quality Manager, +966-50-2101106 (synthetic)","One license document (synthetic, valid_from/to pattern mirrors 0011)","Unregistered-establishment contrast case: this factory IS registered so an immediate-visit at an unregistered site nearby has a clean comparator"
F-2201,Jeddah Chemical Industries,صناعات جدة الكيميائية,EXISTING (0011),Makkah,Jeddah Industrial City 1,21.4230000,39.2660000,chemical,4030-202201 (synthetic),IL-9201 (synthetic),PLANT-9201 (not yet seeded),"Industrial detergents; specialty surfactants (NEW)","Linear alkylbenzene sulfonate (LABS); caustic soda (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,high,77.00,not yet seeded,not yet seeded,"Chemical Clearance report-type scenario primary factory (matches sector)"
F-2202,Red Sea Food Processing,معالجة أغذية البحر الأحمر,EXISTING (0011),Makkah,Jeddah Industrial City 2,21.3980000,39.2830000,food,4030-202202 (synthetic),IL-9202 (synthetic),PLANT-9202 (not yet seeded),"Frozen seafood packs; canned tuna (NEW)","Fresh Red Sea catch (local); tin cans/packaging (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,low,33.50,not yet seeded,not yet seeded,"Low-risk periodic visit; virtual-inspection candidate"
F-2203,Arabian Paper Products,المنتجات الورقية العربية,EXISTING (0011),Makkah,Jeddah Industrial City 3,21.3660000,39.3080000,paper,4030-202203 (synthetic),IL-9203 (synthetic),PLANT-9203 (not yet seeded),"Corrugated cardboard boxes; tissue paper rolls (NEW)","Recycled kraft paper; virgin pulp (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,52.25,not yet seeded,not yet seeded,"Medium-risk factory-data-discrepancy-proposal scenario (paper GSM mismatch narrative)"
F-2204,Rabigh Polymers Complex,مجمع رابغ للبوليمرات,EXISTING (0011),Makkah,Rabigh PlusTech Park,22.7460000,39.0180000,petrochemical,4030-202204 (synthetic),IL-9204 (synthetic),PLANT-9204 (not yet seeded),"Polyethylene resin (large complex); ethylene glycol (NEW)","Naphtha/ethane feedstock (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,high,84.00,not yet seeded,"geofence_radius_m=250 already set in 0011 (large complex override)","Large-complex geofence override scenario (250m radius already applied)"
