authority_route_id,shell_option,current_routes,target_route,route_decision,owner_packages,preserved_backend_contract,cutover,rollback,status
WA-SR-001,Dashboard,/dashboard,/dashboard,REVAMP_IN_PLACE_PRESERVE_BACKEND,M1,RLS-scoped dashboard metrics and governed formulas,Explicit APPROVED FOR CUTOVER after batch certification,Restore retained dashboard implementation,AUTHORITY_REGISTERED
WA-SR-002,Operations Center,/operations;/operations/live;/operations/exceptions,/operations,MERGE_AS_PRIMARY_AND_SECONDARY_VIEWS,M3,Operations map telemetry permissions alerts and detail loaders,Explicit APPROVED FOR CUTOVER after map and national-view certification,Restore retained operations pages and flag,AUTHORITY_REGISTERED
WA-SR-003,Factory 360,/factories;/factories/:id;/factories/cr/:id,/factories,ENHANCE_LIST_AND_REVAMP_DETAIL_PRESERVE_PROJECTION,M4,Canonical Factory 360 dossier projection RLS audit provider provenance and fail-closed integrations,Explicit APPROVED FOR CUTOVER after list/detail journey certification,Restore retained list/detail implementations and flag,AUTHORITY_REGISTERED
WA-SR-004,Planning,/planning;/planning/single;/planning/bulk;/planning/bulk/review;/planning/immediate;/planning/plans;/planning/plans/:id,/planning,ENHANCE_AS_HUB_PRESERVE_CHILD_ROUTES,M2,Planning capability lifecycle assignment package version and audit contracts,Explicit APPROVED FOR CUTOVER after Planning journey certification,Restore retained Planning hub and child implementations,AUTHORITY_REGISTERED
WA-SR-005,Planning Visits,/visits;/visits/:id;/visits/calendar;/visits/map;/visits/workload,/planning/visits,REHOME_WITH_COMPATIBILITY_REDIRECTS,M2,Visit reads actions permissions RLS lifecycle audit and immutable inspection links,Explicit APPROVED FOR CUTOVER after route and redirect certification,Disable new routes and retain current /visits implementations,AUTHORITY_REGISTERED
WA-SR-006,Execution,/visits;/visits/:id,/planning/visits?view=execution,MERGE_AS_WEB_OVERSIGHT_VIEW,M2,Web oversight of assigned active and completed visits without field-runtime ownership,Explicit APPROVED FOR CUTOVER after oversight certification,Return shell target to retained Visits surface,AUTHORITY_REGISTERED
WA-SR-007,Review & Approval,/reviews;/reviews/:id;/reviews/:id/started;/cases;/tasks,/reviews,ENHANCE_AS_HUB_PRESERVE_WORKFLOW,M5,Maker-checker governed transitions immutable submitted versions RLS audit and tasks,Explicit APPROVED FOR CUTOVER after queue/detail/action certification,Restore retained review routes and flag,AUTHORITY_REGISTERED
WA-SR-008,Compliance Library,/admin/regulations;/admin/regulations/:id;/admin/items;/admin/items/:id/runtime-preview;/admin/packages,/admin/regulations,MERGE_AS_HUB_WITH_CHILD_ROUTES,M6_M9,Published regulations items package versions maker-checker and audit,Explicit APPROVED FOR CUTOVER after library journey certification,Restore retained admin library routes,AUTHORITY_REGISTERED
WA-SR-009,Approval Queue,/admin/compliance-approvals;/admin/compliance-requests;/admin/compliance-requests/new;/admin/compliance-requests/:id,/admin/compliance-approvals,ENHANCE_AS_HUB_PRESERVE_REQUEST_ENGINE,M6,CCR maker-checker immutable revisions publication RLS and audit,Explicit APPROVED FOR CUTOVER after queue/request certification,Restore retained approval and request routes,AUTHORITY_REGISTERED
WA-SR-010,Enforcement Library,/enforcement;/admin/violations;/admin/bulk-violations;/admin/enforcement-recommendations;/committee,/enforcement,MERGE_AS_HUB_WITH_CHILD_ROUTES,M6,Violation penalty committee enforcement transitions permissions and audit,Explicit APPROVED FOR CUTOVER after enforcement certification,Restore retained routes and shell mapping,AUTHORITY_REGISTERED
WA-SR-011,Analytics,/dashboard;/reports/inspection/:id;/evidence-ocr;/ai/suggestions;/incident-reports,/dashboard?view=analytics,MERGE_AS_DASHBOARD_SECONDARY_VIEW_WITH_DEEP_LINKS,M1_M7,RLS-scoped reporting evidence OCR AI fail-closed and incident contracts,Explicit APPROVED FOR CUTOVER after analytics and deep-link certification,Restore retained report and tool entries,AUTHORITY_REGISTERED
WA-SR-012,Users & Roles,/admin;/admin/access;/admin/security-access;/admin/devices;/admin/audit,/admin/access,MERGE_AS_ADMIN_HUB_WITH_CHILD_ROUTES,M8_M9,Identity RBAC overrides access review device commands and audit,Explicit APPROVED FOR CUTOVER after security-admin certification,Restore retained access routes,AUTHORITY_REGISTERED
WA-SR-013,Lookup Management,/admin/planning/lookups;/admin/localization;/admin/planning/status;/admin/planning/expiry,/admin/planning/lookups,MERGE_AS_ADMIN_HUB_WITH_CHILD_ROUTES,M9,Versioned lookups localization planning status and expiry configuration,Explicit APPROVED FOR CUTOVER after lookup certification,Restore retained lookup routes,AUTHORITY_REGISTERED
WA-SR-014,Risk Configuration,/admin/risk;/admin/risk/models,/admin/risk,ENHANCE_AS_ADMIN_HUB_PRESERVE_OPEN_POLICY,M6,Risk model versioning permissions and DEC-001 fail-closed behavior,Explicit APPROVED FOR CUTOVER after policy-owner and batch certification,Restore retained risk routes,AUTHORITY_REGISTERED
WA-SR-015,Survey Configuration,/admin/items;/admin/packages;/admin/workflows;/admin/dashboard-config,/admin/items,MERGE_AS_ADMIN_HUB_WITH_CHILD_ROUTES,M9,Forms items packages workflows dashboard configuration maker-checker versions and audit,Explicit APPROVED FOR CUTOVER after studio certification,Restore retained configuration routes,AUTHORITY_REGISTERED
WA-SR-016,Notification Configuration,/admin/notifications,/admin/notifications,REVAMP_IN_PLACE_PRESERVE_PROVIDER_FAILURE,M9,Template channel permission audit and fail-closed delivery contracts,Explicit APPROVED FOR CUTOVER after provider-negative certification,Restore retained notification page,AUTHORITY_REGISTERED
WA-SR-017,Integration Management,/admin/integrations;/admin/integrations/factory-data;/admin/gis;/admin/gis/spatial;/admin/execution;/admin/operations,/admin/integrations,MERGE_AS_ADMIN_HUB_WITH_CHILD_ROUTES,M10,Provider health GIS geofence Senaei execution operations permissions provenance and fail-closed behavior,Explicit APPROVED FOR CUTOVER after integration-negative certification,Restore retained integration routes,AUTHORITY_REGISTERED
WA-SR-018,Access and account,/;/login;/reset;/launch;/launch/no-workspace;/portal;/profile;/virtual;/virtual/:id,/;/login;/reset;/launch;/launch/no-workspace;/portal;/profile;/virtual;/virtual/:id,PRESERVE_OUTSIDE_AUTHORITY_REPRESENTED_SHELL,M11,Authentication authorization reset launch profile and virtual contracts,No cutover under this shell amendment,Current implementations remain canonical,AUTHORITY_REGISTERED
