route_id,route,scope_layer,route_group,render_type,screen_id,persona,authorization,logical_modes,safety_class,safety_note,code_status,capture_status,current_commit_evidence_count,accepted_evidence_count,evidence_paths,route_final,blocker_or_note,requirement_process_refs
RTE-001,/admin,MVP1_GOVERNED,Admin,rendered,SCR-ADM-001,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,INTERACTION_MUTATION,read_only_on_load_confirm_actions_before_click,implemented,CAPTURED_CURRENT_COMMIT,2,2,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png;design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,/admin,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-002,/admin/access,MVP1_GOVERNED,Admin,rendered,SCR-ADM-090,Security Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,confirm_no_mutating_action,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-access__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003433Z.png,/admin/access,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-003,/admin/gis,MVP1_GOVERNED,Admin,rendered,SCR-ADM-070,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,confirm_no_mutating_action,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-gis__populated__en-LTR__light__1440x1024__20260719T003520Z.png,/admin/gis,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-004,/admin/items,MVP1_GOVERNED,Admin,rendered,SCR-ADM-020,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,confirm_no_mutating_action,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-items__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003445Z.png,/admin/items,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-005,/admin/notifications,MVP1_GOVERNED,Admin,rendered,SCR-ADM-080,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,read_only_on_load,IMPLEMENTED_ADDITIONAL_ROUTE,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-notifications__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003450Z.png,/admin/notifications,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-006,/admin/packages,MVP1_GOVERNED,Admin,rendered,SCR-ADM-030,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,confirm_no_mutating_action,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-packages__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003459Z.png,/admin/packages,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-007,/admin/regulations,MVP1_GOVERNED,Admin,rendered,SCR-ADM-010,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,confirm_no_mutating_action,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-regulations__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003500Z.png,/admin/regulations,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-008,/admin/regulations/:id,MVP1_GOVERNED,Admin,rendered,SCR-ADM-011,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,use_authorized_deterministic_record,IMPLEMENTED_ADDITIONAL_ROUTE,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-regulation-detail__published_read_only__en-LTR__light__1425x1024__20260719T003541Z.png,/admin/regulations/:id,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-009,/admin/risk,MVP1_GOVERNED,Admin,rendered,SCR-ADM-060,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,INTERACTION_MUTATION,do_not_publish_or_change_model,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-risk__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003501Z.png,/admin/risk,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
RTE-010,/admin/violations,MVP1_GOVERNED,Admin,rendered,SCR-ADM-040,Compliance/Business/Technical Admin,ROLE_SCOPED,default;loading;empty/error/unauthorized as applicable,READ_ONLY_ON_LOAD,confirm_no_mutating_action,implemented,CAPTURED_CURRENT_COMMIT,1,1,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-violations__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003505Z.png,/admin/violations,Current-commit as-is capture available.,See screen_route_catalogue.csv and design authority reconciliation
