requirement_id,source_id,source_sha256,source_sheet,source_coordinate,module,capability,purpose,user_flow,user_actions,system_actions,ai_actions,inputs,outputs,business_rules,personas,dependencies,source_acceptance_criteria,original_source_text,disposition,disposition_alias,target_module_id,implementation_package,target_routes,target_designs,acceptance_ids,decision_or_blocker_ids,shared_backend_dependencies,evidence_ids,status
CR-001,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!2,Visit Planning,Visit Creation,Provide planners and inspectors with different methods to create inspection visits based on the business scenario.,Visit Planning → Visit Creation → Select Planning Method (Bulk / Single / Immediate).,Select planning method.,Load the selected planning workflow.,N/A,Planning Method,Selected planning workflow.,"Three planning methods are supported: Bulk, Single and Immediate.","Planner, Inspector","User Authentication, Role & Permission Management",User can access only the planning methods permitted by their role.,"module=Visit Planning | capability=Visit Creation | purpose=Provide planners and inspectors with different methods to create inspection visits based on the business scenario. | user_flow=Visit Planning → Visit Creation → Select Planning Method (Bulk / Single / Immediate). | user_actions=Select planning method. | system_actions=Load the selected planning workflow. | ai_actions=N/A | inputs=Planning Method | outputs=Selected planning workflow. | business_rules=Three planning methods are supported: Bulk, Single and Immediate. | personas=Planner, Inspector | dependencies=User Authentication, Role & Permission Management | source_acceptance_criteria=User can access only the planning methods permitted by their role.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0001,,,WA-EV-0001,BASELINED_NOT_IMPLEMENTED
CR-002,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!3,Visit Planning,Bulk Planning,Create multiple inspection visits using a single planning activity (Visit Plan).,Select Bulk Planning → Build Criteria → Retrieve Factories → Select Factories → Configure Visit → Assign Inspectors → Review → Publish.,"Build search criteria, search factories, select/unselect factories, configure visit, publish.","Retrieve factories, validate duplicates, generate Visit Plan, generate Visit IDs, assign inspectors, notify inspectors, create audit logs.","Recommend factories, highlight high-risk factories, recommend assignment strategy (Phase 2).","Planning Criteria, Visit Configuration",Visit Plan + Multiple Visits,One Visit Plan can generate multiple Visits. Every Visit receives a unique Visit ID while sharing the same Visit Plan ID.,Planner,"Factory Master Data, Search Engine, Assignment Engine, Inspector Master Data, Notification Service",Planner successfully publishes a Visit Plan and all selected factories receive individual Visits.,"module=Visit Planning | capability=Bulk Planning | purpose=Create multiple inspection visits using a single planning activity (Visit Plan). | user_flow=Select Bulk Planning → Build Criteria → Retrieve Factories → Select Factories → Configure Visit → Assign Inspectors → Review → Publish. | user_actions=Build search criteria, search factories, select/unselect factories, configure visit, publish. | system_actions=Retrieve factories, validate duplicates, generate Visit Plan, generate Visit IDs, assign inspectors, notify inspectors, create audit logs. | ai_actions=Recommend factories, highlight high-risk factories, recommend assignment strategy (Phase 2). | inputs=Planning Criteria, Visit Configuration | outputs=Visit Plan + Multiple Visits | business_rules=One Visit Plan can generate multiple Visits. Every Visit receives a unique Visit ID while sharing the same Visit Plan ID. | personas=Planner | dependencies=Factory Master Data, Search Engine, Assignment Engine, Inspector Master Data, Notification Service | source_acceptance_criteria=Planner successfully publishes a Visit Plan and all selected factories receive individual Visits.",PHASE1_WEB,,MOD-05,M2,/planning/bulk/**,SAQEEL Planning;SAQEEL Planning Identity,WA-AC-0002,,,WA-EV-0002,BASELINED_NOT_IMPLEMENTED
CR-003,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!4,Visit Planning,Planning Criteria Builder,Allow planners to build flexible search criteria to identify target factories.,Open Criteria Builder → Add Filter → Add Additional Filters → Search.,"Add, edit and remove criteria using AND / OR conditions.",Validate criteria and execute factory search.,Suggest additional criteria based on previous planning (Phase 2).,Factory Filter Keys,Search Criteria,Multiple filters can be combined. Both AND and OR conditions are supported.,Planner,Factory Master Data,Planner can build one or multiple search criteria without limitation.,"module=Visit Planning | capability=Planning Criteria Builder | purpose=Allow planners to build flexible search criteria to identify target factories. | user_flow=Open Criteria Builder → Add Filter → Add Additional Filters → Search. | user_actions=Add, edit and remove criteria using AND / OR conditions. | system_actions=Validate criteria and execute factory search. | ai_actions=Suggest additional criteria based on previous planning (Phase 2). | inputs=Factory Filter Keys | outputs=Search Criteria | business_rules=Multiple filters can be combined. Both AND and OR conditions are supported. | personas=Planner | dependencies=Factory Master Data | source_acceptance_criteria=Planner can build one or multiple search criteria without limitation.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0003,,,WA-EV-0003,BASELINED_NOT_IMPLEMENTED
CR-004,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!5,Visit Planning,Target Factory Identification,Retrieve all factories matching the selected planning criteria.,Search → View Results.,Review search results.,Retrieve all matching factories.,Rank factories by risk or priority (Phase 2).,Search Criteria,Factory List,Only factories matching all criteria are returned.,Planner,Factory Repository,Matching factories are successfully retrieved.,module=Visit Planning | capability=Target Factory Identification | purpose=Retrieve all factories matching the selected planning criteria. | user_flow=Search → View Results. | user_actions=Review search results. | system_actions=Retrieve all matching factories. | ai_actions=Rank factories by risk or priority (Phase 2). | inputs=Search Criteria | outputs=Factory List | business_rules=Only factories matching all criteria are returned. | personas=Planner | dependencies=Factory Repository | source_acceptance_criteria=Matching factories are successfully retrieved.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0004,,,WA-EV-0004,BASELINED_NOT_IMPLEMENTED
CR-005,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!6,Visit Planning,Target Factory Selection,Allow planners to select the factories that should become inspection visits.,Review Results → Select / Unselect Factories → Confirm Selection.,Select or remove factories individually or in bulk.,Track selected factories and prepare Visit Plan.,Highlight high-risk factories (Phase 2).,Retrieved Factory List,Selected Factory List,Planner has full control over the selected factories before publishing.,Planner,Retrieved Factory List,Only selected factories proceed to Visit Configuration.,module=Visit Planning | capability=Target Factory Selection | purpose=Allow planners to select the factories that should become inspection visits. | user_flow=Review Results → Select / Unselect Factories → Confirm Selection. | user_actions=Select or remove factories individually or in bulk. | system_actions=Track selected factories and prepare Visit Plan. | ai_actions=Highlight high-risk factories (Phase 2). | inputs=Retrieved Factory List | outputs=Selected Factory List | business_rules=Planner has full control over the selected factories before publishing. | personas=Planner | dependencies=Retrieved Factory List | source_acceptance_criteria=Only selected factories proceed to Visit Configuration.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0005,,,WA-EV-0005,BASELINED_NOT_IMPLEMENTED
CR-006,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!7,Visit Planning,Visit Configuration,Configure the common information that will be applied to all selected visits.,Configure Visit → Continue.,"Select Business Visit Type, Visit Window, Assignment Method, Notes.",Validate mandatory fields.,Recommend visit window based on inspector availability (Phase 2).,"Business Visit Type, Visit Window, Assignment Method, Notes",Configured Visit Plan,Configuration applies to every Visit generated from the same Visit Plan.,Planner,Business Visit Type Master Data,Planner successfully configures the Visit Plan.,"module=Visit Planning | capability=Visit Configuration | purpose=Configure the common information that will be applied to all selected visits. | user_flow=Configure Visit → Continue. | user_actions=Select Business Visit Type, Visit Window, Assignment Method, Notes. | system_actions=Validate mandatory fields. | ai_actions=Recommend visit window based on inspector availability (Phase 2). | inputs=Business Visit Type, Visit Window, Assignment Method, Notes | outputs=Configured Visit Plan | business_rules=Configuration applies to every Visit generated from the same Visit Plan. | personas=Planner | dependencies=Business Visit Type Master Data | source_acceptance_criteria=Planner successfully configures the Visit Plan.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0006,,,WA-EV-0006,BASELINED_NOT_IMPLEMENTED
CR-007,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!8,Visit Planning,Automatic Inspector Assignment,Automatically assign inspectors during planning.,Choose Auto Assignment → Review Assignment → Publish.,Select Auto Assignment.,Assign inspectors according to assignment strategy.,"Recommend assignment using workload balancing, region proximity and inspector capacity.",Assignment Strategy,Assigned Inspectors,Assignment occurs before publishing.,"Planner, System","Inspector Master Data, Assignment Engine",Every Visit has an assigned inspector before publishing.,"module=Visit Planning | capability=Automatic Inspector Assignment | purpose=Automatically assign inspectors during planning. | user_flow=Choose Auto Assignment → Review Assignment → Publish. | user_actions=Select Auto Assignment. | system_actions=Assign inspectors according to assignment strategy. | ai_actions=Recommend assignment using workload balancing, region proximity and inspector capacity. | inputs=Assignment Strategy | outputs=Assigned Inspectors | business_rules=Assignment occurs before publishing. | personas=Planner, System | dependencies=Inspector Master Data, Assignment Engine | source_acceptance_criteria=Every Visit has an assigned inspector before publishing.",PHASE1_WEB,,MOD-06,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0007,,,WA-EV-0007,BASELINED_NOT_IMPLEMENTED
CR-008,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!9,Visit Planning,Manual Inspector Assignment,Allow planners to manually assign inspectors.,Select Manual Assignment → Choose Inspector → Review → Publish.,Select inspector for one or multiple visits.,Validate inspector availability.,Recommend the most suitable inspector (Phase 2).,Inspector Selection,Assigned Visits,Planner may override automatic recommendations.,Planner,Inspector Master Data,Planner successfully assigns inspectors manually.,module=Visit Planning | capability=Manual Inspector Assignment | purpose=Allow planners to manually assign inspectors. | user_flow=Select Manual Assignment → Choose Inspector → Review → Publish. | user_actions=Select inspector for one or multiple visits. | system_actions=Validate inspector availability. | ai_actions=Recommend the most suitable inspector (Phase 2). | inputs=Inspector Selection | outputs=Assigned Visits | business_rules=Planner may override automatic recommendations. | personas=Planner | dependencies=Inspector Master Data | source_acceptance_criteria=Planner successfully assigns inspectors manually.,PHASE1_WEB,,MOD-06,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0008,,,WA-EV-0008,BASELINED_NOT_IMPLEMENTED
CR-009,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!10,Visit Planning,Review Visit Plan,Provide a final review before publishing.,Review Visit Plan → Publish.,Review all configuration and assignments.,Validate all required information.,Highlight missing or abnormal data (Phase 2).,Visit Plan,Ready for Publishing,Publishing is blocked until all mandatory information is completed.,Planner,Configured Visit Plan,Planner reviews the complete Visit Plan before publishing.,module=Visit Planning | capability=Review Visit Plan | purpose=Provide a final review before publishing. | user_flow=Review Visit Plan → Publish. | user_actions=Review all configuration and assignments. | system_actions=Validate all required information. | ai_actions=Highlight missing or abnormal data (Phase 2). | inputs=Visit Plan | outputs=Ready for Publishing | business_rules=Publishing is blocked until all mandatory information is completed. | personas=Planner | dependencies=Configured Visit Plan | source_acceptance_criteria=Planner reviews the complete Visit Plan before publishing.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0009,,,WA-EV-0009,BASELINED_NOT_IMPLEMENTED
CR-010,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!11,Visit Planning,Publish Visit Plan,Officially publish the Visit Plan and generate operational visits.,Publish → Confirmation.,Confirm publishing.,"Create Visit Plan, create individual Visits, assign inspectors, update inspector calendars, generate audit records, send notifications.",Summarize publishing results (Phase 2).,Approved Visit Plan,Published Visits,Every generated Visit becomes an independent business object while remaining linked to the originating Visit Plan.,"Planner, System","Notification Service, Calendar Service, Audit Service","Individual Visits are successfully generated, assigned and available to inspectors.","module=Visit Planning | capability=Publish Visit Plan | purpose=Officially publish the Visit Plan and generate operational visits. | user_flow=Publish → Confirmation. | user_actions=Confirm publishing. | system_actions=Create Visit Plan, create individual Visits, assign inspectors, update inspector calendars, generate audit records, send notifications. | ai_actions=Summarize publishing results (Phase 2). | inputs=Approved Visit Plan | outputs=Published Visits | business_rules=Every generated Visit becomes an independent business object while remaining linked to the originating Visit Plan. | personas=Planner, System | dependencies=Notification Service, Calendar Service, Audit Service | source_acceptance_criteria=Individual Visits are successfully generated, assigned and available to inspectors.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0010,,,WA-EV-0010,BASELINED_NOT_IMPLEMENTED
