mock_id,file_path,symbol_or_content,category,scope_of_use,is_persisted,qa_acceptable,rationale,remediation_seam
MOCK-001,apps/web/src/lib/i18n-keys.generated.ts,"landing.mock.kpiPublished / landing.mock.kpiSla / landing.mock.kpiAwaiting / landing.mock.kpiConflicts / landing.mock.factory1 (Al Amal Plastics) / landing.mock.factory2 (Gulf Steel Works) / landing.mock.factory3 (Najd Food Industries) / landing.mock.approved / landing.mock.highRisk / landing.mock.virtual / landing.mock.periodicPhysical / landing.mock.followupPhysical / landing.mock.periodicVirtual",FRONTEND_MOCK,"Pre-auth marketing/login hero decorative dashboard preview only (app/login/page.tsx family). Not reachable from any authenticated data endpoint.",false,QA-ACCEPTABLE as decorative marketing copy ONLY if never reused on an authenticated screen; NOT acceptable if any test asserts these strings as real KPI/factory data,"Explicitly labeled 'decorative' in the i18n context field by the authoring engineer; scoped only to the unauthenticated hero.","None required for QA of authenticated journeys; if reused elsewhere, replace with live dashboard/factory query."
MOCK-002,apps/web/src/lib/providers/factory-risk.ts,SyntheticFactoryMasterProvider / SyntheticFactory / SyntheticLicence / SyntheticRiskResult,PERSISTED_CONTRACT_STUB (governed synthetic generator; NOT a raw UI mock),Test/staging augmentation beyond the 20-factory KSA seed; matches real factories/factory_representatives/factory_documents column shape,false (in-memory; not written to Supabase),QA-ACCEPTABLE only for load/volume testing scenarios explicitly calling out synthetic augmentation; NOT acceptable as a substitute for seeded live factories in any accepted QA journey,assertNonProduction-gated + FEATURE_ flag + seededFraction determinism; documented as matching real table shape without touching them,Replace with live `factories`/`factory_representatives` rows from the seeder (05-factories-licenses-production.ts) for any accepted QA journey.
MOCK-003,apps/web/src/lib/providers/location.ts,LocationSample / GeofenceCheck simulator (FEATURE_LOCATION_SOURCE=simulator),PERSISTED_CONTRACT_STUB,Dev/test/staging GPS scenarios impractical to reproduce with a real device (accurate/weak_accuracy/stale_timestamp/permission_denied/no_signal),false,QA-ACCEPTABLE for offline/geofence negative-path test evidence only; NOT acceptable as the source of a persisted geo_events row presented as a real check-in,assertNonProduction-gated; real production path (browser Geolocation + geo_events/geo_override_requests tables) is explicitly untouched,Seed real geo_events rows via 09-preparation-and-journeys.ts for accepted QA journeys; keep this provider only for FEATURE_LOCATION_SOURCE=simulator CI runs.
MOCK-004,apps/web/src/lib/providers/map.ts,geocode()/directions() stub (fixtureId `geo-fixture-*` / `dir-fixture-*`),PERSISTED_CONTRACT_STUB,Generic map geocode/directions surface with no real implementation today (distinct from the live-wired /api/routing/eta Mapbox Directions route),false,QA-ACCEPTABLE only while explicitly disclosed as FEATURE_MAP_PROVIDER=stub; must never be reported as real-provider-certified,"Explicitly documented: 'must never be reported as real-provider-certified'; falls back to stub without MAPBOX_ACCESS_TOKEN",Wire a real Mapbox client analogous to /api/routing/eta/route.ts once a credential/DEC is approved.
MOCK-005,apps/web/src/lib/providers/media.ts,MediaFixture capture()/scan()/scanWithRetry() deterministic fixtures,PERSISTED_CONTRACT_STUB,Dev/test/staging evidence capture + malware-scan outcome without a real device or AV engine (invalid_type/oversize/interrupted_capture/timeout/fail/pass paths),false (in-memory Buffer only),QA-ACCEPTABLE for evidence-retry negative-path test evidence; NOT acceptable as a substitute for real Supabase Storage evidence rows in an accepted submission scenario,assertNonProduction-gated; real capture path is Workspace.tsx enqueueEvidence() to real Supabase Storage (untouched),Seed real `evidence` rows with real storage_path via 10-inspection-execution.ts for accepted QA journeys.
MOCK-006,apps/web/src/lib/providers/notification-stubs.ts,simulateDelivery() / simulateOtpTransmission() in-memory sink (readSink/clearSink),PERSISTED_CONTRACT_STUB (governed staging adapter plugged into the real notify.ts DeliveryAdapter registry),Staging environments wanting to exercise delivery/escalation/dedup UI without a real SMS/push/email provider; never sends a real external message,false (in-memory sink array only),QA-ACCEPTABLE explicitly as the seeder's notification sink per blueprint section I ('outbound notification sink'); real OTP verification (vp_request_otp/vp_verify_otp) is untouched and always live,assertNonProduction-gated; explicitly documents it never touches the real OTP RPCs,Use as the designated seed-run notification sink (per blueprint requirement); keep out of production entirely via assertNonProduction.
MOCK-007,apps/web/src/lib/providers/video.ts,VideoJoinResult / VideoSessionState deterministic stub (fixtureId `video-fixture-*`),PERSISTED_CONTRACT_STUB,Virtual Inspection room connection layer — no real video vendor SDK integrated (vendor selection DEC-pending),false,QA-ACCEPTABLE only because the UI is contractually required to render a 'SIMULATED VIDEO SESSION' badge at all times (app/(app)/virtual/[id]/Room.tsx),UI badge enforcement prevents this from ever being presented as a real session; identity/OTP verification during join is real and untouched,Integrate a real video vendor SDK once DEC selects a provider; remove the stub and the mandatory badge together.
MOCK-008,apps/web/src/lib/integrations/senaei/* (client.ts + 8 adapter files),listRegulations/getProfile/listTasks/getTaskDetail/submitInspection/getProductionLine/login/logout/forgotPassword/resetPassword,BLOCKED_EXTERNAL (governed contract gate; NOT a hardcoded mock -- returns typed configurationMissing/degraded/failed DomainResult),Legacy Senaei platform parity surfaces for Inspector task/regulation/profile/submission flows,false,QA-ACCEPTABLE as an honestly-unavailable state; NOT acceptable to fabricate a successful Senaei response in any test without real SENAEI_* credentials,Fails closed via resolveSenaeiConfig() when SENAEI_AUTH_MODE/SENAEI_BASE_URL/SENAEI_ALLOWED_HOST_SUFFIX are unset; createBlockedSubmissionOutbox() used for submission fallback,Populate SENAEI_* env vars in an approved staging environment and re-run senaei-integration-contract.spec.ts against a real sandbox before treating this domain as live.
MOCK-009,apps/web/src/lib/integrations/industry-shared/* (client.ts + endpoints.ts + adapters/factory360.ts),"11 endpoint leads (license_info, license_info_products, license_info_preview, job_workforce_info, contact_list, plants, plant_with_labors, is_industrial_activity, get_industrial_activities, delegations, hrsd_labors) all state:'DISCOVERY_REQUIRED'",BLOCKED_EXTERNAL (contract gate that throws rather than fabricate; NOT a mock in the pejorative sense but zero live capability today),Factory 360 cross-provider (MODON/HRSD via Industry Shared) canonical comparison rows,false,"QA-ACCEPTABLE as a disclosed gap (industry-shared-integration-contract.spec.ts asserts the gate, not a fake payload); NOT acceptable to present any of these 11 domains as reconciled/live",unavailableIndustrySharedEndpoint() throws unless contract.state changes from DISCOVERY_REQUIRED — no network call is even attempted,Requires an approved observed auth/request/response contract + sanitized fixture checksum per endpoint before any adapter code is written (Section H of blueprint).
MOCK-010,apps/web/src/app/(app)/admin/workflows/page.tsx,"'Simulation fixtures & persisted replay' banner referencing an unbuilt sim_fixtures/sim_runs store (GAP-02)","PERSISTED_CONTRACT_STUB (disclosed gap, not implemented — no fixture code exists yet, only a UI disclosure banner)",Admin workflow simulation/replay history display,false (nothing built yet),QA-ACCEPTABLE as an honest 'not built' disclosure; would become FRONTEND_MOCK if anyone hardcoded fake run history instead of leaving it empty,Page explicitly states "no run history is shown" rather than fabricating rows,"Build sim_fixtures/sim_runs tables + persisted replay per GAP-02 before claiming this capability complete."
MOCK-011,apps/web/src/lib/field-integrations.ts,estimateFieldRoute() / requestFieldLocationOverride() TEST_STUB_LABEL = "TEST STUB — not production routing/approval",PERSISTED_CONTRACT_STUB,Field ETA/override-decision test-fixture model with deliberately-named numbers,false,QA-ACCEPTABLE only in test_stub mode; the UI must render the TEST_STUB_LABEL whenever this path is used instead of the real production RPC path,"Explicit FieldIntegrationMode = 'production' | 'test_stub' union; comments state 'Test-fixture model only'",Confirm every screen consuming this always branches to the real production RPC (decide_geo_override / mapbox eta) outside of declared test_stub mode.
