path,purpose
BACKEND_READINESS_MATRIX_CD-012-019.csv,"R2 document"
CAPTURE_MANIFEST_CD-012-019_R2.csv,"R2 document"
CD-012-019 Admin Control Plane R2.dc.html,"R2 interactive harness — 8 screens x 72 states x EN/AR x dark/light x 1440/1024/412"
COMPONENT_MAP_CD-012-019_R2.csv,"R2 document"
STATE_MATRIX_CD-012-019_R2.csv,"R2 document"
WIRING_MAP_CD-012-019_R2.csv,"R2 document"
cd12-register.js,"CD-012 registry adapter"
cd12.js,"CD-012 render (config_versions maker-checker)"
cd13.js,"CD-013 payload editor + quarantined lane"
cd14.js,"CD-014 engine_settings direct save"
cd15.js,"CD-015 coordinates + updateGeofenceRadius"
cd16.js,"CD-016 blocked concept boundary"
cd17.js,"CD-017 read-only holdings"
cd18.js,"CD-018 real ui_strings workflow"
cd19.js,"CD-019 append-only reader"
cdm-common.js,"shared kit incl. R2 notYet/fixture grammar"
cdm-frame.css,"themes + all component classes"
cdm-stage.js,"stage web component"
export.html,"self-contained evidence page (inlined CSS; setFrame; smokeTest)"
runtime-truth-ledger.md,"R2 document"
saqeel-retired-predecessor.css,"frozen retired predecessor library"
saqeel-tokens.css,"frozen DEC-011 tokens"
source-receipt.md,"R2 document"
support.js,"DC runtime"
final/CD-012_SCR-ADM-050_outlier_dark_en_1440.png,"evidence frame"
final/CD-012_SCR-ADM-050_primary_dark_ar_1440.png,"evidence frame"
final/CD-012_SCR-ADM-050_primary_dark_en_1024.png,"evidence frame"
final/CD-012_SCR-ADM-050_primary_dark_en_1440.png,"evidence frame"
final/CD-012_SCR-ADM-050_primary_dark_en_412.png,"evidence frame"
final/CD-012_SCR-ADM-050_primary_light_en_1440.png,"evidence frame"
final/CD-013_SCR-ADM-051_outlier_dark_en_1440.png,"evidence frame"
final/CD-013_SCR-ADM-051_primary_dark_ar_1440.png,"evidence frame"
final/CD-013_SCR-ADM-051_primary_dark_en_1024.png,"evidence frame"
final/CD-013_SCR-ADM-051_primary_dark_en_1440.png,"evidence frame"
final/CD-013_SCR-ADM-051_primary_dark_en_412.png,"evidence frame"
final/CD-013_SCR-ADM-051_primary_light_en_1440.png,"evidence frame"
final/CD-014_SCR-ADM-060_outlier_dark_en_1440.png,"evidence frame"
final/CD-014_SCR-ADM-060_primary_dark_ar_1440.png,"evidence frame"
final/CD-014_SCR-ADM-060_primary_dark_en_1024.png,"evidence frame"
final/CD-014_SCR-ADM-060_primary_dark_en_1440.png,"evidence frame"
final/CD-014_SCR-ADM-060_primary_dark_en_412.png,"evidence frame"
final/CD-014_SCR-ADM-060_primary_light_en_1440.png,"evidence frame"
final/CD-015_SCR-ADM-070_outlier_dark_en_1440.png,"evidence frame"
final/CD-015_SCR-ADM-070_primary_dark_ar_1440.png,"evidence frame"
final/CD-015_SCR-ADM-070_primary_dark_en_1024.png,"evidence frame"
final/CD-015_SCR-ADM-070_primary_dark_en_1440.png,"evidence frame"
final/CD-015_SCR-ADM-070_primary_dark_en_412.png,"evidence frame"
final/CD-015_SCR-ADM-070_primary_light_en_1440.png,"evidence frame"
final/CD-016_SCR-ADM-080_outlier_dark_en_1440.png,"evidence frame"
final/CD-016_SCR-ADM-080_primary_dark_ar_1440.png,"evidence frame"
final/CD-016_SCR-ADM-080_primary_dark_en_1024.png,"evidence frame"
final/CD-016_SCR-ADM-080_primary_dark_en_1440.png,"evidence frame"
final/CD-016_SCR-ADM-080_primary_dark_en_412.png,"evidence frame"
final/CD-016_SCR-ADM-080_primary_light_en_1440.png,"evidence frame"
final/CD-017_SCR-ADM-090_outlier_dark_en_1440.png,"evidence frame"
final/CD-017_SCR-ADM-090_primary_dark_ar_1440.png,"evidence frame"
final/CD-017_SCR-ADM-090_primary_dark_en_1024.png,"evidence frame"
final/CD-017_SCR-ADM-090_primary_dark_en_1440.png,"evidence frame"
final/CD-017_SCR-ADM-090_primary_dark_en_412.png,"evidence frame"
final/CD-017_SCR-ADM-090_primary_light_en_1440.png,"evidence frame"
final/CD-018_ADM-LOCALIZATION_outlier_dark_en_1440.png,"evidence frame"
final/CD-018_ADM-LOCALIZATION_primary_dark_ar_1440.png,"evidence frame"
final/CD-018_ADM-LOCALIZATION_primary_dark_en_1024.png,"evidence frame"
final/CD-018_ADM-LOCALIZATION_primary_dark_en_1440.png,"evidence frame"
final/CD-018_ADM-LOCALIZATION_primary_dark_en_412.png,"evidence frame"
final/CD-018_ADM-LOCALIZATION_primary_light_en_1440.png,"evidence frame"
final/CD-019_ADM-AUDIT_outlier_dark_en_1440.png,"evidence frame"
final/CD-019_ADM-AUDIT_primary_dark_ar_1440.png,"evidence frame"
final/CD-019_ADM-AUDIT_primary_dark_en_1024.png,"evidence frame"
final/CD-019_ADM-AUDIT_primary_dark_en_1440.png,"evidence frame"
final/CD-019_ADM-AUDIT_primary_dark_en_412.png,"evidence frame"
final/CD-019_ADM-AUDIT_primary_light_en_1440.png,"evidence frame"
