handoff_id,originating_action,originating_persona,originating_endpoint,mechanism,receiving_downstream_queue_or_record,receiving_persona,receiving_endpoint,audit_notification_expected,test_evidence
HANDOFF-001,Outside-geofence check-in request during journey,Inspector,"app/(app)/field/[visitId]/actions.ts (geo_override_request outbox op), lib/offline.ts",inserts geo_override_requests row (pending) via replayed outbox op,Operations override queue,Operations Centre manager / specialist,app/(app)/operations/OverrideQueue.tsx + actions.ts decide_geo_override RPC,audit_events on insert + notifications to operations recipients,cd-023-immediate-authority-bar.spec.ts / offline-drill.spec.ts
HANDOFF-002,Override decision (approve/reject/expire),Operations Centre manager,app/(app)/operations/actions.ts decide_geo_override RPC + expire_stale_geo_override_requests RPC,updates geo_override_requests.status,Inspector field workspace (journey resumes or is blocked),Inspector,app/(app)/field/[visitId]/page.tsx + Workspace.tsx,audit_events on transition + notifications to the requesting inspector,cd-023-immediate-authority-bar.spec.ts
HANDOFF-003,Visit cancellation request,Inspector,app/(app)/field/[visitId]/actions.ts request_visit_cancellation RPC,inserts cancellation_requests row,Planning/Operations cancellation queue,Planner / Operations Centre manager,app/(app)/operations/CancellationQueue.tsx,audit_events + notifications to planner/operations,execution-canonical-contract.spec.ts
HANDOFF-004,Visit reschedule request,Inspector,app/(app)/field/actions.ts request_visit_reschedule RPC,inserts/updates visit_lifecycle_events + visits scheduling fields,Planning queue,Planner,app/(app)/planning/page.tsx + plans/[id]/page.tsx,audit_events + notifications to planner,cd-026-visit-management.spec.ts
HANDOFF-005,Visit return request (before publication issue found),Inspector,app/(app)/field/[visitId]/actions.ts request_visit_return RPC,updates visits.status to returned + visit_lifecycle_events,Planning queue (returned tab),Planner,app/(app)/planning/page.tsx PLANNING_TABS='returned',audit_events + notifications to planner,cd-020-planning-home.spec.ts
HANDOFF-006,Inspection submission (v1 or resubmission vN),Inspector,"lib/offline.ts processOutbox 'submit' op -> submission_versions insert (app/(app)/visits/[id]/actions.ts / field/inspection/[id] runtime.ts)",inserts submission_versions (immutable) + updates inspections.status=submitted,Review queue,Reviewer,app/(app)/reviews/page.tsx + [id]/page.tsx,audit_events on submit + notifications to review-lead/reviewer,cd-028-review-queue.spec.ts / offline-drill.spec.ts
HANDOFF-007,Review returned decision with scoped correction,Reviewer,"app/(app)/reviews/[id]/actions.ts (reviews insert, decision=returned)",updates reviews + inspections.status=returned_for_correction,Inspector correction workspace,Inspector,app/(app)/field/inspection/[id]/page.tsx + Workspace.tsx (scoped to returned sections only),audit_events + notifications to the original inspector,cd-030-version-comparison.spec.ts
HANDOFF-008,Review approved decision,Reviewer,"app/(app)/reviews/[id]/actions.ts (reviews insert, decision=approved)",updates inspections.status=approved + submission_versions final,"Factory 360 compliance history, Dashboard KPI, Committee dossier (if applicable)",All personas viewing Factory 360 / Dashboard / Committee,"app/(app)/factories/[id]/page.tsx, app/(app)/factories/cr/[id]/page.tsx, app/(app)/dashboard/page.tsx, app/(app)/committee/page.tsx",audit_events + notifications to factory owner/planner + dashboard KPI recompute on next read,cd-031-factory-360.spec.ts
HANDOFF-009,Review rejected decision,Reviewer,"app/(app)/reviews/[id]/actions.ts (reviews insert, decision=rejected)",updates inspections.status=rejected,Enforcement module (case candidate) + Dashboard,Enforcement officer,app/(app)/cases/page.tsx + app/(app)/enforcement/page.tsx,audit_events + notifications to planner/inspector,cd-006-011-backend-completion.spec.ts
HANDOFF-010,Factory-data discrepancy proposal during Factory Verification step,Inspector,app/(app)/field/inspection/[id]/FactoryVerification.tsx -> inspection_factory_checks insert (status=updated),inserts inspection_factory_checks row (never mutates factories directly per FND-007/M04-112),Post-approval correction queue (Form/Master-data administrator review),Form administrator,app/(app)/admin/integrations/factory-data/page.tsx + actions.ts,audit_events + notifications to form-admin queue,factory360-cr-dossier-contract.spec.ts
