Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Visit Planning-Planning,2,Visit Creation,MVP1-M01-001,AC-0001,[audit] planning/page.tsx selects Bulk/Single/Immediate and loads each workflow route.,NEEDS_REVIEW,"Source criterion requires role-based restriction (""only the planning methods permitted by their role""); ledger note confirms method selection and route loading but does not confirm role-based filtering of which methods are shown."
Visit Planning-Planning,3,Bulk Planning,MVP1-M01-002,AC-0002,"[audit] Bulk: criteria->search->select->configure->publish; plan+visit IDs, assign, notify, audit trigger.",MATCH,"Ledger note confirms publish creates individual visits for all selected factories with assignment, notification and audit."
Visit Planning-Planning,4,Planning Criteria Builder,MVP1-M01-003,AC-0003,[audit] CriteriaBuilder add/remove rows + AND/OR toggle; server evaluates over factory set.,MATCH,"Add/remove criteria rows with server-side evaluation supports ""one or multiple search criteria without limitation."""
Visit Planning-Planning,5,Target Factory Identification,MVP1-M01-004,AC-0004,"[audit] Server fetches all factories, evaluates conditions, returns every match (M01-004).",MATCH,Ledger note directly confirms retrieval of every matching factory.
Visit Planning-Planning,6,Target Factory Selection,MVP1-M01-005,AC-0005,"[audit] Checkbox multi-select tracked in state and feeds plan (no select-all, minor).",MATCH,"Selection state feeding the plan supports ""only selected factories proceed""; noted select-all gap is a minor UX item, not a contradiction of the criterion."
Visit Planning-Planning,7,Visit Configuration,MVP1-M01-006,AC-0006,[audit] Visit type/window/package fields; mandatory validation in bulk action blockers.,MATCH,"Configuration fields with mandatory validation match ""planner successfully configures the Visit Plan."""
Visit Planning-Planning,8,Automatic Inspector Assignment,MVP1-M01-007,AC-0007,[audit] Auto round-robin assignment over inspector pool (ENG-05).,NEEDS_REVIEW,"Source criterion requires ""every Visit has an assigned inspector before publishing""; ledger note describes the round-robin mechanism but does not confirm a publish-time gate enforcing 100% assignment coverage."
Visit Planning-Planning,9,Manual Inspector Assignment,MVP1-M01-008,AC-0008,[audit] Per-row manual inspector picks; availability/double-booking validated server-side.,MATCH,Manual per-row assignment with server validation matches criterion.
Visit Planning-Planning,10,Review Visit Plan,MVP1-M01-009,AC-0009,[audit] Deterministic campaign summary + server validation before publish.,MATCH,"Review-before-publish validation matches ""planner reviews the complete Visit Plan before publishing."""
Visit Planning-Planning,11,Publish Visit Plan,MVP1-M01-010,AC-0010,"[audit] Publish creates plan+visits atomically, assigns, notifies, audit via trigger.",MATCH,"Atomic creation, assignment and notification match ""Individual Visits are successfully generated, assigned and available to inspectors."""
Visit Planning-Planning,12,Select Planning Method,MVP1-M01-011,AC-0011,"[audit] Planning home offers three methods, loads chosen workspace (M01-011).",MATCH,"Matches ""selected planning workflow opens successfully."""
Visit Planning-Planning,13,Build Planning Criteria,MVP1-M01-012,AC-0012,[audit] Criteria builder AND/OR filters parsed+validated server-side.,MATCH,"Matches ""planner can create valid search criteria."""
Visit Planning-Planning,14,Retrieve Target Factories,MVP1-M01-013,AC-0013,"[audit] Apply submits GET; server executes search, returns matching factories.",MATCH,"Matches ""matching factories displayed."""
Visit Planning-Planning,15,Review Target Factories,MVP1-M01-014,AC-0014,"[audit] Factory info displayed + criteria filter (fixed risk sort; no profile link, minor).",MATCH,Core review capability present; self-noted gaps (sort/profile link) are minor and do not contradict the criterion.
Visit Planning-Planning,16,Select Target Factories,MVP1-M01-015,AC-0015,[audit] Individual/multi checkbox selection stored in state.,MATCH,"Matches ""selected factories are saved."""
Visit Planning-Planning,17,AI Planning Summary,MVP1-M01-016,AC-0016,[audit] Deterministic campaign summary present; AI summary MVP2 by contract.,NEEDS_REVIEW,"Source capability is explicitly ""AI Planning Summary"" but the ledger note confirms only a non-AI deterministic summary is implemented, with the AI portion deferred to MVP2; acceptance is nonetheless marked implemented. Consistent with the contract's Phase-2-AI-note allowance, but the parent capability's AI element is unverified as of MVP1."
Visit Planning-Planning,18,Configure Visit Details,MVP1-M01-017,AC-0017,[audit] Visit type/window/package config with mandatory validation.,MATCH,"Matches ""configuration saved successfully."""
Visit Planning-Planning,19,Auto Assignment,MVP1-M01-018,AC-0018,[audit] Auto-assign round-robin over eligible pool.,MATCH,"Matches ""inspectors assigned successfully."""
Visit Planning-Planning,20,Manual Assignment,MVP1-M01-019,AC-0019,[audit] Manual pick validated for availability/double-booking.,MATCH,"Matches ""manual assignment completed successfully."""
Visit Planning-Planning,21,Review & Publish,MVP1-M01-020,AC-0020,"[audit] Review+confirm: duplicate check, create plan/visits, notify, audit.",MATCH,"Matches ""Visit Plan successfully published."""
Visit Planning-Planning,22,Select Planning Method,MVP1-M01-021,AC-0021,[audit] Bulk workspace loads (page.tsx + BulkForm).,MATCH,"Matches ""Bulk Planning workspace opens successfully."""
Visit Planning-Planning,23,Build Planning Criteria,MVP1-M01-022,AC-0022,[audit] Add/remove/combine filter conditions AND/OR; validated server-side.,MATCH,"Matches ""planner can successfully define one or more planning criteria."""
Visit Planning-Planning,24,Search Target Factories,MVP1-M01-023,AC-0023,[audit] Search executes and retrieves all matching factories.,MATCH,"Matches ""matching factories are displayed successfully."""
Visit Planning-Planning,25,Review Target Factories,MVP1-M01-024,AC-0024,"[audit] Factory details displayed + filter (no user sort/profile link, minor).",MATCH,Core review capability present; self-noted minor gaps do not contradict the criterion.
Visit Planning-Planning,26,Select Target Factories,MVP1-M01-025,AC-0025,"[audit] Select/unselect multi stored (no select-all control, minor).",MATCH,"Matches ""only selected factories are included in the Visit Plan."""
Visit Planning-Planning,27,AI Planning Summary,MVP1-M01-026,AC-0026,[audit] Deterministic campaign summary present; AI recommendations MVP2 by contract.,NEEDS_REVIEW,"Same AI-deferral gap as AC-0016: source capability names AI summary/recommendations, ledger confirms only deterministic summary implemented with AI portion deferred to MVP2, while status is marked implemented."
