conflict_id,domain,business_authority,current_state,canonical_resolution,priority
PLN-CON-001,Planning landing,Detailed spec says nav opens Planning Visit List,/planning currently opens method cards,Make /planning canonical list + Create Visit method drawer/section; preserve /visits alias and existing routes,P0
PLN-CON-002,Roles,Business asks Admin/Inspector as explicit roles and no ops role,Routes/RLS depend on planner/ops/reviewer/leadership and six admin roles,Introduce Admin/Inspector flags + default business-staff capabilities; retain legacy role aliases during migration,P0
PLN-CON-003,Package optionality,Package optional in planning; inspector selects later,Planning home and journeys block when package missing; one package only,Allow zero-many package versions; preparation resolves when zero; preserve selected immutable versions,P0
PLN-CON-004,Single target,Must search CR/licence/plant and select licence/plant under multi-licence CR,Current search uses local factory rows and no plant; may continue against CR,Use canonical CR/licence/plant resolver; require plant/licence selection where required,P0
PLN-CON-005,Immediate,Detailed document emphasizes Single/Bulk,Existing BRD/code has Immediate and user forbids deletion,Preserve Immediate as additive exception and upgrade to detailed manual/provenance rules,P0
PLN-CON-006,Bulk criteria,Full 14+ criteria/operators/AND-OR groups,Current 4 fields and is/is-not only,Expand typed criteria dictionary/evaluator/query plan; keep nested tree security caps,P0
PLN-CON-007,Bulk invalid rows,One invalid target must not block valid targets,Current publish narrative emphasizes all-or-nothing,Partition eligible/ineligible before publish; atomically commit sponsor-confirmed eligible subset,P0
PLN-CON-008,Drafts,Server-persisted resumable drafts required,Bulk selection is sessionStorage; home says resume unavailable,"Persist criteria, selection, config, assignment and validation as visit_plan draft with autosave/version",P0
PLN-CON-009,Assignment,Region/workload/availability recommendation and bulk distribution,Current first-available and preview overlap; skills/capacity not evaluated; auto conflict gap,Implement deterministic engine and in-transaction concurrency/overlap guard; named unavailable evidence,P0
PLN-CON-010,Configuration,Visit type/mode/priority/zero-many package/attachments/etc,Bulk fixed periodic/physical/one package; priority incomplete,Admin lookups + complete shared configuration model,P0
PLN-CON-011,Return data,Dedicated reason/comments/history,Reason encoded in notes prefix in detail,Normalize return cycles while backfilling legacy display,P0
PLN-CON-012,Expiry,Multiple configurable expiry rules/reasons,One fixed scheduled condition,Versioned expiry rules and scheduled evaluator; preserve current cron foundation,P0
PLN-CON-013,Admin access,Admin must manage statuses/roles/lookups,Access page read-only; workflow JSON-oriented,Build audited grant/revoke and Planning control-plane forms over existing engines,P0
PLN-CON-014,Planning list,Full columns/search/filter/export/session continuity,/visits is partial and client-limited,"Canonical server-side list query, full filters, export and state persistence",P0
PLN-CON-015,Manual factory,"Mandatory eligibility, reason, region/city/pin/contact conditions",Immediate manual fields are more permissive and no full attachment/reason contract,Implement eligibility engine and complete manual fields,P0
PLN-CON-016,Location,Original/current/source/actor/history required,Current pins exist but full history contract must be confirmed,Add visit-location versions/provenance; never overwrite master,P0
PLN-CON-017,Visible statuses,User tabs Draft/Published/Returned/Cancelled/Expired,Internal validated state exists,Retain internal validated; map to documented user statuses,P1
PLN-CON-018,Draft delete/cancel,Source contains both delete and cancel wording,Potential semantic ambiguity,"Discard/soft-delete incomplete draft; Cancel only durable lifecycle decision, both audited",P1
PLN-CON-019,Provider fields,Employee/workforce/contact filters expected,Industry Shared contracts incomplete,Disable/surface contract-not-supplied; never fake zero or silently ignore,P0
PLN-CON-020,Dashboard counts,Planning contributes to dashboard and downstream,Potential duplicate page-specific counts,One canonical view/query contract for list/KPIs/dashboard/operations,P0
