research_id,primary_source,source_section,accessed_date,adopted_principle,rejected_treatment,saqeel_decision,affected_artifact,provenance_note
R01,Saqeel product contract (internal authority),MVP1-M09 gateway set + screen_route_catalogue SCR-ADM-001,2026-07-14,the home is an overview/gateway that must not complete later CDs' behavior,embedding module lifecycle actions on the home,link-only doors; module-owned actions (CD004-QG-07),r2e link band + spine action column,binding internal authority
R02,Saqeel DEC-011 + apps/web/src/app/tokens.css,Arabic-first decision + semantic tokens + accessibility baseline,2026-07-14,Arabic-first full-document RTL; all values through semantic tokens; 44x44 CSS px primary-target baseline,raw values; cosmetic mirroring; undocumented small targets,44x44 is a Saqeel design-system choice under this authority (NOT WCAG 2.5.8 — see R18),all frames + a11y spec,binding internal authority
R09,Esri ArcGIS Dashboards documentation,coordinated operational context across elements,2026-07-14,one shared read context (single page timestamp governing all sources) instead of per-widget clocks,auto-refreshing map-led dashboard chrome,single read-timestamp fact in the header; explicit manual refresh,r2e/r2g header + state 6,principle only
R11,SAP Fiori design guidelines,overview page floorplan + role orientation,2026-07-14,role-oriented overview: what the signed-in role can act on leads the composition,launchpad tile walls (equal cards),role-scope band; role-filtered doors without unauthorized affordances,r2e scope band + r2m matrix,principle only
R12,IBM Carbon Design System,data table + status indicator discipline,2026-07-14,dense governed rows as true tables; status = icon + word never color alone,color-only tags; skeleton shimmer by default,semantic table spine with th scopes; glyph+word lozenges; static loading placeholders,spine + a11y spec 3/9/13,principle only
R16,Saudi Digital Government Authority,web accessibility guidance (disabilities and elderly),2026-07-14,government services operable in Arabic with assistive tech,treating RTL as a visual flip,document-level lang/dir + bdi-isolated identifiers verified at 1440 and 1024,r2e/r2f/r2i,policy authority (supports DEC-011; does not replace it)
R18,W3C WCAG 2.2,2.4.3 Focus Order; 4.1.3 Status Messages; 2.5.8 Target Size (Minimum),2026-07-14,DOM order = meaning order; status without focus theft; CORRECTED: 2.5.8 establishes a 24x24 minimum only,roving-tabindex grid; assertive-per-card; citing 2.5.8 as a 44px rule,linear traversal + singleton live regions; 44x44 retained as the Saqeel baseline per R02,a11y spec 5/7/8/10,normative; citation corrected in R2B
R19,W3C WAI-ARIA Authoring Practices Guide,table pattern; landmark regions,2026-07-14,use a plain table role for static tabular data; grid only for composite widgets; landmark + skip-link structure,role=grid without composite keyboard navigation,spine is a true table with caption and th scopes; skip link -> main,a11y spec 1/3,normative practice
S01,GOV.UK Design System (supplementary),task list; error summary,2026-07-14,per-item status with one entry point; failure named with a path,sequential numbering; page-level error for one read,spine rows; per-source unavailable + retry,r2e spine + r2l,supplementary — not a binding source ID
S02,PostgreSQL documentation (supplementary),client result semantics,2026-07-14,a resolved call still carries per-result error state,treating resolution as success,per-source result modelling requirement,truth memo + wiring,supplementary
S03,Nielsen Norman Group (supplementary),dashboard design research,2026-07-14,hierarchy follows the decision not the data,equal KPI card walls; traffic-light verdicts,evidence spine over cards; no health verdicts,r2d comparison,supplementary
