Layer,Canonical MVP1/MVP2 foundation,MVP3 additive capability,Coexistence rule,Runtime evidence,Disposition
Identity and access,"Supabase Auth, verified claims, persona routing, RLS and canonical role vocabulary","Security/access review and purpose-bound evidence grants","MVP3 never replaces authentication or broadens an MVP1/MVP2 grant; database RLS remains authoritative","Five authenticated personas in the protected browser run; 13/13 MVP3 tables RLS-enabled; zero anonymous grants",PASS
Workflow and lifecycle,"Published workflow versions, guards, SLA, notifications and immutable in-flight bindings","Enterprise workflow governance reuses the same version and transition contracts","No second workflow engine and no mutation of an in-flight MVP1/MVP2 inspection","Full protected regression 510 passed; workflow source/runtime contracts included",PASS
Regulations forms and packages,"Regulation lineage, form/package composer and immutable published versions","Inspection package manifest, content hash and device-open audit","MVP3 compiles from canonical published artifacts and cannot silently replace them","Rollback-only live RPC probe plus package/browser contracts",PASS
Planning risk and GIS,"Factory/visit identities, planning, risk versions, coordinates, geofence and Mapbox provider boundary","Explainability, enterprise governance and trusted-device field provenance","MVP3 adds governance and provenance; it does not fork visit, factory, risk or map truth","M04 focused runtime 8/8; full regression; Mapbox credential remains fail-closed",PASS_WITH_PROVIDER_HOLD
Field offline and devices,"Inspection execution, IndexedDB/offline queue, evidence, arrival and sync","Trusted-device inventory, governed commands and device/package access events","Existing field route and offline queue are preserved; device controls are additive and auditable","Online ETA, cached stale ETA, device metadata and inspector/Operations override journey pass",PASS_WITH_MDM_HOLD
Review audit and replay,"Canonical inspection versions, findings, evidence, decisions and append-only semantic events","Enterprise audit replay and access-event coverage","MVP3 consumes the existing event spine and adds append-only records only","Live rollback probe passes all seven MVP3 RPCs with zero residual rows",PASS
Enforcement and external portal,"Violation, correction, objection, case and portal records","Consolidated enforcement board and refusal context","No duplicate case or party identity; external identity remains a configured boundary","Protected browser regression and negative-role contracts pass",PASS_WITH_IDENTITY_HOLD
Analytics and operations,"Source-backed dashboard metrics, freshness and drill-through","Versioned KPI definitions, feature flags, error queue and operations controls","Definitions are additive and cannot rewrite historical source facts","Full browser regression; live maker/checker and RLS inventory",PASS
AI assistance,"Suggestion-only docket with evidence references and human disposition","Enterprise AI policy seam","AI never decides, publishes or fabricates legal evidence; deterministic workflow remains usable when absent","Evidence-reference and reject/fail-closed browser tests pass",PASS_WITH_AI_HOLD
Committee signature and licensing,"Decision dossier, committee and canonical inspection/case lineage","Immutable signature refusal and trust-provider seam","Unsigned/refused state stays auditable; verified signature is never claimed without provider proof","Dossier/refusal contracts pass; trust provider remains disabled",PASS_WITH_SIGNATURE_HOLD
Platform database,"Existing public schema, migrations and RLS policies","13 additive mvp3_* tables, 9 functions and 6 triggers","Forward-only additions; no destructive rewrite of MVP1/MVP2 records","13/13 RLS tables; 25 policies; 0 anon grants; migration ledger repaired",PASS
Release regression,"MVP1 and MVP2 protected journeys","MVP3 routes, actions, Arabic/RTL, responsive and negative controls","One production build and one shared regression inventory across all three MVPs","Typecheck PASS; build PASS; 510 passed, 9 intentional skips, 0 failed",PASS
