route,route_type,phase_scope,owner_package,requirement_ids,design_authority,acceptance_ids,dependencies,page_or_handler_file,layout_file,loading_file,error_file,not_found_file,navigation_entry,breadcrumb,persona_permission_guard,server_actions_services,supabase_tables_views,supabase_rpcs,workflow_audit_versioning,required_states_observed,mock_hardcoded_degraded_review,tests,evidence_status
/api/field/factory-360/snapshot,API,PHASE2_IPAD_DEFERRED,PHASE2,CR-099..CR-336,PHASE2_DEFERRED_NO_DESIGN_AUTHORITY,PHASE2_DEFERRED_NO_PHASE1_ACCEPTANCE,@/lib/factory360/dossier;@/lib/factory360/offline-snapshot;@/lib/factory360/permissions;@/lib/supabase-server,apps/web/src/app/api/field/factory-360/snapshot/route.ts,apps/web/src/app/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,ROUTE_LOCAL_OR_PUBLIC,@/lib/factory360/dossier;@/lib/factory360/offline-snapshot;@/lib/factory360/permissions;@/lib/supabase-server,,,VERSION,error,NO_STATIC_MARKER,apps/web/e2e/factory360-ipad-field.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/api/routing/eta,API,PHASE1_WEB_ADMIN,M3,CR-430..CR-448,SAQEEL Operations Center.dc.html;SAQEEL Operations Live.dc.html,WA-M3-AC-001..006,@/lib/supabase-server,apps/web/src/app/api/routing/eta/route.ts,apps/web/src/app/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,ROUTE_LOCAL_OR_PUBLIC,@/lib/supabase-server,,,,error;unauthorized,REVIEW_REQUIRED,apps/web/e2e/mvp2-mapbox-live.spec.ts;apps/web/e2e/remaining-requirements-backend.spec.ts;apps/web/e2e/mapbox-provider.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/api/shell/search,API,PHASE1_WEB_ADMIN,F0,CR-001..CR-478,SAQEEL Design System.dc.html;SAQEEL States System.dc.html,WA-F0-AC-001..006,@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/api/shell/search/route.ts,apps/web/src/app/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,ROUTE_LOCAL_OR_PUBLIC,@/lib/supabase-server;@/lib/verified-user,commercial_registrations;factories;industrial_licenses;inspections;visits,shell_global_search,,error;degraded,REVIEW_REQUIRED,apps/web/e2e/performance-pass4-contract.spec.ts;apps/web/e2e/compliance-shared-shell.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/,PAGE,PHASE1_WEB_ADMIN,M11,CR-337..CR-356,SAQEEL Login.dc.html;SAQEEL Auth States.dc.html;SAQEEL Portal.dc.html;SAQEEL Profile.dc.html;SAQEEL Virtual.dc.html;SAQEEL Feedback.dc.html,WA-M11-AC-001..006,@/components/PwaRegister;@/components/ThemeScript;@/lib/i18n;@/lib/notify;@/lib/providers/notification-stubs,apps/web/src/app/page.tsx,apps/web/src/app/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,ops,@/components/PwaRegister;@/components/ThemeScript;@/lib/i18n;@/lib/notify;@/lib/providers/notification-stubs,,,,empty,REVIEW_REQUIRED,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin,PAGE,PHASE1_WEB_ADMIN,M9,CR-001..CR-478,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,WA-M9-AC-001..006,@/components/Shell;@/lib/i18n;@/lib/shell-navigation;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/page.tsx,apps/web/src/app/(app)/layout.tsx,,,,DIRECT,TO_VERIFY_IN_RUNTIME,AUTHENTICATED_ROUTE_GROUP,@/components/Shell;@/lib/i18n;@/lib/shell-navigation;@/lib/supabase-server;@/lib/verified-user,audit_events;engine_settings;inspection_items;package_versions;regulations;user_roles;violation_codes,mvp3_decide_access_review;mvp3_issue_device_command;mvp3_publish_feature_flag;mvp3_request_error_retry,WORKFLOW;AUDIT;VERSION;IMMUTABLE,empty;error,REVIEW_REQUIRED,apps/web/e2e/platform-design-system-contract.spec.ts;apps/web/e2e/cd-006-011-backend-completion.spec.ts;apps/web/e2e/ui-compliance-runtime.spec.ts;apps/web/e2e/cd-045-downstream-contract.spec.ts;apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/persona-tours.spec.ts;apps/web/e2e/cd-044-admin-planning.spec.ts;apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/cd-008-009-packages.spec.ts;apps/web/e2e/shell-navigation.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/golden-journey.spec.ts;apps/web/e2e/cd-005-006-regulations.spec.ts;apps/web/e2e/cd-007-items.spec.ts;apps/web/e2e/execution-access-contract.spec.ts;apps/web/e2e/compliance-library-evidence.spec.ts;apps/web/e2e/cd-003-launch.spec.ts;apps/web/e2e/mvp2-m2-05-audit-replay.spec.ts;apps/web/e2e/cd-010-011-violations.spec.ts;apps/web/e2e/mapbox-provider.spec.ts;apps/web/e2e/mvp2-modules-live.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts;apps/web/e2e/mvp2-modules-rls-negative.spec.ts;apps/web/e2e/execution-admin-contract.spec.ts;apps/web/e2e/mvp2-m2-05-contract.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts;apps/web/e2e/personas.ts;apps/web/e2e/ipad-gps-policy.spec.ts;apps/web/e2e/cd-006-admin-backend-foundation.spec.ts;apps/web/e2e/cd-006-regulation-publish-provenance.spec.ts;apps/web/e2e/factory360-admin-control-plane.spec.ts;apps/web/e2e/neutral-error-sweep.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/access,PAGE,PHASE1_WEB_ADMIN,M8,CR-001..CR-478,SAQEEL Users Roles.dc.html;SAQEEL Admin Role Override.dc.html,WA-M8-AC-001..006,@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/access/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/access/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,security_admin,@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,capabilities;permissions;profiles;role_capabilities;role_permissions;roles;user_capability_grants;user_roles,has_planning_capability;has_role,AUDIT,loading;error,NO_STATIC_MARKER,apps/web/e2e/cd-044-admin-planning.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/execution-access-contract.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/audit,PAGE,PHASE1_WEB_ADMIN,M9,CR-001..CR-478,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,WA-M9-AC-001..006,@/components/RouteLoading;@/components/Shell;@/lib/audit-replay;@/lib/i18n;@/lib/persona;@/lib/supabase-server,apps/web/src/app/(app)/admin/audit/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/audit/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,compliance_admin;leadership;ops;planner;reviewer;security_admin,@/components/RouteLoading;@/components/Shell;@/lib/audit-replay;@/lib/i18n;@/lib/persona;@/lib/supabase-server,audit_event_ontology_entries;audit_event_ontology_versions;audit_event_order_constraints;audit_event_registry;audit_events;audit_semantic_events,audit_replay_case,WORKFLOW;AUDIT;VERSION;IMMUTABLE,loading;empty;error;degraded;unauthorized;conflict,REVIEW_REQUIRED,apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/mvp2-m2-05-audit-replay.spec.ts;apps/web/e2e/mvp2-m2-05-contract.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/bulk-violations,PAGE,PHASE1_WEB_ADMIN,M6,CR-449..CR-478,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,WA-M6-AC-001..006,@/components/EmptyState;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/bulk-violations/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/bulk-violations/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,compliance_admin;ops,@/components/EmptyState;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/supabase-server;@/lib/verified-user,factories;user_roles;violation_codes,issue_bulk_violation,AUDIT;VERSION,loading;empty;error;unauthorized,REVIEW_REQUIRED,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/compliance-approvals,PAGE,PHASE1_WEB_ADMIN,M6,CR-449..CR-478,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,WA-M6-AC-001..006,@/components/AdminRouteBoundary;@/components/Shell;@/lib/supabase-server,apps/web/src/app/(app)/admin/compliance-approvals/page.tsx,apps/web/src/app/(app)/admin/compliance-approvals/layout.tsx,apps/web/src/app/(app)/admin/compliance-approvals/loading.tsx,apps/web/src/app/(app)/admin/compliance-approvals/error.tsx,,DIRECT,TO_VERIFY_IN_RUNTIME,compliance_admin;reviewer,@/components/AdminRouteBoundary;@/components/Shell;@/lib/supabase-server,compliance_configuration_requests;compliance_request_component_dependencies;compliance_request_components,,,loading;error,REVIEW_REQUIRED,apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/shell-navigation.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/compliance-requests,PAGE,PHASE1_WEB_ADMIN,M6,CR-449..CR-478,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,WA-M6-AC-001..006,@/components/AdminRouteBoundary;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/notify;@/lib/supabase-server,apps/web/src/app/(app)/admin/compliance-requests/page.tsx,apps/web/src/app/(app)/admin/compliance-requests/layout.tsx,apps/web/src/app/(app)/admin/compliance-requests/loading.tsx,apps/web/src/app/(app)/admin/compliance-requests/error.tsx,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,compliance_admin;form_admin;reviewer,@/components/AdminRouteBoundary;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/notify;@/lib/supabase-server,compliance_configuration_requests;notification_rules;user_roles,create_compliance_request,VERSION;IMMUTABLE,loading;empty;error,REVIEW_REQUIRED,apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
