requirement_id,screen_id,score,tier,classification,module,had_module_signal
REQ-R0C-00001,SCR-WEB-100,10,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00002,SCR-WEB-100,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00003,SCR-WEB-100,14,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00004,SCR-WEB-100,8,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00005,SCR-WEB-110,18,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00006,SCR-WEB-130,14,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00007,SCR-WEB-120,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00008,SCR-WEB-150,11,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00009,SCR-WEB-120,14,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00010,SCR-WEB-150,10,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00011,SCR-WEB-110,8,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00012,SCR-WEB-110,12,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00013,SCR-WEB-200,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00014,SCR-WEB-110,13,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00015,SCR-WEB-110,4,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00016,SCR-WEB-110,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00017,SCR-WEB-110,10,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00018,SCR-WEB-120,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00019,SCR-WEB-110,3,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00020,SCR-WEB-140,16,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00021,SCR-WEB-210,3,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00022,SCR-WEB-140,12,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00023,SCR-WEB-140,16,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00024,SCR-WEB-140,8,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00025,SCR-WEB-140,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00026,SCR-WEB-140,6,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00027,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00028,SCR-WEB-130,3,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00030,SCR-WEB-140,8,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00031,SCR-WEB-130,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00033,SCR-WEB-120,9,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00034,SCR-WEB-130,13,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00035,SCR-WEB-120,8,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00036,SCR-WEB-110,8,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00037,SCR-WEB-100,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00038,SCR-WEB-100,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00039,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00040,SCR-WEB-110,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00041,SCR-WEB-110,11,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00043,SCR-WEB-110,4,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00044,SCR-WEB-110,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00045,SCR-WEB-210,8,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00046,SCR-WEB-120,6,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00047,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00048,SCR-WEB-110,6,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00049,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00050,SCR-WEB-110,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00051,SCR-WEB-150,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00052,SCR-WEB-140,16,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00053,SCR-WEB-210,3,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00054,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00055,SCR-WEB-130,9,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00056,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00057,SCR-WEB-140,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00058,SCR-WEB-130,14,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00059,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00060,SCR-WEB-110,12,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00061,SCR-WEB-100,10,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00062,SCR-WEB-100,11,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00063,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00064,SCR-WEB-200,4,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00065,SCR-WEB-200,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00066,SCR-WEB-110,13,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00067,SCR-WEB-120,6,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00068,SCR-WEB-110,6,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00069,SCR-WEB-110,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00070,SCR-WEB-210,10,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00071,SCR-WEB-210,7,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00072,SCR-WEB-150,8,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00073,SCR-WEB-110,6,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00074,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00075,SCR-WEB-100,8,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00076,SCR-WEB-150,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00077,SCR-WEB-150,6,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00078,SCR-WEB-140,16,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00079,SCR-WEB-130,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00080,SCR-WEB-140,12,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00081,SCR-WEB-140,20,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00082,SCR-WEB-140,8,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00083,SCR-WEB-120,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00084,SCR-WEB-120,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00085,SCR-WEB-150,6,STRONG,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00086,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00087,SCR-WEB-140,6,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00088,SCR-WEB-140,8,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00089,SCR-WEB-140,14,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00090,SCR-WEB-150,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00092,SCR-WEB-130,13,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00093,SCR-WEB-150,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00094,SCR-WEB-150,10,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00095,SCR-WEB-210,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00096,SCR-WEB-150,6,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00097,SCR-WEB-210,12,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00098,SCR-WEB-140,16,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00099,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00100,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00101,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00102,SCR-WEB-150,4,WEAK,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00103,SCR-WEB-100,10,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00104,SCR-WEB-100,10,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00105,SCR-WEB-120,20,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00106,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00107,SCR-WEB-110,4,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00108,SCR-WEB-110,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00110,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00111,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00112,SCR-WEB-120,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00113,SCR-WEB-210,7,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00114,SCR-WEB-120,6,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00115,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00116,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00117,SCR-WEB-130,5,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00118,SCR-WEB-130,2,WEAK,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00119,SCR-WEB-140,16,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00120,SCR-WEB-210,3,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00121,SCR-WEB-140,12,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00122,SCR-WEB-210,3,WEAK,ACCEPTANCE_CRITERION,"visit planning-planning",True
REQ-R0C-00123,SCR-WEB-140,16,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00124,SCR-WEB-140,10,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00125,SCR-WEB-130,3,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00126,SCR-WEB-120,10,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00127,SCR-WEB-140,20,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00128,SCR-WEB-100,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00129,SCR-WEB-150,2,WEAK,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00130,SCR-WEB-120,10,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00131,SCR-WEB-120,14,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00132,SCR-WEB-130,12,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00133,SCR-WEB-130,12,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00134,SCR-WEB-130,16,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00135,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00136,SCR-WEB-120,6,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00137,SCR-WEB-120,8,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00139,SCR-WEB-120,6,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00140,SCR-WEB-120,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
