gap_id,domain,required_capability,documented_endpoint,provider_status,error_code,user_message,fallback,owner,status
F360-GAP-001,government_incentives,Approved/expired incentives and history,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-002,government_services,Approved/expired services and history,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-003,chemical_permits,Chemical permits and expired history,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-004,customs_exemptions,Customs exemptions and expired history,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-005,land_provider_history,Latest land provider plus history,Partial: Task Show has current land_provider only,CONTRACT_PARTIAL,SENAEI_API_CONTRACT_AMBIGUOUS,This integration is unavailable until the source contract ambiguity is resolved.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-006,document_retrieval,Authorized document metadata/preview/download,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-007,image_retrieval,Official/profile image retrieval,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-008,risk_history,Provider-backed risk history/factors,No Senaei endpoint; use existing Risk Engine only,EXTERNAL_CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-009,factory_portfolio_search,CR/license/plant portfolio search,No,CONTRACT_NOT_SUPPLIED,SENAEI_API_CONTRACT_NOT_SUPPLIED,This information is currently unavailable because the source contract has not been supplied.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-010,authentication,Resolve collection API-key metadata versus endpoint bearer auth,Conflicting,CONTRACT_AMBIGUOUS,SENAEI_API_CONTRACT_AMBIGUOUS,This integration is unavailable until the source contract ambiguity is resolved.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-011,base_url,Resolve multiple documented base URLs,Conflicting,CONTRACT_AMBIGUOUS,SENAEI_API_CONTRACT_AMBIGUOUS,This integration is unavailable until the source contract ambiguity is resolved.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-012,production_line_method,Resolve GET contract versus saved POST example,Conflicting,CONTRACT_AMBIGUOUS,SENAEI_API_CONTRACT_AMBIGUOUS,This integration is unavailable until the source contract ambiguity is resolved.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-013,external_field_names,Map typo-bearing and over-redacted external names,Partial,CONTRACT_AMBIGUOUS,SENAEI_API_CONTRACT_AMBIGUOUS,This integration is unavailable until the source contract ambiguity is resolved.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
F360-GAP-014,nullability,Govern nullable fields beyond example-derived NoneType,Partial,CONTRACT_AMBIGUOUS,SENAEI_API_CONTRACT_AMBIGUOUS,This integration is unavailable until the source contract ambiguity is resolved.,Controlled unavailable state; no guessed endpoint or value,Integration owner / Sponsor,BLOCKED_EXTERNAL
