ext_finding_id,summary,severity,supporting_evidence,existing_decision_id,relationship,decision_status,decision_owner,g5_gate_condition,affected_channel,affected_personas,affected_storyboards,related_requirement_ids,production_impact,closure_condition,recommended_action,blocks
EXT-01,Certification truth inconsistent (FINAL_CERTIFICATION.md vs D9_FINAL_AUDIT.md vs status board),P0,"FINAL_CERTIFICATION.md and design/astryx/d9/D9_FINAL_AUDIT.md both present but not diffed; STORYBOARD_STATUS.md shows same coverage-vs-acceptance split (72 green / 421 blue of 493)",none,New,n/a,n/a,G5/G8 evidence,Shared,All 8 human personas,SB01/SB19/SB20 (umbrella),atomic_scope.csv (not individually walked),Misleads stakeholders on release readiness,One generated release dashboard from evidence ledger; no manual completion assertions,NewDecision,"G5,DayZero,Release"
EXT-02,No automated test/release-assurance system exists in application source,P0,"apps/web/package.json scripts = dev/build/start/typecheck only; no test/spec files found",DEC-010,AddlEvidence,Open,Architecture/Operations,G5/G8,Shared/backend,All,SB01/SB19/SB20,n/a,No regression safety net before production,CI-wired test suite mapped to acceptance IDs exists and runs green,Expand,"G5,Release"
EXT-03,Runtime routes do not match 38-route canonical contract,P1,"29 page.tsx directories found under apps/web/src/app vs 38 rows in screen_route_catalogue.csv",none,PartialDup,n/a (tracked in STORYBOARD_STATUS.md blue rows),n/a,G5/G6,All 4 channels,All,SB01/SB19/SB20,screen_route_catalogue.csv rows,Route/screen parity unverified for release claims,Approved route-equivalence map or missing routes implemented,NewDecision,DayZero
EXT-04,Storyboard authority split; business/investor pack missing page 04; MVP2 concepts leaked into pages 08-09,P0,"MVP1_Business_User_Storyboard_Pack_Current.zip located in MIM_Inspection_MVP1_Historical_Archives_v3/ but not extracted/inspected this pass",none,Unverifiable,n/a,n/a,G5,Shared,All,SB01-SB20 authority question,n/a,External stakeholders may see unreconciled/incorrect scope,Zip extracted and reconciled against SB01-SB20 as sole test authority,Unverifiable,"DayZero,Commercial"
EXT-05,Persona/role authority unresolved (8 vs 10 vs 11/12 vs 14 counts across documents),P0,"personas.yaml: 8 human + 12 system (ENG-01..12); rbac_matrix.csv: 14 RBAC rows across ~13 roles. BRD/role-reference documents cited by external assessment not located in this repo pass.",none,PartialDup/AddlEvidence,n/a,n/a,G5,Shared,All 8 human personas,SB02 (Persona Atlas),rbac_matrix.csv RBAC-001..014,Test-account/segregation-of-duty gaps if unreconciled,Single frozen role/persona/data-scope model confirmed against BRD,AddlEvidence,G5
EXT-06,Every login routes to Admin; navigation not role-aware; no sign-out handler,P0,"apps/web/src/app/launch/page.tsx implements real role router (inspector->/field, reviewer->/reviews, planner->/planning, ops/leadership->/operations, fallback /admin); sign-out found in Shell.tsx, FieldTabs.tsx, field/page.tsx; STORYBOARD_STATUS.md confirms /launch verified live (SB02)",none,Conflict,n/a,n/a,G5/G6,Web/iPad/Admin,All 8 human personas,SB02,n/a,None currently reproducible; re-verify all entry points,Live-browser walk of / -> /login -> /launch for every persona confirms full coverage,Reject_pending_reverify,none
EXT-07,Workflow states changed directly without single enforced transition service/guard,P0,"Direct .update({status/planning_status}) calls in visits/[id]/actions.ts:31,40,54,97; admin/regulations/actions.ts:48; planning/bulk/actions.ts:46-47; planning/single/actions.ts:47-48; operations/actions.ts:23; reviews/[id]/actions.ts:26 and page.tsx:32; lib/offline.ts:103. No ENG-03 transition RPC/function found in 14 migrations or src tree.",none,AddlEvidence,n/a,n/a,G5/G8,Shared backend,Planner/Ops/Reviewer/Inspector/System Services,"SB04,SB05,SB10,SB16,SB17",CLAUDE.md hard rule (no direct status mutation),Invalid workflow states; guaranteed audit/notification side effects not enforced,Single transition function/RPC per state machine; all call sites migrated; negative-path test rejects invalid transitions,NewDecision,"G5,Release,Production"
EXT-08,RLS/authorization policies too broad for reviews and virtual participation,P0,"supabase/migrations/0002_rbac_audit.sql:75 reviews_insert: has_any_role(...) OR auth.uid() is not null (any authenticated user can insert reviews); line 81 vp_rw: for all using (auth.uid() is not null) on virtual_participants; line 78 vs_read: any authenticated user can read any virtual_sessions row",none,AddlEvidence,n/a,n/a,G5/G8,Web (reviews)/Virtual,Level 2 Reviewer/Factory Representative,"SB09,SB10",RBAC-011,RBAC-014 in rbac_matrix.csv,Privilege escalation; cross-tenant data exposure,Policies scoped to actual assignment/session participant/role; attack tests pass,NewDecision,"G5,Release,Production"
EXT-09,GPS check-in failure converted into fabricated successful coordinates,P0,"apps/web/src/app/field/[visitId]/Startup.tsx checkIn(): on geolocation null, lat/lng default to official pin +0.0005/+0.0002 deg (~60m), acc defaults to 4.2m (comment: // demo fallback). 4.2m always passes maxAcc default of 25m, defeating the accuracy gate.",DEC-002,AddlEvidence,Open,GIS/Operations,G5 before journey certification,iPad,Inspector,"SB06,SB07,SB14",error_catalogue.csv 'weak GPS'/'outside geofence' rows,Corrupts arrival/location chain-of-custody evidence,Fallback removed; weak-GPS error path triggers instead; governed override (reason+approver+audit) if any override permitted,Expand,"G5,DayZero,Production"
EXT-10,Offline submission displayed as already submitted and immutable before server sync,P0,"apps/web/src/app/field/inspection/[id]/Workspace.tsx submit(): setSubmitted(true) fires synchronously before processOutbox() confirms server ack; immutable banner renders regardless of navigator.onLine. Sub-claim 'hardcoded v1' NOT reproduced -- nextVersion computed dynamically from submission_versions.",none,AddlEvidence(coreclaim)/Conflict(subclaim),n/a,n/a,G5/G8,iPad,Inspector; Level 2 Reviewer (receives false-final version),"SB08,SB16",state_transitions.csv Offline Queue machine,Misrepresents legal/operational submission status,Distinct queued/pending_sync status shown until confirmed server ack; immutable banner only after ack,NewDecision,"G5,DayZero,Production"
