source_file,source_column,observed_sample,candidate_target_table,candidate_target_column,classification,rationale
inspection_flows.csv,id,01kvqs3y91jaa45vqd7np8satk,(none — inspections/visits),external_source_id-style field only,lookup required,ULID (Crockford base32 26-char) — not a UUID; requires a deterministic ULID→UUID crosswalk table (legacy_id → generated uuid) before any FK can be built; never reuse the ULID text as a UUID.
inspection_flows.csv,staff_id,01jk8mzresmtx8s2fbnjn5kj2r,public.profiles,user_id,lookup required,"Same ULID problem; additionally the CSV package contains zero human names anywhere for staff_id/assignee_id/created_by — the ID cannot be mapped to a display name without an external staff directory that was not supplied. Do not fabricate a name and attribute it to this ID."
inspection_flows.csv,assignee_id,"NULL / 01kv3vsb3e22a8v9a1mragpy66",public.assignments,inspector_id,lookup required,Same ULID + missing-name problem as staff_id; also frequently NULL (1 of 3 rows) meaning the flow was never assigned in the source system — must map to an explicit unassigned state, not defaulted to any real inspector.
inspection_flows.csv,license_id,"NULL / 01kr14s8t22vdzs902zbgqhmm9",public.industrial_licenses,id,lookup required,ULID crosswalk required; frequently NULL for the 'regulation' workflow row (administrative-notes flows are not tied to a specific licence) — null must be preserved as a genuine business null, not treated as missing data.
inspection_flows.csv,number,4801072799,public.industrial_licenses or public.visits,license_number / visit_reference,transform,"Looks like a municipal/licence reference number distinct from the ULID id; needs a business decision on whether it maps to license_number, visit_reference, or a new external_reference column — do not overwrite real license_number values with this legacy number."
inspection_flows.csv,cr_number,NULL (all 3 rows),public.commercial_registrations,cr_number,reject,100% null across the sample — no CR linkage is present in this export; cannot be mapped or defaulted.
inspection_flows.csv,workflow,"regulation / visit",lookup required,lookup required,lookup required,Maps conceptually to a report-type/package distinction (administrative regulation flow vs physical visit flow) but there is no canonical enum value confirmed to match 1:1 — needs a business decision mapping table.
inspection_flows.csv,state,"approved / inspected / under_review",public.inspections / public.reviews,status / lifecycle_status,lookup required,"Legacy 'state' and 'status' are two separate columns that appear to carry overlapping but non-identical lifecycle information (e.g. state=inspected but status=pending simultaneously) — status mapping requires an explicit state×status→canonical-status decision table, not a naive rename."
inspection_flows.csv,status,"approved / pending",public.inspections,status,lookup required,See workflow/state note above — this is one of the explicit 'status mapping' investigation items called out in the discovery prompt.
inspection_flows.csv,meta,"large nested JSON: total_loan/reject_reason/return_reason/regulation_data/inspection_data/inspection_items/inspection_regulation_id",multiple target tables,multiple,transform,"This single JSON blob fans out into what would be several canonical rows/columns (inspection context, package/violation linkage, reject/return reasons). Requires a dedicated unpack/transform script per key, not a 1:1 column copy; several sub-keys are always null in the sample and cannot be validated from 3 rows alone."
inspection_flows.csv,finished_at,NULL (all 3 rows),public.inspections,submitted_at,reject,100% null in the sample — no completion timestamp is present to map.
inspection_flows.csv,created_at / updated_at,"2026-06-22 16:43:01 / 2026-06-22 16:48:58",public.inspections,created_at / updated_at (audit only),archive only,Timestamps are plausible and internally consistent (updated_at >= created_at in all 3 rows) but reflect the legacy system's own audit trail, not a canonical creation event — keep as archival provenance metadata only, never as the canonical audit_events timestamp.
inspection_flow_assignees.csv,id / inspection_flow_id / staff_id,ULIDs,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement as above; only 1 row in the entire export (extremely thin evidence base for this table's shape).
