Project Key,Parent,Issue Type,Summary,Priority,Labels,Description
INSP,INSP-1,Subtask,Figma: Brand identity WA-BRAND-r1 (web) — build design-system screen,Low,figma design-system channel-web card-brand,"Build the Figma screen(s) for board card `brand` (web).

Design source: SAQEEL Brand Identity Proof.dc.html
Repo route(s): web/src/components/ShellClient.tsx (.legacy-shell__brand-wordmark + __brand-sub)
Board state at capture: design 100% / code 0% / wiring 100%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Tasks (web) — build design-system screen,Low,figma design-system channel-web card-tasks,"Build the Figma screen(s) for board card `tasks` (web).

Design source: SAQEEL Tasks.dc.html
Repo route(s): web/src/app/(app)/tasks · TaskBoard.tsx · lib/workflow/tasks.ts
Board state at capture: design 80% / code 65% / wiring 100%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: M2 Visits (web) — build design-system screen,Medium,figma design-system channel-web card-visits,"Build the Figma screen(s) for board card `visits` (web).

Design source: SAQEEL Visits.dc.html (WA-DES-045)
Repo route(s): web/src/app/(app)/visits (+ [id], calendar, map, workload) · actions.ts
Board state at capture: design 70% / code 100% / wiring 100%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Cases (web) — build design-system screen,Medium,figma design-system channel-web card-cases,"Build the Figma screen(s) for board card `cases` (web).

Design source: SAQEEL Cases.dc.html
Repo route(s): web/src/app/(app)/cases · actions.ts · lib/cases/spine.ts
Board state at capture: design 75% / code 100% / wiring 100%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Portal (external) (web) — build design-system screen,Medium,figma design-system channel-web card-portal,"Build the Figma screen(s) for board card `portal` (web).

Design source: SAQEEL Portal.dc.html
Repo route(s): web/src/app/(app)/portal · actions.ts · lib/portal/self-assessment.ts
Board state at capture: design 70% / code 100% / wiring 100%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Profile (web) — build design-system screen,Medium,figma design-system channel-web card-profile,"Build the Figma screen(s) for board card `profile` (web).

Design source: SAQEEL Profile.dc.html
Repo route(s): web/src/app/(app)/profile · NotificationPrefsForm.tsx
Board state at capture: design 100% / code 100% / wiring 95%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Virtual visits (console side) (web) — build design-system screen,Medium,figma design-system channel-web card-virtual,"Build the Figma screen(s) for board card `virtual` (web).

Design source: SAQEEL Virtual.dc.html
Repo route(s): web/src/app/(app)/virtual (+ [id]) · ScheduleForm.tsx · lib/providers/video.ts
Board state at capture: design 88% / code 100% / wiring 82%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Committee handoff (web) — build design-system screen,Medium,figma design-system channel-web card-m6-committee,"Build the Figma screen(s) for board card `m6-committee` (web).

Design source: SAQEEL Committee.dc.html
Repo route(s): web/src/app/(app)/committee · actions.ts · RecordSignature.tsx · lib/committee/signature.ts
Board state at capture: design 65% / code 95% / wiring 80%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Executive Overview (web) — build design-system screen,Medium,figma design-system channel-web card-exec,"Build the Figma screen(s) for board card `exec` (web).

Design source: SAQEEL Executive Overview.html
Repo route(s): web/src/app/(app)/dashboard (persona view) · lib/role-home.ts
Board state at capture: design 93% / code 96% / wiring 95%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: AI Studio & advisory (web) — build design-system screen,Medium,figma design-system channel-web card-ai,"Build the Figma screen(s) for board card `ai` (web).

Design source: SAQEEL AI Studio.dc.html · SAQEEL Evidence OCR.dc.html
Repo route(s): web/src/app/(app)/ai/suggestions · evidence-ocr · lib/ai/* · lib/providers/ai-gemini.ts · ocr-gemini.ts
Board state at capture: design 55% / code 70% / wiring 70%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
INSP,INSP-1,Subtask,Figma: Reports & packages (web) — build design-system screen,High,figma design-system channel-web card-reports,"Build the Figma screen(s) for board card `reports` (web).

Design source: SAQEEL Inspection Report.dc.html · Report Inventory · Report Deltas · Report Package Foundation
Repo route(s): web/src/app/reports/inspection/[id] · report.css · admin/packages
Board state at capture: design 60% / code 85% / wiring 75%

Definition of done:
- Screen built at 1280 wide from published SAQEEL library components (no hand-drawn frames)
- Every fill and stroke bound to a Color variable (0 unbound paints)
- Every text node carries a t-* text style with explicit line-height
- Status renders as badge + text, never colour alone
- Ungoverned values render 'Not configured' / 'Decision required'
- EN·Light built first; Dark / AR·RTL generated in the batch pass
"
