endpoint_id,endpoint_key,url,duplicate_input,preliminary_domain,factory360_target,current_gap_or_code,observed_method,auth_contract,request_identifiers,request_fields,response_root,response_fields,pagination,bilingual_labels,source_timestamp,privacy_classification,authoritative_semantics,error_contract,frontend_callsite_evidence,sanitized_fixture,adapter_path,canonical_tables,stub_retirement,implementation_status,functional_evidence,notes
ISH-API-001,license_info,https://beta-backoffice.industry.sa/shared/api/v2/license-info,no,License master,CR/license hierarchy; License Overview,F360-GAP-009; NEW-GAP-LICENSE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_UNTIL_CONTRACT_VERIFIED,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,commercial_registrations; industrial_licenses; factories; plant_addresses,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Do not relax F360-BR-002 one-license/one-plant cardinality.
ISH-API-002,license_info_products,https://beta-backoffice.industry.sa/shared/api/v2/license-info/products,no,Licensed products,Industrial Information; product comparison,NEW-GAP-PRODUCTS,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_UNTIL_CONTRACT_VERIFIED,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,plant_production_line_items; senaei_reconciliation_records,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Reconcile with task production-line source; never silently overwrite.
ISH-API-003,license_info_preview,https://beta-backoffice.industry.sa/shared/api/v2/license-info/preview,no,License preview aggregate,License Overview/export reconciliation,NEW-GAP-LICENSE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_UNTIL_CONTRACT_VERIFIED,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,senaei_raw_snapshots; senaei_reconciliation_records,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Do not persist duplicate master facts until aggregate semantics are proven.
ISH-API-004,job_workforce_info,https://beta-backoffice.industry.sa/shared/api/v2/job-workforce-info,no,Job/workforce,Workforce and observed comparison,NEW-GAP-WORKFORCE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_POTENTIALLY_SENSITIVE,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,CONDITIONAL_SOURCE_LABELLED_WORKFORCE_SNAPSHOT,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Aggregate only unless purpose permission retention and RLS are approved.
ISH-API-005,contact_list,https://beta-backoffice.industry.sa/shared/api/v2/contact-list,no,Contacts,Factory Profile contacts,NEW-GAP-CONTACTS,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_POTENTIALLY_PII,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,CONDITIONAL_RESTRICTED_CONTACT_HISTORY,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Do not map into broadly readable factory_representatives without approval.
ISH-API-006,plants,https://beta-backoffice.industry.sa/shared/api/v2/plants,no,Plant list/labels,CR/license/plant selection and search,F360-GAP-009,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_UNTIL_CONTRACT_VERIFIED,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,factories; industrial_licenses; plant_addresses,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Apparent multiple plants require scope clarification not cardinality weakening.
ISH-API-007,plant_with_labors,https://beta-backoffice.industry.sa/shared/api/v2/plant-with-labors,no,Plant + workforce,Plant profile/workforce,NEW-GAP-WORKFORCE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_POTENTIALLY_SENSITIVE,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,factories; CONDITIONAL_SOURCE_LABELLED_WORKFORCE_SNAPSHOT,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Split plant master from workforce source; do not denormalize overwrite.
ISH-API-008,is_industrial_activity,https://beta-backoffice.industry.sa/shared/api/v2/is-industrial-activity,no,Activity validation,Activity quality/validation,NEW-GAP-ACTIVITY,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_UNTIL_CONTRACT_VERIFIED,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,CONDITIONAL_VALIDATION_HISTORY,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Validation may never autonomously alter license package or compliance state.
ISH-API-009,get_industrial_activities,https://beta-backoffice.industry.sa/shared/api/v2/get-industrial-activities,no,Activity catalogue,Bilingual activity labels/ISIC,NEW-GAP-ACTIVITY,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_UNTIL_CONTRACT_VERIFIED,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,CONDITIONAL_VERSIONED_ACTIVITY_CATALOGUE,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,No hierarchy version or labels may be invented.
ISH-API-010,delegations,https://beta-backoffice.industry.sa/shared/api/v2/delegations,no,Authorized delegations,Permission-sensitive contacts/readiness,NEW-GAP-CONTACTS,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_POTENTIALLY_PII,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,CONDITIONAL_RESTRICTED_DELEGATION_HISTORY,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Delegations remain distinct from operational contacts.
ISH-API-011,hrsd_labors,https://beta-backoffice.industry.sa/shared/api/v2/hrsd-labors,yes; supplied twice,HRSD labor data,Authoritative workforce,NEW-GAP-WORKFORCE,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNKNOWN_POTENTIALLY_SENSITIVE,UNVERIFIED,INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED,Beta login reached; no authenticated call site,NONE,apps/web/src/lib/integrations/industry-shared/adapters/factory360.ts,CONDITIONAL_SOURCE_LABELLED_WORKFORCE_SNAPSHOT,RETAINED_PENDING_CONTRACT,BLOCKED_EXTERNAL_FAIL_CLOSED,industry-shared-integration-contract 4/4 PASS,Store aggregate only and keep HRSD distinct from job and plant-labor sources.
