finding_id,route,screen_id,persona,mode,locale,direction,theme,severity,category,observation,user_cost,evidence_path,evidence_status,source_refs,recommendation,acceptance_test,design_package,status
WP01-UX-0001,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P1,Job clarity,Arabic RTL dark capture mixes English role/action labels and compresses account identity in the command bar.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,State the user job and expected outcome before presenting tools or data.,"On /admin in en-LTR light, verify: State the user job and expected outcome before presenting tools or data.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0002,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Next action,Current en-LTR light evidence for /admin requires next action refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Make exactly one safe next action obvious for the current role and lifecycle state.,"On /admin in en-LTR light, verify: Make exactly one safe next action obvious for the current role and lifecycle state.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0003,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Blocker explanation,Current en-LTR light evidence for /admin requires blocker explanation refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Explain why progression is blocked and identify the authorized resolution path.,"On /admin in en-LTR light, verify: Explain why progression is blocked and identify the authorized resolution path.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0004,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Lifecycle orientation,Current en-LTR light evidence for /admin requires lifecycle orientation refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Keep the object lifecycle and current step visible across drill-ins and returns.,"On /admin in en-LTR light, verify: Keep the object lifecycle and current step visible across drill-ins and returns.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0005,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Scope awareness,Current en-LTR light evidence for /admin requires scope awareness refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Show organization, region, branch and record scope at the point of decision.","On /admin in en-LTR light, verify: Show organization, region, branch and record scope at the point of decision.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0006,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Search strategy,Current en-LTR light evidence for /admin requires search strategy refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Support known-item search and exploratory filtering as separate interaction paths.,"On /admin in en-LTR light, verify: Support known-item search and exploratory filtering as separate interaction paths.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0007,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Filter recovery,Current en-LTR light evidence for /admin requires filter recovery refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Allow users to inspect, remove and reset filters without losing work.","On /admin in en-LTR light, verify: Allow users to inspect, remove and reset filters without losing work.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0008,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Decision context,Current en-LTR light evidence for /admin requires decision context refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Place risk, SLA, evidence and history beside the decision they inform.","On /admin in en-LTR light, verify: Place risk, SLA, evidence and history beside the decision they inform.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0009,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Feedback,Current en-LTR light evidence for /admin requires feedback refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Confirm completed read-only navigation immediately and mutation outcomes only after server truth.,"On /admin in en-LTR light, verify: Confirm completed read-only navigation immediately and mutation outcomes only after server truth.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0010,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Error recovery,Current en-LTR light evidence for /admin requires error recovery refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Preserve entered work and give a deterministic retry or escalation path.,"On /admin in en-LTR light, verify: Preserve entered work and give a deterministic retry or escalation path.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0011,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Permission clarity,Current en-LTR light evidence for /admin requires permission clarity refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Explain unavailable actions through role/state rules without revealing restricted data.,"On /admin in en-LTR light, verify: Explain unavailable actions through role/state rules without revealing restricted data.",CD-PREM-02,OPEN_EVIDENCED
WP01-UX-0012,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Large-data workflow,Current en-LTR light evidence for /admin requires large-data workflow refinement against the governed premium baseline.,"Additional time, ambiguity or recovery effort for the governed task on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Use pagination, saved views or virtualization so scale does not become a scrolling task.","On /admin in en-LTR light, verify: Use pagination, saved views or virtualization so scale does not become a scrolling task.",CD-PREM-02,OPEN_EVIDENCED
