n,state_id,frame_id,label,phase,counts,publish,blockers,announce,evidence
1,loading,CD-025_SCR-WEB-150_S01-LOADING,Initial validation / loading with staged context,loading,12 selected staged,disabled,none-yet,role=status validating,"skeletons + immutable staged banner"
2,ready,CD-025_SCR-WEB-150_S02-READY,Populated retained plan genuinely ready,review,"retained · visits · manual · auto · notif",enabled,none,role=status ready,"green readiness; full ledger committable"
3,blocked-12,CD-025_SCR-WEB-150_S03-BLOCKED12,Pre-decision selected with multiple blockers,review,"selected; not reduced",disabled 'resolve items',"duplicate + overlap",role=alert,"ledger not-final; no count promised"
4,config-missing,CD-025_SCR-WEB-150_S04-CONFIGMISSING,Mandatory configuration missing,config-missing,n/a,disabled,"visit type / window / package",focus to first invalid,"ax-validation linked list"
5,no-package,CD-025_SCR-WEB-150_S05-NOPACKAGE,No published/locked package available,review,n/a,disabled,legitimate empty pkg,role=alert,"distinct from source failure"
6,package-invalid,CD-025_SCR-WEB-150_S06-PKGINVALID,Selected package invalidated at check,review,n/a,disabled,pkg no longer published,role=alert,"revalidate; no time threshold"
7,no-pool,CD-025_SCR-WEB-150_S07-NOPOOL,No Inspector in the role pool,review,n/a,disabled,legitimate empty pool,role=alert,"distinct from source failure"
8,partial-coverage,CD-025_SCR-WEB-150_S08-PARTIAL,Partial assignment coverage,review,"retained; uncovered",disabled,coverage gap,role=alert,"widen window or manual assign"
9,duplicate,CD-025_SCR-WEB-150_S09-DUPLICATE,Duplicate active visit on named targets,review,"selected",disabled,duplicate focus,role=alert,"named factory + active visit id"
10,scope-reduction,CD-025_SCR-WEB-150_S10-SCOPE,Explicit scope reduction,review,"recalculated everywhere",disabled if overlap,overlap,polite count announce,"removed factories named"
11,overlap,CD-025_SCR-WEB-150_S11-OVERLAP,Manual Inspector overlap with exact window,review,"retained",disabled,overlap focus,role=alert,"visit id + exact window"
12,auto-explain,CD-025_SCR-WEB-150_S12-AUTO,Automatic assignment chosen at publish,review,"retained ready",enabled,none,role=status,"skills/cert/territory/capacity = Not evaluated"
13,src-factory,CD-025_SCR-WEB-150_S13-SRCFACTORY,Factory/target source failure (blocks safely),review,n/a,disabled,source unavailable,role=alert,"not evaluated != empty"
14,src-package,CD-025_SCR-WEB-150_S14-SRCPKG,Package source failure != no-package,review,n/a,disabled,source unavailable,role=alert,"distinct from S05"
15,src-inspector,CD-025_SCR-WEB-150_S15-SRCINSP,Inspector source failure != empty pool,review,n/a,disabled,source unavailable,role=alert,"distinct from S07"
16,src-duplicate,CD-025_SCR-WEB-150_S16-SRCDUP,Duplicate/overlap query failure != zero conflicts,review,n/a,disabled,check unavailable,role=alert,"no publish without check"
17,revalidate,CD-025_SCR-WEB-150_S17-REVALIDATE,Revalidation required (proven change),review,"retained",disabled,revalidate,role=alert,"evidence-based; no elapsed-time threshold"
18,concurrent,CD-025_SCR-WEB-150_S18-CONCURRENT,Concurrent change caught in publish; rollback,failure,n/a,n/a,rollback,role=alert,"nothing published"
19,approval-note,CD-025_SCR-WEB-150_S19-APPROVAL,Approval-required annotation (unproven),review,"retained",enabled,none,role=status,"HANDOFF_BLOCKED annotation only"
20,direct-publish,CD-025_SCR-WEB-150_S20-DIRECT,Direct Planner publication supported,review,"retained ready",enabled,none,role=status,"route guard + RPC recheck + RLS"
21,unauthorized,CD-025_SCR-WEB-150_S21-UNAUTH,Unauthorized / not-in-scope access,unauthorized,n/a,n/a,deny,none,"ax-permission; nav != authorization"
22,lost-staged,CD-025_SCR-WEB-150_S22-LOST,Lost/expired staged review (recovery blocked),lost,n/a,n/a,expired,none,"nothing created; recovery HANDOFF_BLOCKED"
23,publishing,CD-025_SCR-WEB-150_S23-PUBLISHING,Publish in progress; double-submit prevented,publishing,"committing",disabled loading,none,role=status,"no optimistic Published; no duration promise"
24,bulk-failure,CD-025_SCR-WEB-150_S24-BULKFAIL,Bulk failure: nothing published; retry,failure,n/a,n/a,rollback,role=alert,"neutral copy; no support path"
25,single-failure,CD-025_SCR-WEB-150_S25-SINGLEFAIL,Single atomic failure: rollback; retry,failure,n/a,n/a,rollback,role=alert,"not a partial sequential write"
26,bulk-success,CD-025_SCR-WEB-150_S26-BULKSUCCESS,Bulk complete: visits/assignments/notifs,success,"1 plan · N visits · N assignments · N queued · 0 completed · 0 draft",n/a,none,role=status focus heading,"Go to visits primary; optional read-only plan if plan ID captured"
27,readonly,CD-025_SCR-WEB-150_S27-READONLY,Read-only post-publish plan detail,readonly,"N published · 0 completed · 0 drafts now",n/a,none,none,"/planning/plans/:id — later-history labelled separately"
28,return-edit,CD-025_SCR-WEB-150_S28-RETURNEDIT,Return-to-edit / focus landing,return-edit,"scope preserved",n/a,none,none,"route+context wiring HANDOFF_BLOCKED"
