component_id,component_name,source_path,layer,disposition,current_role,rationale,reuse_constraints,target_pattern,evidence_refs,status
WP01-CMP-001,BrandMark,apps/web/src/app/BrandMark.tsx,PAGE_LOCAL_COMPONENT,REFINE,Brand Mark,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-002,AuditReplayWorkspace,apps/web/src/app/admin/audit/AuditReplayWorkspace.tsx,PAGE_LOCAL_COMPONENT,SPECIALIZED,Audit Replay Workspace,Domain behavior is not a generic primitive; preserve governed semantics behind shared presentation contracts.,"Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Specialized domain pattern using shared primitives,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-003,GisStudio,apps/web/src/app/admin/gis/GisStudio.tsx,PAGE_LOCAL_COMPONENT,REFINE,Gis Studio,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-004,loading,apps/web/src/app/admin/gis/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-005,CreateLayer,apps/web/src/app/admin/gis/spatial/CreateLayer.tsx,PAGE_LOCAL_COMPONENT,REFINE,Create Layer,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-006,Controls,apps/web/src/app/admin/items/Controls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-007,loading,apps/web/src/app/admin/items/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-008,Manager,apps/web/src/app/admin/localization/Manager.tsx,PAGE_LOCAL_COMPONENT,REFINE,Manager,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-009,loading,apps/web/src/app/admin/localization/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-010,NotificationRulesManager,apps/web/src/app/admin/notifications/NotificationRulesManager.tsx,PAGE_LOCAL_COMPONENT,REFINE,Notification Rules Manager,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-011,DraftEditor,apps/web/src/app/admin/packages/DraftEditor.tsx,PAGE_LOCAL_COMPONENT,REFINE,Draft Editor,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-012,ImpactPanel,apps/web/src/app/admin/packages/ImpactPanel.tsx,PAGE_LOCAL_COMPONENT,REFINE,Impact Panel,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-013,PackagePreview,apps/web/src/app/admin/packages/PackagePreview.tsx,PAGE_LOCAL_COMPONENT,REFINE,Package Preview,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
