finding_id,category,object,query_basis,count_or_sample,severity,evidence_note
DQ-001,role_labels_as_person_names,public.profiles,"select full_name,email from profiles",7 of 8 profiles use role-derived display names: 'A. Planner' <planner@mim.gov.sa>; 'B. Business Approver' <approver@mim.gov.sa>; 'C. Compliance Admin' <admin@mim.gov.sa>; 'O. Operations' <ops@mim.gov.sa>; 'R. Al-Otaibi' <reviewer@mim.gov.sa> (partial real-name pattern but role-scoped email); two rows both literally named 'G10 Journey Inspector',HIGH,Only 1 of 8 profiles (عبدالله محمد القحطاني / inspector@mim.gov.sa) is a genuine bilingual person name. Violates blueprint requirement that seeded/live personas never use role labels as display names.
DQ-002,duplicate_test_fixture_persona,public.profiles,"full_name='G10 Journey Inspector' group by full_name having count(*)>1",2 rows: user_id 9b4d2c98-... (g10-inspector-1784679710389@mim.gov.sa) and 6c3fac79-... (g10-inspector-1784690981694@mim.gov.sa),MEDIUM,Both emails carry a millisecond Unix-timestamp suffix — a load/E2E test-run fixture marker left live in the profiles table with null region/org_scope.
DQ-003,fixture_marker_in_factory_names,public.factories,"name ~* '(test|fixture|lorem|asdf|xxx|tbd|dummy|placeholder)'",26 rows,HIGH,"Examples: 'CD-023 Registered Fixture CD023-CR-1783971905154', 'CD-023 Booking Fixture 1783971927151' (x12 more of each pattern), 'F360 Runtime 016 - J12 outbox isolation fixture', 'Print Fixture Verification Factory' (id f9000000-0000-4000-8000-000000000001), 'PLN-J expiry fixture 17846...' (x6). Task-ID-prefixed E2E/dev verification fixtures were never cleaned from the shared staging factories table."
DQ-004,fixture_marker_in_visit_notes,public.visits,"notes ~* '(test|fixture|lorem|asdf|xxx|tbd|dummy|placeholder)'",8 rows,MEDIUM,"6 rows tagged 'TASK-DASH-KPI-SEED-001 · <state> · deterministic verification fixture' on sequential-pattern IDs b7000000-0000-4000-8000-00000000000{1..6}; 1 row 'F360 Runtime 016 - J06 assigned-visit verification fixture'; 1 row 'DEC-028 print-fixture verification — many-violations/long-notes evidence' (id b9000000-0000-4000-8000-000000000001)."
DQ-005,sequential_placeholder_ids,"public.factories, public.visits, public.inspections","id::text ~ '^[0-9a-f]{8}-0000-4000-8000-'",factories=11; visits=7; inspections=3,MEDIUM,Deterministic hand-authored IDs (e.g. 97000000-0000-4000-8000-000000000002; b7000000-...; f9000000-...) mark rows created directly by task-specific verification scripts rather than through canonical creation flows; they remain live and undistinguished from senaei/manual-sourced rows.
DQ-006,fixture_marker_mixed_into_source_field,public.factories,"group by source",source distribution: senaei=1644; immediate_manual=289; verification_fixture=7; manual=6 (total 1946),MEDIUM,'verification_fixture' is used as a first-class value of the same `source` column that otherwise carries production-shaped provenance ('senaei','manual'); there is no separate is_synthetic/seed_batch_id flag to segregate them for cleanup or reporting.
DQ-007,factory_product_material_coverage_collapse,"public.factories, public.factory_products, public.factory_materials","count(distinct factory_id) from factory_products/factory_materials vs count(*) from factories",factories=1946; factories_with_products=4; factories_with_materials=4 (99.8% of factories have zero linked products/materials),HIGH,"Inconsistent/absent factory-product-raw-material relationships at near-total scale: the blueprint's 'products that match the sector / raw materials that match the products' coherence requirement cannot be evaluated because the linking tables are populated for only 4 of 1946 factories."
DQ-008,legal_and_license_status_fields_null,public.factories,"legal_name is null; license_status is null; cr_status is null; license_holder is null",legal_name null=1946/1946 (100%); license_status null=1946/1946; cr_status null=1946/1946; license_holder null=1946/1946; employees_total null=1941/1946,HIGH,"Every factory row is missing legal_name, license_status, cr_status and license_holder — columns that exist on the table and are populated on commercial_registrations/industrial_licenses but were never backfilled/joined onto factories, despite 1071 industrial_licenses and 1340 commercial_registrations rows existing."
DQ-009,factory_code_and_license_number_nulls,public.factories,"factory_code is null; license_number is null; cr_number is null",factory_code null=295/1946 (15%); license_number null=764/1946 (39%); cr_number null=253/1946 (13%),MEDIUM,No duplicate factory_code/cr_number/license_number values were found (0 duplicates each) so the populated identifiers are unique, but a large minority of factories carry no license/CR identifier at all.
DQ-010,factory_null_official_coordinates,public.factories,official_lat is null or official_lng is null,410 of 1946 (21%),MEDIUM,No out-of-KSA-bbox or (0,0) coordinates were found among the populated rows (0 suspicious), but 21% of factories have no plottable location for map/GIS screens.
