key,en_default,ar_default,interpolation,direction_note,fallback
regulations.r1.title,Compliance Library — regulation register,مكتبة الامتثال — سجل اللوائح,none,heading,en
regulations.r1.lozenge.partial,{n} impact read unavailable,{n} قراءة أثر غير متاحة,{n},plural rules ar,en
regulations.r1.readAt,register read {time} — a source fact not a platform-health verdict,قُرئ السجل {time} — حقيقة مصدر لا حكم سلامة,{time} bdi ltr,timestamp isolated,en
regulations.r1.search.placeholder,Search code, title, authority…,بحث بالكود أو العنوان أو الجهة…,none,,en
regulations.r1.filter.all,All {n},الكل {n},{n},,en
regulations.r1.filter.published,Published {n},منشورة {n},{n},,en
regulations.r1.filter.draft,Draft {n},مسودة {n},{n},,en
regulations.r1.create,Create draft regulation,إنشاء مسودة لائحة,none,,en
regulations.r1.status.published,Published,منشورة,none,glyph ●,en
regulations.r1.status.draft,Draft,مسودة,none,glyph ◌,en
regulations.r1.detail.disabled,Open detail — not available yet,فتح التفاصيل — غير متاح بعد,none,accessible name carries reason,en
regulations.r1.rail.heading,Impact footprint — from regulation to what actually gets inspected,بصمة الأثر — من اللائحة إلى ما يُفحص فعليًا,none,rail caption,en
regulations.r1.rail.regulation,REGULATION,اللائحة,none,col header,en
regulations.r1.rail.clauses,CLAUSES ({n}) — read verified,البنود ({n}) — قراءة مؤكدة,{n},,en
regulations.r1.rail.items,MAPPED ITEMS — read verified,العناصر المرتبطة — قراءة مؤكدة,none,,en
regulations.r1.rail.items.failed,mapped-item read failed — impact unknown not zero,تعذّرت قراءة عناصر الربط — الأثر غير معروف وليس صفرًا,none,never zero,en
regulations.r1.rail.beyond,BEYOND ITEMS,ما بعد العناصر,none,,en
regulations.r1.rail.notEvaluated,Not evaluated — no verified source,غير مُقيَّم — لا مصدر مؤكد,none,,en
regulations.r1.retry,Retry impact read,إعادة قراءة الأثر,none,accessible name per family,en
regulations.r1.invalid.noClauses,no clauses at all — incomplete; publishing it would be meaningless,بلا أي بند — غير مكتملة؛ لا معنى لنشرها بهذه الحالة,none,,en
regulations.r1.footprint.zero,no mapped items (verified zero),لا عناصر مرتبطة (صفر مؤكد),none,distinct from failure,en
regulations.r1.unauthorized.title,Not available to you,غير متاح لك,none,,en
