persona_role,scope_dimension,seeded_precondition,allowed_read_probe,expected_allowed_result,denied_read_probe,expected_denied_result,write_probe_outside_scope,expected_write_result
planner,own region,visit_plans seeded across at least 2 distinct regions,select own-region visit_plans,full rows returned,select another-region planner-restricted visit_plans (if region-scoped),zero rows or RLS error,publish another planner's draft plan,rejected by RLS or governed-transition guard
inspector,own assignments,assignments seeded for at least 2 distinct inspectors,select own assignments,full rows returned,select another inspector's draft evidence/checklist_responses,zero rows,submit another inspector's inspection,rejected
inspector,own submitted versions,submission_versions across 2 inspectors,select own submission_versions,full rows returned,select another inspector's submission_versions pre-approval,zero rows or scoped-out,edit an already-submitted own version (immutability),rejected by RLS/immutability trigger
reviewer,open review queue,submission_versions in submitted/under_review across factories,select open queue items,full rows returned per CD-028 scan-only-open design,select a still-draft (unsubmitted) inspection,zero rows,approve own-authored submission (segregation of duties, if enforced),rejected if segregation rule exists — else flag as open decision
admin,full access control-plane read,personas/roles/regulations/packages seeded,select any persona/role/package,full rows returned,none — admin is intentionally broad; assert admin CANNOT bypass immutability,attempt to edit an already-submitted submission_versions row,rejected by immutability trigger even for admin
ops,operations/dashboard aggregate,visits/inspections/geo_events across regions,select aggregate operations views,full rows returned,select individual inspector's private evidence detail if scoped as inspector-private,zero rows or masked,directly mutate a workflow status bypassing governed-transition,rejected
unregistered-establishment / portal persona,restricted external scope,a seeded unregistered-establishment scenario,select own portal-visible record,scoped single record returned,select any other factory's internal compliance history,zero rows,any write outside the portal's narrow accepted action set,rejected
inspector,cross-channel outside-geofence request,a pending outside-geofence scenario for the seeded inspector,select own pending request status,visible to requester,select another inspector's pending request,zero rows unless ops-scoped,approve own outside-geofence request (must be ops-only),rejected
any authorized persona,notification ownership,notifications seeded per recipient,select own notifications,full rows returned,select another user's notifications,zero rows (notif_own policy per 0002),mark another user's notification as read,rejected (notif_update_recipient policy per 0015)
service-role-adjacent (seed runner itself),n/a — negative control,seed runner never authenticates as service-role beyond module 02,n/a,n/a,attempt any module-03-through-14 write using a lingering service-role token,must fail because no module past 02 should hold one,attempt any write via service-role outside module 02,must be architecturally impossible per SEEDER_IMPLEMENTATION_PLAN.md §9
