cd,screen,state_n,state_id,state_label,primary,outlier
CD-012,SCR-ADM-050,S01,published,"Published — primary populated",yes,
CD-012,SCR-ADM-050,S02,draft,"Draft awaiting approval",,
CD-012,SCR-ADM-050,S03,outlier,"Outlier — separation of duties (own draft)",,yes
CD-012,SCR-ADM-050,S04,submitted,"Published version immutable",,
CD-012,SCR-ADM-050,S05,superseded,"Superseded (read-only)",,
CD-012,SCR-ADM-050,S06,in-use,"In-use — blocked health input",,
CD-012,SCR-ADM-050,S07,empty,"Empty",,
CD-012,SCR-ADM-050,S08,loading,"Loading",,
CD-012,SCR-ADM-050,S09,validation,"Validation — cannot save/propose",,
CD-012,SCR-ADM-050,S10,unauthorized,"Unauthorized",,
CD-012,SCR-ADM-050,S11,offline,"Offline",,
CD-012,SCR-ADM-050,S12,stale,"Stale detection blocked",,
CD-013,SCR-ADM-051,S01,draft,"Draft — primary (payload editor + quarantined designer lane)",yes,
CD-013,SCR-ADM-051,S02,validation,"Save rejected — parse error + bad reference (outlier)",,yes
CD-013,SCR-ADM-051,S03,saved,"Draft saved (saveWorkflowDraft)",,
CD-013,SCR-ADM-051,S04,own-draft,"Own draft — approve disabled (SoD)",,
CD-013,SCR-ADM-051,S05,submitted,"Submitted — frozen for review",,
CD-013,SCR-ADM-051,S06,published-locked,"Published v7 — read-only",,
CD-013,SCR-ADM-051,S07,empty,"Empty — no draft open",,
CD-013,SCR-ADM-051,S08,loading,"Loading",,
CD-013,SCR-ADM-051,S09,unauthorized,"Unauthorized",,
CD-013,SCR-ADM-051,S10,offline,"Offline",,
CD-014,SCR-ADM-060,S01,complete,"Stored model — primary (trace + factors + bands)",yes,
CD-014,SCR-ADM-060,S02,sum-fail,"Weights-sum fails — save blocked (outlier)",,yes
CD-014,SCR-ADM-060,S03,missing-input,"Factory cannot be fully scored",,
CD-014,SCR-ADM-060,S04,threshold-edge,"Threshold-edge factory",,
CD-014,SCR-ADM-060,S05,saved,"Saved — effective immediately",,
CD-014,SCR-ADM-060,S06,rls-denied,"Save rejected by RLS",,
CD-014,SCR-ADM-060,S07,empty,"Empty — no model stored",,
CD-014,SCR-ADM-060,S08,loading,"Loading",,
CD-014,SCR-ADM-060,S09,unauthorized,"Unauthorized",,
CD-014,SCR-ADM-060,S10,offline,"Offline",,
CD-015,SCR-ADM-070,S01,valid,"Coordinates + radius — primary",yes,
CD-015,SCR-ADM-070,S02,invalid-radius,"Radius input rejected (outlier)",,yes
CD-015,SCR-ADM-070,S03,missing-coordinate,"No official coordinate — flagged",,
CD-015,SCR-ADM-070,S04,rls-denied,"Save rejected by RLS",,
CD-015,SCR-ADM-070,S05,saved,"Radius saved (updateGeofenceRadius)",,
CD-015,SCR-ADM-070,S06,provider-unavailable,"Map preview unavailable — facts intact",,
CD-015,SCR-ADM-070,S07,empty,"Empty — no factory selected",,
CD-015,SCR-ADM-070,S08,loading,"Loading",,
CD-015,SCR-ADM-070,S09,unauthorized,"Unauthorized",,
CD-015,SCR-ADM-070,S10,offline,"Offline",,
CD-016,SCR-ADM-080,S01,blocked,"Blocked concept boundary — primary (the honest state)",yes,
CD-016,SCR-ADM-080,S02,concept,"Concept preview + prerequisites (non-executable, outlier)",,yes
CD-016,SCR-ADM-080,S03,unauthorized,"Unauthorized",,
CD-017,SCR-ADM-090,S01,view,"Read-only holdings — primary",yes,
CD-017,SCR-ADM-090,S02,explainer,"Explainer proposal — non-conclusive (outlier)",,yes
CD-017,SCR-ADM-090,S03,rls-scoped,"RLS-scoped visibility",,
CD-017,SCR-ADM-090,S04,empty,"Empty — nothing readable",,
CD-017,SCR-ADM-090,S05,loading,"Loading",,
CD-017,SCR-ADM-090,S06,unauthorized,"Unauthorized",,
CD-017,SCR-ADM-090,S07,offline,"Offline",,
CD-018,ADM-LOCALIZATION,S01,review,"Working view — primary (real ui_strings actions)",yes,
CD-018,ADM-LOCALIZATION,S02,source-drift,"Source drift — back to draft (outlier)",,yes
CD-018,ADM-LOCALIZATION,S03,placeholder-error,"Placeholder mismatch — save disabled",,
CD-018,ADM-LOCALIZATION,S04,orphaned,"Orphaned key — kept, not deleted",,
CD-018,ADM-LOCALIZATION,S05,sync-ok,"Sync from code — result summary",,
CD-018,ADM-LOCALIZATION,S06,sync-error,"Sync failed — store untouched",,
CD-018,ADM-LOCALIZATION,S07,restored,"Restored as draft",,
CD-018,ADM-LOCALIZATION,S08,rls-denied,"Save rejected by RLS",,
CD-018,ADM-LOCALIZATION,S09,empty,"Filtered empty",,
CD-018,ADM-LOCALIZATION,S10,loading,"Loading",,
CD-018,ADM-LOCALIZATION,S11,unauthorized,"Unauthorized",,
CD-018,ADM-LOCALIZATION,S12,offline,"Offline",,
CD-019,ADM-AUDIT,S01,stream,"Reader — primary (filters + pagination + diff)",yes,
CD-019,ADM-AUDIT,S02,partial-payload,"Historical gap in payload (outlier)",,yes
CD-019,ADM-AUDIT,S03,degraded,"Query timed out — narrow and retry",,
CD-019,ADM-AUDIT,S04,filtered-empty,"Filtered empty",,
CD-019,ADM-AUDIT,S05,no-events,"No events in scope",,
CD-019,ADM-AUDIT,S06,loading,"Loading",,
CD-019,ADM-AUDIT,S07,unauthorized,"Unauthorized",,
CD-019,ADM-AUDIT,S08,offline,"Offline",,
# 72 states; each renders EN+AR, dark+light, 1440/1024/412 (144 renders smoke-tested ALL PASS). Every state shows status, enabled/disabled actions, recovery and truth tier in-frame.
