scr_id,title,app_route,state,code_surface,EN-Light-1280,EN-Light-1024,EN-Light-720,EN-Dark-1280,EN-Dark-1024,EN-Dark-720,AR-Light-1280,AR-Light-1024,AR-Light-720,AR-Dark-1280,AR-Dark-1024,AR-Dark-720
SCR-ADM-001,Admin Home,/admin,(default),apps/web/src/app/(app)/admin/page.tsx,187:396,784:10559,784:110296,783:10392,784:110587,784:110615,785:12407,786:479,786:678,786:877,786:1076,786:1275
SCR-ADM-010,Regulation Library,/admin/regulations,(default),apps/web/src/app/(app)/admin/regulations/page.tsx,188:563,787:111070,787:111095,787:111180,787:111205,787:111230,787:11085,787:111832,787:111999,787:112166,787:112333,787:112500
SCR-ADM-011,Regulation Detail & Version,/admin/regulations/[id],(default),apps/web/src/app/(app)/admin/regulations/[id]/page.tsx,188:726,788:111640,788:111665,788:111750,788:111775,788:111800,788:11655,788:112402,788:112569,788:112736,788:112903,788:113070
SCR-ADM-020,Inspection Item Catalogue,/admin/items,(default),apps/web/src/app/(app)/admin/items/page.tsx,188:889,791:114820,791:114845,791:114930,791:114955,791:114980,790:12225,791:115004,791:115171,791:115338,791:115505,791:115672
SCR-ADM-030,Inspection Package Library,/admin/packages,(default),apps/web/src/app/(app)/admin/packages/page.tsx,188:1052,791:115778,791:115800,791:115882,791:115904,791:115926,790:12668,791:115947,791:116107,791:116267,791:116427,791:116587
SCR-ADM-031,Package & Form Designer,/admin/packages/[id]/designer,(default),apps/web/src/app/(app)/admin/packages/[id]/designer/page.tsx,188:1208,791:117814,791:117839,791:117924,791:117949,791:117974,790:13099,791:117998,791:118165,791:118332,791:118499,791:118666
SCR-ADM-040,Violation Catalogue,/admin/violations,(default),apps/web/src/app/(app)/admin/violations/page.tsx,188:1371,791:118772,791:118794,791:118876,791:118898,791:118920,790:13542,791:118941,791:119101,791:119261,791:119421,791:119581
SCR-ADM-041,Penalty Mapping,/admin/penalties,(default),apps/web/src/app/(app)/admin/penalties/page.tsx,188:1527,791:120800,791:120825,791:120910,791:120935,791:120960,791:81,791:120984,791:121151,791:121318,791:121485,791:121652
SCR-ADM-050,Workflow Library,/admin/workflows,(default),apps/web/src/app/(app)/admin/workflows/page.tsx,188:1690,791:121758,791:121780,791:121862,791:121884,791:121906,791:601,791:121927,791:122087,791:122247,791:122407,791:122567
SCR-ADM-051,Workflow Designer,/admin/workflows/[id],(default),apps/web/src/app/(app)/admin/workflows/[id]/page.tsx,188:1846,791:123786,791:123808,791:123890,791:123912,791:123934,791:1032,791:123955,791:124115,791:124275,791:124435,791:124595
SCR-ADM-060,Risk Configuration,/admin/risk,(default),apps/web/src/app/(app)/admin/risk/page.tsx,188:2002,791:124694,791:124716,791:124798,791:124820,791:124842,791:1463,791:124863,791:125023,791:125183,791:125343,791:125503
SCR-ADM-070,GIS & Geofence Settings,/admin/gis,(default),apps/web/src/app/(app)/admin/gis/page.tsx,188:2158,791:126702,791:126724,791:126806,791:126828,791:126850,791:113503,791:126871,791:127031,791:127191,791:127351,791:127511
SCR-ADM-080,Notification & SLA Rules,/admin/notifications,(default),apps/web/src/app/(app)/admin/notifications/page.tsx,188:2314,791:127610,791:127635,791:127720,791:127745,791:127770,791:113934,791:127794,791:127961,791:128128,791:128295,791:128462
SCR-ADM-090,Roles & Permissions,/admin/access,(default),apps/web/src/app/(app)/admin/access/page.tsx,188:2477,791:129688,791:129713,791:129798,791:129823,791:129848,791:114377,791:129872,791:130039,791:130206,791:130373,791:130540
SCR-ADM-100,Compliance Requests,/admin/compliance-requests,empty,apps/web/src/app/(app)/admin/compliance-requests/page.tsx,433:50952,793:119441,793:119449,793:119517,793:119525,793:119533,793:18375,793:119540,793:119670,793:119800,793:119930,793:120060
SCR-ADM-110,Compliance Approval Queue,/admin/compliance-approvals,empty,apps/web/src/app/(app)/admin/compliance-approvals/page.tsx,433:51096,793:120129,793:120137,793:120205,793:120213,793:120221,793:18756,793:120228,793:120358,793:120488,793:120618,793:120748
SCR-ADM-120,Enforcement Recommendations,/admin/enforcement-recommendations,decision required,apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx,433:51240,793:120817,793:120825,793:120893,793:120901,793:120909,793:19137,793:120916,793:121046,793:121176,793:121306,793:121436
SCR-ADM-130,Security Access,/admin/security-access,denied,apps/web/src/app/(app)/admin/security-access/page.tsx,433:51384,793:121505,793:121513,793:121581,793:121589,793:121597,793:19518,793:121604,793:121734,793:121864,793:121994,793:122124
SCR-ADM-140,Audit Replay,/admin/audit,empty,apps/web/src/app/(app)/admin/audit/page.tsx,433:51528,793:125605,793:125613,793:125681,793:125689,793:125697,793:124081,793:125704,793:125834,793:125964,793:126094,793:126224
SCR-ADM-150,Trusted Devices,/admin/devices,empty,apps/web/src/app/(app)/admin/devices/page.tsx,433:51672,793:126293,793:126301,793:126369,793:126377,793:126385,793:124462,793:126392,793:126522,793:126652,793:126782,793:126912
