field_id,object,field_name,label,definition,type,required,condition,source_of_truth,editable_by,visible_to,validation,audit_versioning,offline,sensitivity,scope
FLD-FACT-001,Factory,factory_id,Factory ID,Stable unique factory identifier,UUID/String,Yes,,Master factory source,Read-only,All authorized channels,Immutable,Audit reference,Cache in package,Internal,MVP1
FLD-FACT-002,Factory,factory_name,Factory Name,Official registered factory name,Text(250),Yes,,Master factory source,Admin source owner only,All authorized,Non-empty,Version source changes,Cache,Business,MVP1
FLD-FACT-003,Factory,license_number,License Number,Official industrial license number,Text(100),Conditional,,Licensing source,Read-only,Authorized,Format/source validation,Audit source update,Cache,Sensitive business,MVP1
FLD-FACT-004,Factory,cr_number,Commercial Registration,Commercial registration identifier,Text(100),Conditional,,CR source,Read-only,Authorized,Format/source validation,Audit source update,Cache,Sensitive business,MVP1
FLD-FACT-005,Factory,official_latitude,Official Latitude,Authoritative latitude,"Decimal(10,7)",Yes,,GIS/master source,GIS Admin,Authorized map users,-90..90,Audit before/after,Cache,Location,MVP1
FLD-FACT-006,Factory,official_longitude,Official Longitude,Authoritative longitude,"Decimal(10,7)",Yes,,GIS/master source,GIS Admin,Authorized map users,-180..180,Audit before/after,Cache,Location,MVP1
FLD-FACT-007,Factory,risk_score,Risk Score,Current approved risk score,"Decimal(5,2)",Conditional,,Risk engine/source,System,Authorized,0..100 unless approved otherwise,Score/version audit,Cache,Business,MVP1 foundation
FLD-FACT-008,Factory,risk_band,Risk Band,Approved risk classification,Enum,Conditional,,Risk engine,System,Authorized,Reference data,Audit score/version,Cache,Business,MVP1 foundation
FLD-PLAN-001,Visit Plan,visit_plan_id,Visit Plan ID,Unique identifier for planning activity,UUID/String,Yes,,System,System,Planner/Ops,Unique immutable,Create audit,Online,Internal,MVP1
FLD-PLAN-002,Visit Plan,planning_method,Planning Method,"Bulk, Single or Immediate",Enum,Yes,,User selection,Planner,Planner/Ops,Allowed values only,Audit change,Online,Internal,MVP1
FLD-PLAN-003,Visit Plan,criteria_json,Planning Criteria,Structured target criteria,JSON,Conditional,,Planner,Planner,Planner/Ops,Valid operators/fields,Version draft/publish,Online,Internal,MVP1
FLD-PLAN-004,Visit Plan,visit_window_start,Visit Window Start,Earliest allowed execution date/time,Datetime,Yes,,Planner,Planner,Authorized,Before/end logic,Audit changes,Cache visit,Internal,MVP1
FLD-PLAN-005,Visit Plan,visit_window_end,Visit Window End,Latest allowed execution date/time,Datetime,Yes,,Planner,Planner,Authorized,After start,Audit changes,Cache visit,Internal,MVP1
FLD-VIS-001,Visit,visit_id,Visit ID,Unique visit generated under plan,UUID/String,Yes,,System,System,Authorized,Unique,Create audit,Cache,Internal,MVP1
FLD-VIS-002,Visit,factory_id,Factory ID,Target factory reference,FK,Yes,,Plan/master,Locked after publish except governed correction,Authorized,Existing or immediate temporary entity,Audit,Cache,Business,MVP1
FLD-VIS-003,Visit,visit_type,Business Visit Type,Configured visit category,Enum/FK,Yes,,Reference data,Planner,Authorized,Active configured value,Audit,Cache,Internal,MVP1
FLD-VIS-004,Visit,execution_mode,Execution Mode,Physical or Virtual,Enum,Yes,,Eligibility + planner,Planner/System,Authorized,Eligibility rules,Audit,Cache,Internal,MVP1
FLD-VIS-005,Visit,operational_status,Operational Status,Current operational lifecycle state,Enum,Yes,,Workflow,System through transition,Authorized,Canonical transition only,Immutable event trail,Cache,Internal,MVP1
FLD-VIS-006,Visit,cancellation_reason,Cancellation Reason,Mandatory reason when cancelled,FK/Text,Conditional,Required on cancel,User/reference,Authorized role,Authorized,Reference or explanatory text,Audit mandatory,Cache,Internal,MVP1
FLD-ASG-001,Assignment,assignment_id,Assignment ID,Unique assignment record,UUID/String,Yes,,System,System,Authorized,Unique,Audit,Cache,Internal,MVP1
FLD-ASG-002,Assignment,inspector_id,Inspector,Assigned inspector or team member,FK,Yes,,User directory,Planner/System,Authorized,Active/eligible/available,Audit candidate/override,Cache,Personal,MVP1
FLD-ASG-003,Assignment,assignment_method,Assignment Method,Manual or Automatic,Enum,Yes,,Planner,Planner,Authorized,Allowed values,Audit,Cache,Internal,MVP1
FLD-PKG-001,Inspection Package,package_id,Package ID,Configured inspection package,FK,Yes,,Admin configuration,System resolves,Authorized,Active published,Audit resolution,Downloaded,Internal,MVP1
FLD-PKG-002,Inspection Package,package_version,Package Version,Immutable version consumed by inspection,String,Yes,,Publish service,System,Authorized,Published/effective,Reference in audit/submission,Downloaded,Internal,MVP1
FLD-JRN-001,Journey Session,journey_session_id,Journey Session ID,Active travel session,UUID/String,Yes,,System,System,Inspector/Ops,One active per visit unless approved,Audit,Offline queue,Location,MVP1
FLD-JRN-002,Journey Session,started_at,Journey Start Time,Timestamp journey began,Datetime,Yes,,Device/server,System,Inspector/Ops,Trusted timestamp,Audit,Offline queue,Location,MVP1
FLD-JRN-003,Journey Session,eta_minutes,ETA Minutes,Estimated time remaining,Integer,Conditional,,Routing provider,System,Inspector/Ops,>=0,Telemetry audit where material,Offline last value,Location,MVP1
FLD-JRN-004,Journey Session,remaining_distance_m,Remaining Distance,Distance remaining to factory,Integer,Conditional,,Routing provider,System,Inspector/Ops,>=0,Telemetry,Offline last value,Location,MVP1
FLD-GEO-001,Geo Event,observed_latitude,Observed Latitude,Device-observed latitude,"Decimal(10,7)",Yes,,Device GPS,System,Inspector/Ops/Auditor,Range,Immutable event,Offline queue,Location sensitive,MVP1
FLD-GEO-002,Geo Event,observed_longitude,Observed Longitude,Device-observed longitude,"Decimal(10,7)",Yes,,Device GPS,System,Inspector/Ops/Auditor,Range,Immutable event,Offline queue,Location sensitive,MVP1
FLD-GEO-003,Geo Event,accuracy_m,GPS Accuracy,Reported accuracy in metres,Decimal,Yes,,Device GPS,System,Authorized,>=0; threshold decision,Immutable event,Offline queue,Location sensitive,MVP1
FLD-GEO-004,Geo Event,geofence_result,Geofence Result,"Inside, outside, uncertain or override",Enum,Yes,,GIS engine,System,Authorized,Configured rule,Immutable event,Offline queue,Location sensitive,MVP1
FLD-GEO-005,Geo Event,override_reason,Override Reason,Reason for approved location override,FK/Text,Conditional,Required on override,User/reference,Operations approver,Authorized,Non-empty; permission,Immutable event,Offline queue,Location sensitive,MVP1
FLD-INS-001,Inspection,inspection_id,Inspection ID,Unique inspection session/report,UUID/String,Yes,,System,System,Authorized,Unique,Audit,Offline,Internal,MVP1
FLD-INS-002,Inspection,inspection_status,Inspection Status,Canonical inspection lifecycle state,Enum,Yes,,Workflow,System through transition,Authorized,Canonical transition only,Event trail,Offline,Internal,MVP1
FLD-INS-003,Inspection,package_version,Consumed Package Version,Exact package version used,String,Yes,,Package service,System,Reviewer/Auditor,Published version,Immutable reference,Offline,Internal,MVP1
FLD-RSP-001,Checklist Response,response_id,Response ID,Unique item response,UUID/String,Yes,,System,System,Authorized,Unique,Audit changes pre-submit,Offline,Internal,MVP1
FLD-RSP-002,Checklist Response,item_id,Inspection Item,Configured item reference,FK,Yes,,Package,System,Authorized,Exists in package version,Audit,Offline,Internal,MVP1
FLD-RSP-003,Checklist Response,response_value,Response Value,Value captured for item,Typed JSON/Text,Conditional,,Inspector,Inspector,Authorized,Response-type validation,Versioned in submission,Offline,May be sensitive,MVP1
FLD-RSP-004,Checklist Response,is_complete,Completion Flag,Whether response satisfies configured requirement,Boolean,Yes,,Rules engine,System,Authorized,Derived,Audit evaluation,Offline,Internal,MVP1
FLD-EVD-001,Evidence,evidence_id,Evidence ID,Unique evidence object,UUID/String,Yes,,System,System,Authorized,Unique,Chain-of-custody event,Offline queue,Sensitive,MVP1
FLD-EVD-002,Evidence,evidence_type,Evidence Type,"Photo, video, document, voice note, etc.",FK,Yes,,Reference/config,Inspector/System,Authorized,Allowed active value,Audit,Offline,Sensitive,MVP1
FLD-EVD-003,Evidence,linked_object_type,Linked Object Type,"Item, finding, action or inspection",Enum,Yes,,Inspector/System,Inspector/System,Authorized,Allowed relation,Audit link,Offline,Sensitive,MVP1
FLD-EVD-004,Evidence,linked_object_id,Linked Object ID,Target record for evidence,FK/String,Yes,,Inspector/System,Inspector/System,Authorized,Exists and same inspection,Audit link,Offline,Sensitive,MVP1
FLD-EVD-005,Evidence,captured_at,Captured Time,Trusted capture timestamp,Datetime,Yes,,Device/server,System,Authorized,Trusted timestamp,Immutable,Offline,Sensitive,MVP1
FLD-EVD-006,Evidence,content_hash,Content Identity,Hash or equivalent identity where supported,Text,Decision,,System/storage,System,Auditor,Format if enabled,Immutable,Calculated after sync,Sensitive,MVP1 decision
FLD-FND-001,Finding,finding_id,Finding ID,Unique observation/finding,UUID/String,Yes,,System,System,Authorized,Unique,Audit,Offline,Internal,MVP1
FLD-FND-002,Finding,severity,Severity,Configured severity level,FK,Yes,,Reference/rule,Inspector/System,Authorized,Active allowed value,Audit,Offline,Business,MVP1
FLD-FND-003,Finding,description,Finding Description,Inspector description and rationale,Text(2000),Yes,,Inspector,Inspector pre-submit,Authorized,Non-empty; length,Versioned,Offline,Sensitive,MVP1
FLD-VIO-001,Violation,violation_id,Violation ID,Unique triggered or confirmed violation,UUID/String,Yes,,System,System,Authorized,Unique,Audit rule/actor,Offline,Business,MVP1
FLD-VIO-002,Violation,violation_code,Violation Code,Configured violation reference,FK,Yes,,Admin configuration,System/authorized reviewer,Authorized,Published active mapping,Audit mapping version,Offline,Business,MVP1
FLD-PEN-001,Penalty,penalty_mapping_version,Penalty Mapping Version,Exact mapping version used,String,Conditional,,Admin configuration,System,Authorized,Published version,Immutable reference,Offline,Business,MVP1
