n,state_id,frame_id,label,png,key_evidence
01,populated,S01-POPULATED,Populated complete dossier,CD-031_SCR-WEB-400_S01-POPULATED_dark_en_1440.png,"provenance aside + risk + map-unavailable + Spatial Case Timeline (5 source-labelled events) + history + docs + workforce"
02,no-history,S02-NOHISTORY,No inspection history,CD-031_SCR-WEB-400_S02-NOHISTORY_dark_en_1440.png,"genuine empty history result, not a failed query"
03,stale-source,S03-STALESOURCE,Stale registry source,CD-031_SCR-WEB-400_S03-STALESOURCE_dark_en_1440.png,"freshness flagged with exact sync time; no invented staleness threshold"
04,map-unavail,S04-MAPUNAVAIL,Map unavailable,CD-031_SCR-WEB-400_S04-MAPUNAVAIL_dark_en_1440.png,"coordinates+geofence facts; HANDOFF_BLOCKED_MAP/BOUNDARY"
05,boundary-conflict,S05-BOUNDARY,Boundary/coordinate conflict,CD-031_SCR-WEB-400_S05-BOUNDARY_dark_en_1440.png,"flagged conflict; HANDOFF_BLOCKED_COORDINATE_CONFLICT; not silently picked"
06,service-fail,S06-SERVICEFAIL,One service failed,CD-031_SCR-WEB-400_S06-SERVICEFAIL_dark_en_1440.png,"documents section banner; identity/risk/timeline/history usable"
07,masked,S07-MASKED,Role-masked section,CD-031_SCR-WEB-400_S07-MASKED_dark_en_1440.png,"representatives masked; HANDOFF_BLOCKED_ROLE; not fabricated"
08,high-risk,S08-HIGHRISK,High-risk factory,CD-031_SCR-WEB-400_S08-HIGHRISK_dark_en_1440.png,"high band summary; drivers unavailable"
09,doc-unavail,S09-DOCUNAVAIL,Document preview unavailable,CD-031_SCR-WEB-400_S09-DOCUNAVAIL_dark_en_1440.png,"metadata stands; preview HANDOFF_BLOCKED_DOCUMENT_VIEWER"
10,risk-drivers,S10-RISKDRIVERS,Risk drivers unavailable,CD-031_SCR-WEB-400_S10-RISKDRIVERS_dark_en_1440.png,"score/band/version only; HANDOFF_BLOCKED_RISK_DRIVERS"
14,risk-history-unavail,S14-RISKHIST,Risk-version history unavailable (timeline row),CD-031_SCR-WEB-400_S14-RISKHIST_dark_en_1440.png,"timeline shows explicit unavailable row; only current risk version read; HANDOFF_BLOCKED_RISK_HISTORY"
15,evidence-unavail,S15-EVIDENCE,Evidence timeline unavailable (timeline row),CD-031_SCR-WEB-400_S15-EVIDENCE_dark_en_1440.png,"timeline shows explicit unavailable row; no evidence query on route; HANDOFF_BLOCKED_EVIDENCE_TIMELINE"
11,loading,S11-LOADING,Loading skeleton,CD-031_SCR-WEB-400_S11-LOADING_dark_en_1440.png,role=status
12,not-found,S12-NOTFOUND,Not found / RLS ambiguity,CD-031_SCR-WEB-400_S12-NOTFOUND_dark_en_1440.png,"neutral not-found; RLS boundary"
13,counterfactual,S13-COUNTERFACTUAL,Timeline removed,CD-031_SCR-WEB-400_S13-COUNTERFACTUAL_dark_en_1440.png,"tabs disconnected; high-risk vs open critical finding co-occurrence lost"
H-A,hyp-a,HYP-A-PROVENANCE,Hypothesis A (selected),CD-031_SCR-WEB-400_HYP-A-PROVENANCE_dark_en_1440.png,"provenance aside leads + timeline"
H-B,hyp-b,HYP-B-TIMELINE,Hypothesis B,CD-031_SCR-WEB-400_HYP-B-TIMELINE_dark_en_1440.png,"timeline leads; provenance persistent"
H-C,hyp-c,HYP-C-DECISION,Hypothesis C,CD-031_SCR-WEB-400_HYP-C-DECISION_dark_en_1440.png,"risk/findings lead; provenance visible"
AR,populated,S01-POPULATED,Arabic RTL populated,CD-031_SCR-WEB-400_S01-POPULATED_dark_ar_1440.png,"full RTL; mixed-direction IDs/coords/dates"
412,populated,S01-POPULATED,Narrow populated,CD-031_SCR-WEB-400_S01-POPULATED_light_ar_412.png,"stacked aside-then-timeline; timeline as ordered list"
