persona_id,role_key,rls_visible_scope,rls_hidden_or_denied_scope,governing_policy_or_function,test_notes
P-001,security_admin,"profiles (all rows via profiles_self OR security_admin clause); user_roles/roles (admin engine tables); audit_events (read, append-only enforced by revoke update/delete)",Cannot write audit_events (revoke update/delete on audit_events from public); cannot approve own config_versions (maker-checker),"has_role('security_admin'); profiles_self policy (0001_foundation.sql:351); audit_events revoke (0001_foundation.sql:308)"
P-002,compliance_admin,"regulations/regulation_clauses/inspection_items/packages/package_versions/violation_codes/penalty_mappings (all read+draft write); config_versions where engine in (regulatory,package,penalty)",Cannot self-approve a config_versions row they created (maker_checker check); cannot see other inspectors' journey_sessions/geo_events unless also ops/planner,"config_versions maker_checker constraint (0001_foundation.sql:57); has_any_role gates on compliance config RPCs"
P-003,form_admin,"configuration_templates / package_versions definitions (draft+publish); visit_preparations (read, not write - inspector-owned)",Cannot decide reviews or approve config as the same person who drafted it,"has_any_role(['compliance_admin','form_admin', ...]) grants seen in factory_products/materials write policies as reference pattern"
P-004,gis_admin,"factories.geofence_radius_m (write); engine_settings where engine='gis'; geo_events (read, all); geo_override_requests (read, all - not decide)",Cannot decide geo_override_requests (decision restricted to ops/leadership per migration 20260716161605 read/decide policies); cannot write visits/assignments,"geo_override_requests_read policy scopes decision-adjacent read but RPC-level decide is Ops-gated"
P-005,risk_owner,"engine_settings where engine='risk'; factories.risk_score/risk_band (read, source-owned - no direct write surface per 0017 comment)",Cannot write factories.employees_total/capital_invested (source-owned, display-only, no app write surface per 0017_w3_factory_master_data.sql:58-65),"employees_total/employees_saudi/capital_invested comments explicitly mark no write surface"
P-006,workflow_admin,"workflow_outbox (insert/read); workflow_task_assignments; SLA timer tables (MVP2 M2-02)",Cannot dispatch/mark workflow_outbox as delivered outside the defined status machine (pending/dispatched/failed/superseded check constraint),"workflow_outbox_write policy has_any_role(['compliance_admin','form_admin','workflow_admin','risk_owner','gis_admin','security_admin']) (20260717020000)"
P-007,planner,"visit_plans/visits they create (all statuses); assignments; planning_lookups (read); inspector_daily_capacity(inspector,date) for any inspector (RPC allows Planning/Ops/self)",Cannot see other planners' draft (non-published) visit_plans belonging to a different created_by if a future stricter-owner policy is added (currently visits select policy is role-broad, so P-007 and P-008 currently DO see each other's drafts - flagged as an open RLS looseness, not to be 'fixed' silently in this discovery),"inspector_own_visits policy (0001_foundation.sql:347) is role-broad for planner/ops/reviewer/auditor/leadership, not owner-scoped - explicit finding for validation, see CURRENT_DATA_QUALITY note in final report"
P-008,planner,"same visit_plans/visits scope as P-007 (role-broad, not owner-scoped)",Cannot publish a bulk plan bypassing capacity guard (EXE-CAPACITY-WINDOW-FULL) or eligibility criteria,"publish guards in 20260714091727_planning_publish_guards.sql; bulk eligibility in planning_lookups metadata"
P-009,ops,"visits (role-broad read); geo_override_requests (read all pending + decide via RPC); cancellation_requests (read all + decide via RPC); geo_events (read all)",Cannot self-decide a request they authored as requested_by (EXE-CANCEL-SELF-DECIDE / cancellation_requests_decision_shape),"cancellation_requests_read policy (20260721140000:128-133); geo_override_requests decision RPC ops-gated"
P-010,ops,"same as P-009, front-line queue worker",Same self-decide restriction as P-009,"same as above"
P-011,inspector,"visits/assignments/journey_sessions/geo_events/inspections/checklist_responses/evidence/findings/violations/action_forms WHERE assignments.inspector_id = P-011 (is_assigned_inspector); visit_preparations for own visit pre-Ready only",Cannot see or write another inspector's (P-012/P-013/P-014) assignments/inspections; cannot update visit_preparations after confirmed_ready_at is set,"is_assigned_inspector(visit_id) used throughout execution migrations; visit_preparations_inspector_update using(...) with check (confirmed_ready_at is null) (20260721121000)"
P-012,inspector,"own assignment scope only (immediate-inspection + unregistered-establishment visits)",Cannot see P-011/P-013/P-014 scope; cannot mark a factory row is_temporary=true directly (guarded through immediate-visit RPC, 0027_cd023_immediate_visit_atomic.sql)","is_assigned_inspector; is_temporary guard logic 0027_cd023_immediate_visit_atomic.sql:356-372"
P-013,inspector,"own assignment scope only (virtual-mode visit, virtual_sessions/virtual_participants for that visit)",Cannot see other inspectors' virtual_sessions; cannot verify a virtual_participant OTP outside otp attempt/expiry rules (0009_virtual_otp.sql / 0023_fix_otp_rpc_authorization.sql),"virtual_sessions/virtual_participants scoped via visit_id join to assignments"
P-014,inspector,"own assignment scope only; used to prove inspector_daily_capacity(P-011 or P-014, date) blocks a 6th same-day assignment once the configured daily max is reached",Cannot be assigned a visit on a date where inspector_daily_capacity for that inspector/date already returns at-capacity (EXE-PREP-CAPACITY / EXE-CAPACITY-WINDOW-FULL),"inspector_daily_capacity(uuid,date) function (20260721093000_execution_canonical_contracts.sql:270-316)"
P-015,reviewer,"reviews (role-broad read per inspector_own_visits-style broad policies); can decide reviews for any inspection (no owner-narrowing found in reviews table policies beyond role)",Cannot edit an immutable submission_versions row (no update/delete policy exists on submission_versions; append-only by design),"submission_versions has select-oriented policies only; reviews.reviewer_id is informational, not an RLS filter - flagged as an open looseness for validation, not silently fixed here"
P-016,reviewer,"same reviews scope as P-015, executes approve/return(scoped sections)/reject decisions",Cannot approve+return in the same decision (decision is a single enum: approve|return|reject); returned_sections must be non-null only when decision='return' (business invariant to validate, not yet a DB check constraint - schema gap),"reviews.decision/returned_sections columns (0001_foundation.sql:274-276) have no CHECK enforcing the return/returned_sections pairing at the DB layer"
P-017,auditor,"audit_events/config_versions/reviews/submission_versions (read-only across all personas/factories)",Must never successfully insert/update/delete on any operational table in RLS acceptance tests (auditor is read-only by role design),"has_role('auditor') appears only in broad SELECT policies (e.g. inspector_own_visits), never in an insert/update/with-check clause across migrations reviewed"
P-018,leadership,"dashboard_config_parameters/dashboard_config_versions/dashboard_config_heads (read); aggregate visit/inspection/review rows for KPI calculation (role-broad read)",Must never see raw checklist_responses/evidence storage_path detail in a leadership-scoped dashboard view (should be aggregate-only - a dashboard view/materialized view scoping this was NOT found in migrations and is a schema/view gap),"has_role('leadership') appears in the same broad SELECT clauses as planner/ops/reviewer/auditor - there is no separate leadership-only aggregate view yet"
P-019,inspector (inactive),"none - user_roles grant should be revoked or auth.users row disabled on offboarding date so has_role()/is_assigned_inspector() both evaluate false",Must be denied every table gated by has_role('inspector') or is_assigned_inspector once deactivated,"has_role(r) function (0001_foundation.sql:342-344) depends solely on a live user_roles row existing for auth.uid(); deactivation strategy (deleting the user_roles row vs. an is_active flag) is a SCHEMA_GAP - profiles has no is_active/deactivated_at column today"
