acceptance_id,requirement_id,journey,expected_result,data_precondition,implementation_status,functional_result,evidence_reference,commit_sha,notes
AC-0410,MVP1-M07-001,F360-JRN-001,Factory Profile Page implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0411,MVP1-M07-002,F360-JRN-002,Factory Overview implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0412,MVP1-M07-003,F360-JRN-003,License Information implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0413,MVP1-M07-004,F360-JRN-004,CR Information implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0414,MVP1-M07-005,F360-JRN-005,Location & Map implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0415,MVP1-M07-006,F360-JRN-006,Products implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0416,MVP1-M07-007,F360-JRN-007,Raw Materials implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0417,MVP1-M07-008,F360-JRN-008,Workforce implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0418,MVP1-M07-009,F360-JRN-009,Investment & Capacity implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0419,MVP1-M07-010,F360-JRN-010,Visit History implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0420,MVP1-M07-011,F360-JRN-011,Inspection History implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0421,MVP1-M07-012,F360-JRN-012,Violations & Penalties implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0422,MVP1-M07-013,F360-JRN-013,Corrective Actions implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
