acceptance_dimension,rule,check_method,pass_criteria,linked_source
persona naming,no role label used as a display name (no Planner/Inspector/Reviewer/Admin User/Test User or numbered variants),grep seeded profiles.full_name_en/full_name_ar against a denylist of role-label strings,zero matches,blueprint Seed data layer 1 + discovery prompt Section E
persona bilingual completeness,every persona has both English and Arabic full name plus employee reference/role/department/manager/region/locale,select profiles where any of these columns is null for a seeded row,zero seeded personas with a null required field,blueprint Seed data layer 1
persona contact safety,every seeded persona uses the reserved test email domain and a clearly synthetic phone pattern,regex check on seeded profiles.email against the reserved domain,100% match; zero real-looking external domains,blueprint Seed data layer 1 + discovery prompt Section E
factory sector coherence,products/raw materials match the factory's declared sector/activity (no perfume factory with sunflower-seed oil style mismatch),cross-check plant_production_line_items.activity against factories.sector for every seeded factory,zero mismatches,blueprint Factory/Product/Raw-Material coherence rule + LEGACY_SENAI quality finding (perfume/sunflower-oil)
factory identifier honesty,no seeded CR/licence/external identifier is presented as an authentic government-issued number,review factories.source_authority / provenance labeling (pending provenance column per SEED_MANIFEST_SCHEMA.md §3) for every seeded factory,every seeded identifier is clearly synthetic and traceable to seed_batch_id,blueprint Factory master data + CLAUDE.md 'never invent... legal rules'
factory coordinate plausibility,seeded coordinates fall within real KSA bounds and are not comically implausible (ocean, another country),bounds-check every seeded factory lat/lng against KSA_BOUNDS-equivalent,100% within plausible KSA bounds,discovery prompt Section C 'suspicious coordinates' + map.ts KSA_BOUNDS precedent
Factory 360 completeness,every seeded factory has at least one complete Factory 360 story (license+plant+contacts+documents+risk history),select factories missing any of these linked records,zero seeded factories with an incomplete story,blueprint Factory master data
visit/inspection narrative coherence,every visit tells one consistent story planning→assignment→preparation→execution→evidence→submission→review→downstream effect,trace one representative visit per scenario end-to-end and confirm no broken link in the chain,100% of scenario-catalogue visits traceable end-to-end,blueprint Business understanding paragraph
data_mode labeling,every seeded row standing in for an eventual external source is explicitly REALISTIC_SYNTHETIC not presented as REAL,check for any seeded label/comment claiming 'real MODON'/'real HRSD'/'real Senaei'/'real company' data,zero such claims anywhere in seeded data or generated reports,blueprint 'Do not call synthetic records real MODON/HRSD/Senaei/real company data'
external adapter honesty,seeded external-adapter states match ADAPTER_REPLACEMENT_PLAN.md's documented reality (Senaei not_configured/degraded per environment; Industry Shared/HRSD not_configured for all 11 leads; MODON absent),query recorded adapter outcomes post-seed against the register,100% match to the register; zero fabricated 'available' Industry Shared/MODON results,EXTERNAL_SOURCE_CONTRACT_REGISTER.csv (this pass)
legacy SENAI quarantine,none of the 8 legacy SENAI CSV row classes are loaded directly into canonical tables,confirm zero rows in canonical tables trace to raw legacy CSV values without passing through a mapping/validation step,zero direct-load rows,discovery prompt Section D
no frontend mocks in accepted routes,every route in ENDPOINT_SMOKE_TEST_MATRIX.csv classed anything other than FRONTEND_MOCK actually reads seeded persisted data,cross-reference smoke test results against FRONTEND_MOCK_AND_FIXTURE_REGISTER.csv (Section B, not part of this deliverable),zero accepted routes still serving a hardcoded/ungoverned fixture,blueprint acceptance gate 'no frontend fixture appears in a QA journey'
dashboard non-fabrication,no KPI figure is a stored constant; every figure is computed live from seeded source facts,re-derive each KPI independently from raw seeded rows and diff against the rendered value,zero discrepancies,blueprint 'Do not hardcode dashboard values'
idempotent rerun realism,a second identical-anchor seed run produces byte-identical domain data except permitted freshness timestamps,diff row snapshots before/after a rerun,zero unexpected diffs,SEEDER_IMPLEMENTATION_PLAN.md §14
traceability/cleanability,every seeded row is attributable to exactly one seed_batch_id and removable by targeted cleanup alone,run cleanup --dry-run and confirm the full seeded row set is enumerated,100% of intentionally-seeded rows accounted for; zero orphaned untraceable rows,SEED_CLEANUP_AND_ROLLBACK.md
