record_id,screen_id,route,persona,state,locale_direction,theme,viewport,status,evidence_path,sha256,blocker,next_safe_action
P2W1-001,SCR-ADM-001,/admin,Inspector,authenticated-non-admin-route-truth,en-LTR,light,1440x1024,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/phase2-tier1/20260718T195039Z/P2-ASIS__SCR-ADM-001__authenticated-non-admin-route-truth__en-ltr__light__1440x1024__20260718T195039Z.png,80fed49f8f41ab8ea7ec1a88729e76f487d6fc5bd2ae14eded44e4ee2cad1861,"This is route truth, not an unauthorized-state design: /admin currently renders to an authenticated Inspector and labels the scope as none.",Retain as route/RBAC evidence; do not treat as admin-persona design approval.
P2W1-002,SCR-ADM-001,/admin,Compliance Admin; Business Admin; Technical Admin,populated,en-LTR,light,1440x1024,BLOCKED,,,Persisted admin browser session expired (refresh_token_not_found).,Refresh the approved Admin browser state after the identity-service rate window; then capture without invoking any mutation.
P2W1-003,SCR-ADM-001,/admin,Compliance Admin; Business Admin; Technical Admin,populated,ar-RTL,dark,1440x1024,BLOCKED,,,Persisted admin browser session expired (refresh_token_not_found).,Refresh the approved Admin browser state after the identity-service rate window; then capture without invoking any mutation.
P2W1-004,SCR-WEB-130,/planning/immediate,Planner,registered-initial,en-LTR,light,1440x1024,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/phase2-tier1/20260718T195039Z/P2-ASIS__SCR-WEB-130__registered-initial__en-ltr__light__1440x1024__20260718T195039Z.png,a51daf8bc90999bc038f510619d357a62b4bb2fe87f569a735613f30044ba960,,Continue remaining safe locale/theme/state profiles; never submit Create & dispatch during capture.
P2W1-005,SCR-WEB-130,/planning/immediate,Authorized Inspector,registered-initial,en-LTR,light,1024x768,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/phase2-tier1/20260718T195039Z/P2-ASIS__SCR-WEB-130__registered-initial__en-ltr__light__1024x768__20260718T195039Z.png,9517616a1f9199497a05d48da8d402c92417543b821f4089597e45a023b3292f,,Continue remaining safe locale/theme/state profiles; never submit Create & start inspection during capture.
P2W1-006,SCR-WEB-130,/planning/immediate,Planner,unregistered-form,ar-RTL,dark,1024x768,BLOCKED,,,Navigation timed out after the shared identity service returned HTTP 429 during the capture sequence.,Resume after rate window with one reused Planner context and domcontentloaded readiness; toggle only the client-side branch and do not submit.
P2W1-007,SCR-WEB-200,/visits,Planner,current-scope,en-LTR,light,1440x1024,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/phase2-tier1/20260718T195039Z/P2-ASIS__SCR-WEB-200__current-scope__en-ltr__light__1440x1024__20260718T195039Z.png,b3e792139dc4e701f153567717a4012fe591cbd037740d0848e0265aec81ac47,,Valid as-is screenshot only; no bulk action or row mutation was invoked.
P2W1-008,SCR-WEB-200,/visits,Planner,current-scope,ar-RTL,dark,1024x768,CAPTURED,/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/phase2-tier1/20260718T195039Z/P2-ASIS__SCR-WEB-200__current-scope__ar-rtl__dark__1024x768__20260718T195039Z.png,8717451dd9e56ea7d1c658f725b2b4ff4e2dfa26e1d1a08e212e9d216767efe3,,Valid as-is screenshot only; no bulk action or row mutation was invoked.
P2W1-009,SCR-WEB-200,/visits,Operations User; Branch Manager,current-scope,"en-LTR; ar-RTL","light; dark","1440x1024; 1024x768",BLOCKED,,,No persisted Operations or Branch Manager browser state is available.,Provision or refresh approved read-only persona states; do not substitute Planner evidence for these personas.
P2W1-010,SCR-WEB-210,/visits/:id,Planner,existing-visit-read-only-observation,en-LTR,light,1440x1024,BLOCKED,,,Identity-service 429 interrupted navigation before a stable existing-visit frame could be recorded.,After rate recovery open a UUID detail link from the existing Planner RLS scope; do not activate any action-zone control.
P2W1-011,SCR-WEB-210,/visits/:id,"Operations; Inspector read context",existing-visit-read-only-observation,"en-LTR; ar-RTL","light; dark","1440x1024; 1024x768",BLOCKED,,,No persisted Operations state exists and the Inspector detail target was not safely established before throttling.,Resolve a non-mutating existing visit visible to each approved persona; record not-found/empty honestly if none exists.
P2W1-012,SCR-WEB-500,/operations,"Operations User; Supervisor; Leadership",source-backed-current-scope,"en-LTR; ar-RTL","light; dark","1440x1024; 1920x1080",BLOCKED,,,No persisted Operations/Supervisor/Leadership browser state exists in playwright/.auth.,Refresh or provision approved read-only persona states; capture dashboard and wallboard without resolving alerts approving overrides or exporting.
