finding_id,severity,original_defect,required_evidence,corrected_artifacts,verification_method,status,notes
AUD-P0-01,P0,"Mandatory repository/source discovery absent; source metadata and before-responsibilities unknown","SOURCE_DISCOVERY_LOG plus exact branch/commit/dirty state and literal source paths in all six manifests",,,PENDING,
AUD-P0-02,P0,"CD-011 declared visuals and evidence manifest were absent","Complete CD-011 visual set and measured EVIDENCE_MANIFEST_CD-011.csv",,,PENDING,
AUD-P0-03A,P0,"CD-006 implied regulation validation, maker-checker, locking, comparison, and audit visibility not enforced by runtime","Corrected CD-006 route/runtime memo, data-truth ledger, visual annotations, and wiring map",,,PENDING,
AUD-P0-03B,P0,"CD-007 treated confirmed item schema/actions/RLS as unknown and did not isolate only genuinely absent legs","Corrected CD-007 source-derived manifest, data-truth ledger, and wiring map",,,PENDING,
AUD-P0-03C,P0,"CD-010 protected or implied unsupported violation-code audit/schema/action behavior","Corrected CD-010 route/runtime memo, data-truth ledger, and wiring map",,,PENDING,
AUD-P0-03D,P0,"CD-011 used unconfirmed/invented overlap, effective-period, lifecycle, approval, immutability, and audit behavior","Corrected CD-011 package bound to the real one-to-one penalty schema and exact blocked legs",,,PENDING,
AUD-P1-01,P1,"Required screen states were asserted without traceable visual evidence","Six per-CD state matrices plus legible hard-state evidence covering S01 through S09",,,PENDING,
AUD-P1-02,P1,"Files labelled 1024x1366 were actually 700x520","Six native 1024x1366 constrained exports with measured manifests",,,PENDING,
AUD-P1-03,P1,"Wiring maps did not cover every action and system state","Six row-complete wiring maps with exact complete-or-blocked dispositions",,,PENDING,
AUD-P1-04,P1,"CD-008/CD-009 retained concepts without a real source pass over package RPC/editor/preview/validation/maker-checker/audit/immutability","Corrected source-derived CD-008 and CD-009 route/runtime, component, manifest, and wiring artifacts",,,PENDING,
