"source_id","inventory_kind","source_name","page_id","page_name","route","build_required","reason"
"879:64839","screen_state","Frame 1984078725","269:40019","↪ Visit Reports - تقارير الزيارة",,false,"obsolete_annotation_strip"
"2284:104272","screen_state","Home Screen - iPad","2284:104021","↪ Home + Tasks - الرئيسية + مهامي",,false,"obsolete_operating_system_surface"
"2665:30714","screen_state","Login","2284:104021","↪ Home + Tasks - الرئيسية + مهامي","/login/field",false,"reference_only_web_login_has_no_verified_Figma_node"
"2665:34915","screen_state","Login","2284:104021","↪ Home + Tasks - الرئيسية + مهامي","/login/field",false,"reference_only_web_login_has_no_verified_Figma_node"
"2665:39117","screen_state","Login","2284:104021","↪ Home + Tasks - الرئيسية + مهامي","/login/field",false,"reference_only_web_login_has_no_verified_Figma_node"
"2665:43321","screen_state","Login","2284:104021","↪ Home + Tasks - الرئيسية + مهامي","/login/field",false,"reference_only_web_login_has_no_verified_Figma_node"
"2665:47522","screen_state","Login","2284:104021","↪ Home + Tasks - الرئيسية + مهامي","/login/field",false,"reference_only_web_login_has_no_verified_Figma_node"
"1434:138230","screen_state","Content","1065:77494","↪ Establishment Management - إدارة المنشآت",,false,"obsolete_filter_panel_fragment"
"1434:110357","screen_state","Frame 1984078759","1065:77494","↪ Establishment Management - إدارة المنشآت",,false,"obsolete_canvas_banner"
"368:64406","component_definition","Frame 1984078811","301:71625","⚙️ Components",,false,"obsolete_auto_named_definition"
"1831:27552","component_definition","Frame 1984078775","301:71625","⚙️ Components",,false,"obsolete_auto_named_definition"
"1831:27940","component_definition","Frame 1984078776","301:71625","⚙️ Components",,false,"obsolete_auto_named_definition"
"1252:64226","component_definition","Task Cards Test","301:71625","⚙️ Components",,false,"obsolete_test_artifact"
"route:NO_ROUTE:production_line_seizure","route","NO_ROUTE:production_line_seizure",,,"NO_ROUTE:production_line_seizure",true,"source_capability_has_no_repo_or_web_route"
"route:/login/field","route","/login/field",,,"/login/field",true,"route_has_no_verified_web_Figma_node"
