design_page_id,design_page_name,design_revision,application_channel,application_route,source_component,mapping_classification,mapping_confidence,evidence,unresolved_question,design_content_verified,code_candidate_confidence
WA-DES-001,SAQEEL AI Studio,1784805971473854,BUSINESS_WEB,/ai/suggestions,apps/web/src/app/(app)/ai/suggestions/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-001), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-002,SAQEEL Admin Detail,1784805971473854,ADMIN_CONTROL_PANEL,/admin/regulations/:id;/admin/packages;/admin/items/:id/runtime-preview;/admin/risk;/admin/risk/models;/planning/plans/:id,apps/web/src/app/(app)/admin/regulations/[id]/page.tsx;apps/web/src/app/(app)/admin/packages/page.tsx;apps/web/src/app/(app)/admin/items/[id]/runtime-preview/page.tsx;apps/web/src/app/(app)/admin/risk/page.tsx;apps/web/src/app/(app)/admin/risk/models/page.tsx;apps/web/src/app/(app)/planning/plans/[id]/page.tsx,CLOSE MATCH,medium,"2026-07-24: CORRECTED 2026-07-24: 6 files confirmed to exist via direct grep — admin/regulations/[id], admin/packages, admin/items/[id]/runtime-preview, admin/risk, admin/risk/models, planning/plans/[id] (all 6 now listed in route/source_component; a prior pass said '5 recorded' while naming 6 in prose and omitting admin/risk/models from the structured fields — inconsistency caught by Codex re-review, fixed here). Web-Index's claim ('⊘ unconfirmed — no matching folder found') is itself wrong/stale — the design team's own index is not infallible and was cross-checked against real files, not trusted blindly.",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-003,SAQEEL Admin Execution,1784805971473854,ADMIN_CONTROL_PANEL,/admin/execution,apps/web/src/app/admin/execution/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-003), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-004,SAQEEL Admin Extended,1784805971473854,ADMIN_CONTROL_PANEL,/admin/bulk-violations;/admin/enforcement-recommendations;/admin/security-access;/admin/devices,apps/web/src/app/(app)/admin/bulk-violations/page.tsx;apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx;apps/web/src/app/(app)/admin/security-access/page.tsx;apps/web/src/app/(app)/admin/devices/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-004), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-005,SAQEEL Admin Form Builder,1784805971473854,ADMIN_CONTROL_PANEL,,,NO CODE MATCH,medium,"2026-07-24: neither Web-Index's claimed /admin/templates nor DESIGN_ROUTE_MAP's claimed /admin/packages/:id/designer exists in apps/web/src (grep-verified, both absent). Web-Index's route claim is itself wrong here — do not trust it blindly, verify against real files as done for every row in this pass.",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-006,SAQEEL Admin Geofence,1784805971473854,ADMIN_CONTROL_PANEL,/admin/gis,apps/web/src/app/(app)/admin/gis/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-006), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-007,SAQEEL Admin Integrations Data,1784805971473854,ADMIN_CONTROL_PANEL,/admin/integrations/factory-data,apps/web/src/app/(app)/admin/integrations/factory-data/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-007), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-008,SAQEEL Admin Integrations,1784805971473854,ADMIN_CONTROL_PANEL,/admin/integrations,apps/web/src/app/(app)/admin/integrations/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-008), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-009,SAQEEL Admin Lookups copy,1784805971473854,ADMIN_CONTROL_PANEL,/admin/localization,apps/web/src/app/(app)/admin/localization/page.tsx,CLOSE MATCH,medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page),"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-009), sha256 recorded there; not re-verified against current MCP content-hash this pass CONFIRMED duplicate by SAQEEL Web-Index.dc.html: 'Duplicate file - candidate for cleanup', '⊘ duplicate of Admin Lookups'.",,no — route/file existence only (governed authority + Web-Index + filesystem grep),medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page)
WA-DES-010,SAQEEL Admin Lookups,1784805971473854,ADMIN_CONTROL_PANEL,/admin/localization OR /admin/planning/lookups,apps/web/src/app/(app)/admin/localization/page.tsx; apps/web/src/app/(app)/admin/planning/lookups/page.tsx,MULTIPLE POSSIBLE MATCHES,"medium (both candidates real, disambiguation needed)","2026-07-24: BOTH /admin/localization (DESIGN_ROUTE_MAP's claim) and /admin/planning/lookups (Web-Index's claim) exist as real, distinct page.tsx files. Not a Web-Index error like Admin Form Builder — genuinely two implementations. Content not compared to determine which (if either) matches the design page; flagged, not guessed.",,no — route/file existence only (governed authority + Web-Index + filesystem grep),"medium (both candidates real, disambiguation needed)"
WA-DES-011,SAQEEL Admin Role Override,1784805971473854,ADMIN_CONTROL_PANEL,/admin/access?view=roles,apps/web/src/app/(app)/admin/access/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-011), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-012,SAQEEL Admin SENAI Data,1784805971473854,ADMIN_CONTROL_PANEL,/admin/integrations/senaei,(none recorded / new route required),CLOSE MATCH,"medium (governed authority + Web-Index both flag scope uncertainty, not contradicted)","Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-012), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),"medium (governed authority + Web-Index both flag scope uncertainty, not contradicted)"
WA-DES-013,SAQEEL Admin Virtual Premium,1784805992533435,ADMIN_CONTROL_PANEL,/admin/virtual,(none recorded / new route required),CLOSE MATCH,"medium (governed authority + Web-Index both flag scope uncertainty, not contradicted)","Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-013), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),"medium (governed authority + Web-Index both flag scope uncertainty, not contradicted)"
WA-DES-014,SAQEEL Admin Workflow Builder,1784805992533435,ADMIN_CONTROL_PANEL,/admin/workflows,apps/web/src/app/(app)/admin/workflows/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-014), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
