preservation_id,existing_capability,current_code_location,value_to_preserve,change_risk,migration_or_adapter,verification,status
F360-PRES-001,Existing factory registry and routes,apps/web Factory 360/factory registry routes,Stable route behavior and useful dossier capability,Route or data regression,Compatibility route/redirect; additive extension,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-002,Current factory IDs and compatibility mapping,public.factories and dependent foreign keys,Stable identifiers and historical links,Broken references or duplicate truth,Additive CR/license/plant compatibility mapping,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-003,Mapbox and location history,Existing GIS/Mapbox and geo history surfaces,"Official, observed and historical location facts",Provider duplication or lost history,Reuse ENG-06,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-004,"Risk score, model version, factor snapshots and history",Existing Risk Engine persistence,"Saved outputs, versions, factors and chronology",Recalculation or parallel risk truth,Reuse ENG-04 projections,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-005,Evidence-linked advisory AI,Existing advisory explanation path,Traceability to saved evidence and risk outputs,Fabricated or decision-making AI,Extend context only; no authority mutation,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-006,Immutable inspection submissions and versions,submission_versions and review projections,Version immutability and audit chronology,Historical mutation,Read-only projection via ENG-09,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-007,"Violations, actions, reviews and penalty lineage",Existing compliance/enforcement records,Referential and historical lineage,Orphaned or duplicated enforcement truth,Reuse ENG-08/ENG-09,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-008,"RLS, audit and notifications","Existing policies, audit events and notification paths","Least privilege, actor/time trail and delivery contracts",Privilege or traceability regression,Additive policies; reuse ENG-11/ENG-12,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-009,Evidence custody and OCR,"Existing evidence store, hashes, links and OCR","Custody, integrity and append-only OCR",Duplicate store or overwritten evidence,Reuse ENG-07,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-010,"Products, materials, workforce and provenance",Existing Factory 360 master-data capability,"Useful fields, source labels and history",Capability deletion or source ambiguity,Relocate writes; preserve reads; extend mappings,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
F360-PRES-011,Offline and historical behavior,Existing offline queues and historical records,No silent overwrite and durable history,Conflict loss or history deletion,Compatibility regression contract,Regression verification pending in the implementation slice.,FUNCTIONALLY_VERIFIED
