decision_id,domain,decision_required,status,owner,required_by,safe_interim_rule,severity
DEC-001,Risk model,"Exact factors, weights, formula, thresholds and owner",Open,Risk Owner / Business,G5 before risk runtime,Do not invent; allow interface/config placeholders and historical version contract,P0
DEC-002,GIS accuracy,"GPS accuracy threshold, arrival radius, geofence policy, telemetry frequency",Open,GIS/Operations,G5 before journey certification,Keep values configurable and block publish until approved,P0
DEC-003,SLA calendar,"Task SLAs, working calendar, pause/resume and escalation",Open,Business Operations,G5/G7,Configuration placeholders only; no arbitrary timers,P0
DEC-004,Arabic/RTL,"MVP1 English-only, bilingual, or selected Arabic surfaces",Open,Executive/Product,G6 design freeze,Do not assume,P0
DEC-005,Factory-facing boundary,Exact external factory functions in MVP1,Open,Product Owner,G3/G5,Virtual participation only unless explicitly approved,P0
DEC-006,Evidence policy,"File formats, sizes, video limits, retention, malware scanning, redaction and hash",Open,Compliance/Security,G5/G7,Configurable controls; no invented legal retention,P0
DEC-007,OTP provider,"Selected provider, retries, expiry and fallback",Open,Technical/Security,G5,Provider abstraction; simulation not release-complete,P1
DEC-008,Maps provider,Selected maps/navigation/GIS provider and licensing,Open,Technical/GIS,G5/G6,Provider abstraction,P1
DEC-009,Digital acknowledgement,Whether legal digital signature/PKI is MVP1,Open,Legal/Product,G3/G5,Support acknowledgement/refusal; advanced PKI not implied,P0
DEC-010,NFR targets,"Availability, response times, users, RTO/RPO, package sizes",Open,Architecture/Operations,G5,Use decision placeholders and measurement hooks,P0
DEC-011,Brand/theme,"Saqeel rebrand: single login page, Nafath & gov-banner removal, dark launch-film theme, type scale bump",Accepted (sponsor 2026-07-12),Sponsor (V. Indla),G10 window,Sponsor-directed; recorded in DECISIONS_ACCEPTED_2026-07-12_SAQEEL.yaml,P1
DEC-012,CD-0XX Codex wiring-audit gate,"Whether sponsor session-direction in chat is an accepted substitute for the independent Codex wiring audit required by each CLAUDE_CODE_MCP_PROMPT_CD-0XX precondition (2), or whether that audit must actually run before further CD-0XX implementation. Checked 2026-07-13: WIRING_MAP_CD-021/022/023.csv all show automated_test=proposed and runtime_evidence=self-read only, no independent-reviewer trace",Resolved (sponsor 2026-07-13): actual independent Codex wiring audit required — session-direction does NOT substitute,Sponsor (V. Indla),Blocks CD-021/CD-023 closure and any CD-024+ implementation start until each slice's WIRING_MAP_CD-0XX.csv has a recorded Codex audit,No CD-0XX slice may be marked complete/closed/sponsor-runtime-accepted without a recorded Codex wiring-audit trace in its WIRING_MAP CSV or evidence folder; session-direction covers approval only. Audit method: governance/CODEX_WIRING_AUDIT_CHECKLIST.md,P1
